FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1202,929,22.7121%
2,2,3,689,251,63.5704%
3,4,11,898,625,30.4009%
4,5,12,1485,1040,29.9663%
5,6,13,823,512,37.7886%
6,3,10,1151,627,45.5256%
7,7,8,1022,803,21.4286%
8,7,14,1245,987,20.7229%
9,9,1,800,661,17.375%
10,10,2,583,309,46.9983%
11,2,9,348,151,56.6092%
12,13,14,310,132,57.4194%
13,13,5,826,622,24.6973%
14,4,5,514,182,64.5914%
15,9,10,448,133,70.3125%
16,1,2,490,61,87.551%
17,12,13,749,278,62.8838%
18,14,0,173,17,90.1734%
19,5,6,424,128,69.8113%
20,6,7,372,159,57.2581%
21,14,6,421,193,54.1568%
22,8,9,167,0,100%
23,12,4,438,253,42.2374%
24,3,4,292,131,55.137%
25,11,12,171,115,32.7485%
26,11,3,133,20,84.9624%
27,10,11,143,101,29.3706%
28,8,0,122,17,86.0656%
29,1,8,73,3,95.8904%
