time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,0,10.6012,10.6994,1,10.5087,10.7456,2,10.4903,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1979,10.401,0,10.5141,10.743,1,10.5875,10.7063,2,10.5949,10.7026,1,10.871,10.5645,0,10.4604,10.7698
0.2,0,10.6012,10.6994,1,10.5087,10.7456,2,10.4903,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1979,10.401,0,10.5141,10.743,1,10.5875,10.7063,2,10.5949,10.7026,1,10.871,10.5645,0,10.4604,10.7698
0.3,0,10.6012,10.6994,1,10.5087,10.7456,2,10.4903,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1979,10.401,0,10.5141,10.743,1,10.5875,10.7063,2,10.5949,10.7026,1,10.871,10.5645,0,10.4604,10.7698
0.4,0,10.6012,10.6994,1,10.5087,10.7456,2,10.4903,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1979,10.401,0,10.5141,10.743,1,10.5875,10.7063,2,10.5949,10.7026,1,10.871,10.5645,0,10.4604,10.7698
0.5,0,10.6012,10.6994,1,10.5087,10.7456,2,10.4903,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1979,10.401,0,10.5141,10.743,1,10.5875,10.7063,2,10.5949,10.7026,1,10.871,10.5645,0,10.4604,10.7698
0.6,0,10.6011,10.6995,1,10.5088,10.7456,2,10.4902,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1978,10.4011,0,10.5141,10.743,1,10.5876,10.7062,2,10.595,10.7025,1,10.8709,10.5646,0,10.4604,10.7698
0.7,0,10.6011,10.6995,1,10.5088,10.7456,2,10.4902,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1978,10.4011,0,10.5141,10.743,1,10.5876,10.7062,2,10.595,10.7025,1,10.8709,10.5646,0,10.4604,10.7698
0.8,0,10.6011,10.6995,1,10.5088,10.7456,2,10.4902,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1978,10.4011,0,10.5141,10.743,1,10.5876,10.7062,2,10.595,10.7025,1,10.8709,10.5646,0,10.4604,10.7698
0.9,0,10.6011,10.6995,1,10.5088,10.7456,2,10.4902,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1978,10.4011,0,10.5141,10.743,1,10.5876,10.7062,2,10.595,10.7025,1,10.8709,10.5646,0,10.4604,10.7698
1,0,10.6011,10.6995,1,10.5088,10.7456,2,10.4902,10.7549,0,10.4403,10.7798,1,10.4487,10.7757,2,10.5001,10.75,0,10.5807,10.7096,1,10.6281,10.6859,2,10.8146,10.5927,2,11.1978,10.4011,0,10.5141,10.743,1,10.5876,10.7062,2,10.595,10.7025,1,10.8709,10.5646,0,10.4604,10.7698
