time,node_id,channel,tx_power,data_rate,neighbors,interference
0.1,0,0,10.6012,10.6994,14,0.08
0.1,1,1,10.5087,10.7456,14,0.08
0.1,2,2,10.4903,10.7549,14,0.08
0.1,3,0,10.4403,10.7798,14,0.08
0.1,4,1,10.4487,10.7757,14,0.08
0.1,5,2,10.5001,10.75,14,0.08
0.1,6,0,10.5807,10.7096,14,0.08
0.1,7,1,10.6281,10.6859,14,0.08
0.1,8,2,10.8146,10.5927,14,0.08
0.1,9,2,11.1979,10.401,14,0.08
0.1,10,0,10.5141,10.743,14,0.08
0.1,11,1,10.5875,10.7063,14,0.08
0.1,12,2,10.5949,10.7026,14,0.08
0.1,13,1,10.871,10.5645,14,0.08
0.1,14,0,10.4604,10.7698,14,0.08
0.2,0,0,10.6012,10.6994,14,0.08
0.2,1,1,10.5087,10.7456,14,0.08
0.2,2,2,10.4903,10.7549,14,0.08
0.2,3,0,10.4403,10.7798,14,0.08
0.2,4,1,10.4487,10.7757,14,0.08
0.2,5,2,10.5001,10.75,14,0.08
0.2,6,0,10.5807,10.7096,14,0.08
0.2,7,1,10.6281,10.6859,14,0.08
0.2,8,2,10.8146,10.5927,14,0.08
0.2,9,2,11.1979,10.401,14,0.08
0.2,10,0,10.5141,10.743,14,0.08
0.2,11,1,10.5875,10.7063,14,0.08
0.2,12,2,10.5949,10.7026,14,0.08
0.2,13,1,10.871,10.5645,14,0.08
0.2,14,0,10.4604,10.7698,14,0.08
0.3,0,0,10.6012,10.6994,14,0.08
0.3,1,1,10.5087,10.7456,14,0.08
0.3,2,2,10.4903,10.7549,14,0.08
0.3,3,0,10.4403,10.7798,14,0.08
0.3,4,1,10.4487,10.7757,14,0.08
0.3,5,2,10.5001,10.75,14,0.08
0.3,6,0,10.5807,10.7096,14,0.08
0.3,7,1,10.6281,10.6859,14,0.08
0.3,8,2,10.8146,10.5927,14,0.08
0.3,9,2,11.1979,10.401,14,0.08
0.3,10,0,10.5141,10.743,14,0.08
0.3,11,1,10.5875,10.7063,14,0.08
0.3,12,2,10.5949,10.7026,14,0.08
0.3,13,1,10.871,10.5645,14,0.08
0.3,14,0,10.4604,10.7698,14,0.08
0.4,0,0,10.6012,10.6994,14,0.08
0.4,1,1,10.5087,10.7456,14,0.08
0.4,2,2,10.4903,10.7549,14,0.08
0.4,3,0,10.4403,10.7798,14,0.08
0.4,4,1,10.4487,10.7757,14,0.08
0.4,5,2,10.5001,10.75,14,0.08
0.4,6,0,10.5807,10.7096,14,0.08
0.4,7,1,10.6281,10.6859,14,0.08
0.4,8,2,10.8146,10.5927,14,0.08
0.4,9,2,11.1979,10.401,14,0.08
0.4,10,0,10.5141,10.743,14,0.08
0.4,11,1,10.5875,10.7063,14,0.08
0.4,12,2,10.5949,10.7026,14,0.08
0.4,13,1,10.871,10.5645,14,0.08
0.4,14,0,10.4604,10.7698,14,0.08
0.5,0,0,10.6012,10.6994,14,0.08
0.5,1,1,10.5087,10.7456,14,0.08
0.5,2,2,10.4903,10.7549,14,0.08
0.5,3,0,10.4403,10.7798,14,0.08
0.5,4,1,10.4487,10.7757,14,0.08
0.5,5,2,10.5001,10.75,14,0.08
0.5,6,0,10.5807,10.7096,14,0.08
