FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,760,333,56.1842%
2,0,7,493,229,53.5497%
3,2,9,560,286,48.9286%
4,1,2,801,294,63.2959%
5,1,8,396,51,87.1212%
6,5,12,2237,1008,54.9397%
7,7,8,1873,1269,32.2477%
8,8,9,1509,940,37.7071%
9,9,10,847,636,24.9115%
10,9,1,278,54,80.5755%
11,10,2,1450,989,31.7931%
12,11,12,2360,2101,10.9746%
13,11,3,2365,2121,10.3171%
14,14,6,1892,1204,36.3636%
15,5,6,1955,663,66.087%
16,8,0,348,113,67.5287%
17,12,13,1746,1451,16.8958%
18,12,4,1995,1091,45.3133%
19,3,4,2096,1559,25.6202%
20,3,10,1296,601,53.6265%
21,14,0,898,351,60.9131%
22,6,7,1592,884,44.4724%
23,6,13,1235,273,77.8947%
24,2,3,2128,1446,32.0489%
25,4,5,1891,1226,35.1666%
26,4,11,1957,955,51.2008%
27,7,14,1059,281,73.4655%
28,13,14,1491,1157,22.4011%
29,13,5,1522,937,38.4363%
30,10,11,1140,969,15%
