FlowId,Src,Dest,Tx,Rx,LossRate
1,0,7,465,279,40%
2,2,9,599,356,40.5676%
3,1,2,1174,553,52.8961%
4,1,8,317,53,83.2808%
5,5,6,1945,1417,27.1465%
6,5,12,2240,1300,41.9643%
7,7,8,2096,1797,14.2653%
8,8,9,1554,848,45.4311%
9,9,10,980,683,30.3061%
10,9,1,440,129,70.6818%
11,10,2,1670,1097,34.3114%
12,11,12,2410,2370,1.65975%
13,11,3,2410,1933,19.7925%
14,14,6,1801,1170,35.0361%
15,0,1,1072,682,36.3806%
16,8,0,293,113,61.4334%
17,12,13,1745,1200,31.2321%
18,12,4,2049,1314,35.8712%
19,6,7,1543,888,42.4498%
20,6,13,1433,412,71.2491%
21,3,4,2119,1623,23.4073%
22,3,10,1392,578,58.477%
23,14,0,1362,902,33.7739%
24,2,3,2151,1932,10.1813%
25,4,5,1862,798,57.1429%
26,4,11,2033,1136,44.122%
27,13,14,1611,1430,11.2353%
28,13,5,1647,1240,24.7116%
29,7,14,830,243,70.7229%
30,10,11,1337,1302,2.6178%
