time,nodeId,x,y,z,node_type,speed
0.1,0,-0.0002999,0.000366544,-0.00266578,0,0.0270752
0.1,1,1.011,0.033,-0.04,0,0
0.1,2,1.773,0.089,-1.46,0,0
0.1,3,2.988,0.067,0.03,0,0
0.1,4,4.026,0.055,-0.17,0,0
0.1,5,5.045,0.067,0.05,0,0
0.1,6,5.994,0.1,0.29,0,0
0.1,7,6.615,0.466,-1.21,0,0
0.1,8,7.714,-0.155,-3.02,0,0
0.1,9,1.064,6.082,-6.46,0,0
0.1,10,1.046,-0.366,-0.35,0,0
0.1,11,1.091,1.565,1.19,0,0
0.1,12,2.722,0.377,2.3,0,0
0.1,13,2.43,0.61,-6.19,0,0
0.1,14,3.981,1.043,0.02,0,0
0.1,1000,86.8424,355.368,47.336,1,1.53277
0.1,1001,45.9376,296.836,41.645,1,5.11629
0.1,1002,47.8831,107.993,57.9629,1,6.09407
0.1,1003,90.0836,297.625,47.5766,1,4.11853
0.1,1004,33.1546,54.9241,54.786,1,3.6253
0.1,1005,61.0271,134.043,40.9833,1,4.89143
0.1,1006,39.6291,419.347,40.9802,1,3.81378
0.1,1007,65.1343,391.974,41.0442,1,3.49947
0.2,0,-0.0005998,0.000733089,-0.00533156,0,0.0270752
0.2,1,1.011,0.033,-0.04,0,0
0.2,2,1.773,0.089,-1.46,0,0
0.2,3,2.988,0.067,0.03,0,0
0.2,4,4.026,0.055,-0.17,0,0
0.2,5,5.045,0.067,0.05,0,0
0.2,6,5.994,0.1,0.29,0,0
0.2,7,6.615,0.466,-1.21,0,0
0.2,8,7.714,-0.155,-3.02,0,0
0.2,9,1.064,6.082,-6.46,0,0
0.2,10,1.046,-0.366,-0.35,0,0
0.2,11,1.091,1.565,1.19,0,0
0.2,12,2.722,0.377,2.3,0,0
0.2,13,2.43,0.61,-6.19,0,0
0.2,14,3.981,1.043,0.02,0,0
0.2,1000,86.96,355.463,47.36,1,1.53277
0.2,1001,45.6455,296.416,41.6195,1,5.11629
0.2,1002,47.3832,107.644,57.9525,1,6.09407
0.2,1003,89.6757,297.607,47.5227,1,4.11853
0.2,1004,32.8749,55.1546,54.7783,1,3.6253
0.2,1005,60.8954,133.573,40.9431,1,4.89143
0.2,1006,39.2706,419.219,41.0044,1,3.81378
0.2,1007,64.9008,391.713,41.0316,1,3.49947
0.3,0,-0.0008997,0.00109963,-0.00799733,0,0.0270752
0.3,1,1.011,0.033,-0.04,0,0
0.3,2,1.773,0.089,-1.46,0,0
0.3,3,2.988,0.067,0.03,0,0
0.3,4,4.026,0.055,-0.17,0,0
0.3,5,5.045,0.067,0.05,0,0
0.3,6,5.994,0.1,0.29,0,0
0.3,7,6.615,0.466,-1.21,0,0
0.3,8,7.714,-0.155,-3.02,0,0
0.3,9,1.064,6.082,-6.46,0,0
0.3,10,1.046,-0.366,-0.35,0,0
0.3,11,1.091,1.565,1.19,0,0
0.3,12,2.722,0.377,2.3,0,0
0.3,13,2.43,0.61,-6.19,0,0
0.3,14,3.981,1.043,0.02,0,0
0.3,1000,87.0777,355.558,47.3841,1,1.53277
0.3,1001,45.3534,295.997,41.594,1,5.11629
0.3,1002,46.8833,107.296,57.9421,1,6.09407
0.3,1003,89.2679,297.588,47.4687,1,4.11853
0.3,1004,32.5952,55.3852,54.7707,1,3.6253
0.3,1005,60.7638,133.104,40.903,1,4.89143
0.3,1006,38.9121,419.091,41.0286,1,3.81378
0.3,1007,64.6673,391.453,41.019,1,3.49947
0.4,0,-0.0011996,0.00146618,-0.0106631,0,0.0270752
0.4,1,1.011,0.033,-0.04,0,0
0.4,2,1.773,0.089,-1.46,0,0
0.4,3,2.988,0.067,0.03,0,0
0.4,4,4.026,0.055,-0.17,0,0
0.4,5,5.045,0.067,0.05,0,0
0.4,6,5.994,0.1,0.29,0,0
0.4,7,6.615,0.466,-1.21,0,0
0.4,8,7.714,-0.155,-3.02,0,0
0.4,9,1.064,6.082,-6.46,0,0
0.4,10,1.046,-0.366,-0.35,0,0
0.4,11,1.091,1.565,1.19,0,0
0.4,12,2.722,0.377,2.3,0,0
0.4,13,2.43,0.61,-6.19,0,0
0.4,14,3.981,1.043,0.02,0,0
0.4,1000,87.1953,355.654,47.4082,1,1.53277
0.4,1001,45.0613,295.578,41.5685,1,5.11629
0.4,1002,46.3834,106.947,57.9317,1,6.09407
0.4,1003,88.86,297.569,47.4147,1,4.11853
0.4,1004,32.3155,55.6157,54.763,1,3.6253
0.4,1005,60.6321,132.635,40.8628,1,4.89143
0.4,1006,38.5536,418.963,41.0528,1,3.81378
0.4,1007,64.4338,391.193,41.0065,1,3.49947
0.5,0,-0.0014995,0.00183272,-0.0133289,0,0.0270752
0.5,1,1.011,0.033,-0.04,0,0
0.5,2,1.773,0.089,-1.46,0,0
0.5,3,2.988,0.067,0.03,0,0
0.5,4,4.026,0.055,-0.17,0,0
0.5,5,5.045,0.067,0.05,0,0
0.5,6,5.994,0.1,0.29,0,0
0.5,7,6.615,0.466,-1.21,0,0
0.5,8,7.714,-0.155,-3.02,0,0
0.5,9,1.064,6.082,-6.46,0,0
0.5,10,1.046,-0.366,-0.35,0,0
0.5,11,1.091,1.565,1.19,0,0
0.5,12,2.722,0.377,2.3,0,0
0.5,13,2.43,0.61,-6.19,0,0
0.5,14,3.981,1.043,0.02,0,0
0.5,1000,87.313,355.749,47.4322,1,1.53277
0.5,1001,44.7692,295.158,41.543,1,5.11629
0.5,1002,45.8836,106.599,57.9213,1,6.09407
0.5,1003,88.4521,297.55,47.3607,1,4.11853
0.5,1004,32.0358,55.8462,54.7554,1,3.6253
0.5,1005,60.5005,132.165,40.8227,1,4.89143
0.5,1006,38.1951,418.835,41.077,1,3.81378
0.5,1007,64.2003,390.932,40.9939,1,3.49947
0.6,0,-0.0017994,0.00219927,-0.0159947,0,0.0270752
0.6,1,1.011,0.033,-0.04,0,0
0.6,2,1.773,0.089,-1.46,0,0
0.6,3,2.988,0.067,0.03,0,0
0.6,4,4.026,0.055,-0.17,0,0
0.6,5,5.045,0.067,0.05,0,0
0.6,6,5.994,0.1,0.29,0,0
0.6,7,6.615,0.466,-1.21,0,0
0.6,8,7.714,-0.155,-3.02,0,0
0.6,9,1.064,6.082,-6.46,0,0
0.6,10,1.046,-0.366,-0.35,0,0
0.6,11,1.091,1.565,1.19,0,0
0.6,12,2.722,0.377,2.3,0,0
0.6,13,2.43,0.61,-6.19,0,0
0.6,14,3.981,1.043,0.02,0,0
0.6,1000,87.4306,355.844,47.4563,1,1.53277
0.6,1001,44.4771,294.739,41.5174,1,5.11629
0.6,1002,45.3837,106.251,57.9108,1,6.09407
0.6,1003,88.0443,297.532,47.3068,1,4.11853
0.6,1004,31.7562,56.0768,54.7477,1,3.6253
0.6,1005,60.3689,131.696,40.7825,1,4.89143
0.6,1006,37.8366,418.707,41.1012,1,3.81378
0.6,1007,63.9668,390.672,40.9813,1,3.49947
0.7,0,-0.0020993,0.00256581,-0.0186604,0,0.0270752
0.7,1,1.011,0.033,-0.04,0,0
0.7,2,1.773,0.089,-1.46,0,0
0.7,3,2.988,0.067,0.03,0,0
0.7,4,4.026,0.055,-0.17,0,0
0.7,5,5.045,0.067,0.05,0,0
0.7,6,5.994,0.1,0.29,0,0
0.7,7,6.615,0.466,-1.21,0,0
0.7,8,7.714,-0.155,-3.02,0,0
0.7,9,1.064,6.082,-6.46,0,0
0.7,10,1.046,-0.366,-0.35,0,0
0.7,11,1.091,1.565,1.19,0,0
0.7,12,2.722,0.377,2.3,0,0
0.7,13,2.43,0.61,-6.19,0,0
0.7,14,3.981,1.043,0.02,0,0
0.7,1000,87.5483,355.939,47.4804,1,1.53277
0.7,1001,44.1851,294.32,41.4919,1,5.11629
0.7,1002,44.8838,105.902,57.9004,1,6.09407
0.7,1003,87.6364,297.513,47.2528,1,4.11853
0.7,1004,31.4765,56.3073,54.7401,1,3.6253
0.7,1005,60.2372,131.226,40.7423,1,4.89143
0.7,1006,37.4781,418.58,41.1254,1,3.81378
0.7,1007,63.7333,390.412,40.9688,1,3.49947
0.8,0,-0.0023992,0.00293236,-0.0213262,0,0.0270752
0.8,1,1.011,0.033,-0.04,0,0
0.8,2,1.773,0.089,-1.46,0,0
0.8,3,2.988,0.067,0.03,0,0
0.8,4,4.026,0.055,-0.17,0,0
0.8,5,5.045,0.067,0.05,0,0
0.8,6,5.994,0.1,0.29,0,0
0.8,7,6.615,0.466,-1.21,0,0
0.8,8,7.714,-0.155,-3.02,0,0
0.8,9,1.064,6.082,-6.46,0,0
0.8,10,1.046,-0.366,-0.35,0,0
0.8,11,1.091,1.565,1.19,0,0
0.8,12,2.722,0.377,2.3,0,0
0.8,13,2.43,0.61,-6.19,0,0
0.8,14,3.981,1.043,0.02,0,0
0.8,1000,87.6659,356.035,47.5045,1,1.53277
0.8,1001,43.893,293.901,41.4664,1,5.11629
0.8,1002,44.3839,105.554,57.89,1,6.09407
0.8,1003,87.2285,297.494,47.1988,1,4.11853
0.8,1004,31.1968,56.5378,54.7325,1,3.6253
0.8,1005,60.1056,130.757,40.7022,1,4.89143
0.8,1006,37.1196,418.452,41.1496,1,3.81378
0.8,1007,63.4998,390.151,40.9562,1,3.49947
