FlowId,Src,Dest,Tx,Rx,LossRate
1,2,3,2415,1664,31.0973%
2,2,9,2415,2193,9.19255%
3,4,11,2414,2404,0.41425%
4,1,2,2273,2193,3.51958%
5,5,6,2413,2413,0%
6,5,12,2413,2388,1.03605%
7,6,7,2413,2413,0%
8,6,13,2413,2413,0%
9,3,10,2413,2392,0.870286%
10,7,8,2412,2400,0.497512%
11,7,14,2316,1936,16.4076%
12,8,9,2412,2156,10.6136%
13,9,10,2411,2391,0.829531%
14,9,1,2338,2211,5.43199%
15,10,11,2410,2410,0%
16,10,2,2410,2324,3.56846%
17,11,12,2410,2398,0.497925%
18,11,3,2410,2393,0.705394%
19,12,13,2409,2389,0.83022%
20,13,14,2335,2093,10.364%
21,13,5,2409,2350,2.44915%
22,4,5,2393,2385,0.334308%
23,14,6,2275,1885,17.1429%
24,1,8,2252,2174,3.46359%
25,12,4,2391,2366,1.04559%
26,3,4,2391,2371,0.83647%
27,0,1,46,10,78.2609%
