FlowId,Src,Dest,Tx,Rx,LossRate
1,2,3,2415,1964,18.6749%
2,2,9,2415,2385,1.24224%
3,3,4,2415,2390,1.0352%
4,4,5,2414,2409,0.207125%
5,4,11,2414,2409,0.207125%
6,1,2,2273,2207,2.90365%
7,1,8,2273,2183,3.95952%
8,5,6,2413,2413,0%
9,5,12,2413,2413,0%
10,6,7,2413,2412,0.0414422%
11,6,13,2413,2407,0.248653%
12,3,10,2413,2393,0.828844%
13,7,8,2412,2410,0.0829187%
14,7,14,2270,1875,17.4009%
15,8,9,2412,2247,6.8408%
16,9,10,2411,2399,0.497719%
17,9,1,2342,2211,5.59351%
18,10,11,2410,2410,0%
19,10,2,2410,2349,2.53112%
20,11,12,2410,2405,0.207469%
21,11,3,2410,2393,0.705394%
22,12,13,2409,2408,0.041511%
23,12,4,2409,2407,0.083022%
24,13,14,2309,1779,22.9537%
25,13,5,2409,2384,1.03778%
26,14,6,2218,2021,8.88188%
27,0,1,45,9,80%
