FlowId,Src,Dest,Tx,Rx,LossRate
1,2,3,2415,2415,0%
2,2,9,2415,2415,0%
3,3,4,2415,2415,0%
4,4,5,2414,2414,0%
5,4,11,2414,2380,1.40845%
6,1,2,2414,2385,1.20133%
7,1,8,2414,2353,2.52693%
8,5,6,2413,2413,0%
9,5,12,2413,2413,0%
10,6,7,2413,2413,0%
11,6,13,2413,2413,0%
12,3,10,2413,2413,0%
13,7,8,2412,2412,0%
14,7,14,2412,2412,0%
15,8,9,2412,2412,0%
16,9,10,2411,2411,0%
17,9,1,2411,2390,0.871008%
18,10,11,2410,2400,0.414938%
19,10,2,2410,2410,0%
20,11,12,2410,2299,4.60581%
21,11,3,2410,2275,5.60166%
22,12,13,2409,2409,0%
23,12,4,2409,2399,0.41511%
24,13,14,2409,2409,0%
25,13,5,2409,2408,0.041511%
26,14,6,2408,2407,0.0415282%
27,0,1,2294,2292,0.087184%
28,0,7,2294,2294,0%
29,14,0,2290,2290,0%
30,8,0,2270,2270,0%
