FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1397,930,33.4288%
2,2,3,563,230,59.1474%
3,5,12,1837,1405,23.5166%
4,6,13,1010,703,30.396%
5,3,10,1147,689,39.9303%
6,7,8,1075,758,29.4884%
7,7,14,1466,973,33.6289%
8,9,1,803,649,19.1781%
9,10,2,604,335,44.5364%
10,4,11,877,585,33.2953%
11,2,9,253,109,56.917%
12,4,5,585,294,49.7436%
13,9,10,424,101,76.1792%
14,6,7,761,157,79.3693%
15,1,2,565,146,74.1593%
16,12,13,1296,775,40.2006%
17,14,6,511,303,40.7045%
18,5,6,607,259,57.3311%
19,8,9,166,17,89.759%
20,12,4,409,177,56.7237%
21,13,14,864,617,28.588%
22,3,4,240,143,40.4167%
23,13,5,903,684,24.2525%
24,11,12,264,182,31.0606%
25,11,3,170,69,59.4118%
26,8,0,106,17,83.9623%
27,14,0,148,35,76.3514%
28,0,7,99,18,81.8182%
29,10,11,164,123,25%
30,1,8,101,20,80.198%
