FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1296,909,29.8611%
2,2,3,761,313,58.8699%
3,4,11,954,618,35.2201%
4,5,12,2071,1612,22.1632%
5,6,13,1269,706,44.3656%
6,3,10,1010,681,32.5743%
7,7,8,1246,839,32.6645%
8,7,14,1388,1022,26.3689%
9,9,1,780,697,10.641%
10,10,2,742,379,48.9218%
11,2,9,442,156,64.7059%
12,13,14,564,3,99.4681%
13,13,5,1244,864,30.5466%
14,4,5,637,286,55.102%
15,9,10,487,154,68.3778%
16,6,7,799,164,79.4743%
17,1,2,629,173,72.496%
18,12,13,1259,716,43.1295%
19,14,0,199,29,85.4271%
20,14,6,486,176,63.786%
21,5,6,894,384,57.047%
22,8,9,245,0,100%
23,12,4,388,272,29.8969%
24,3,4,226,127,43.8053%
25,11,12,270,185,31.4815%
26,10,11,189,138,26.9841%
27,11,3,171,45,73.6842%
28,8,0,152,29,80.9211%
29,1,8,132,60,54.5455%
30,0,7,165,8,95.1515%
