FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1197,412,65.5806%
2,0,7,1188,504,57.5758%
3,2,9,1432,762,46.7877%
4,1,2,1179,536,54.5377%
5,1,8,500,153,69.4%
6,5,6,2333,2103,9.85855%
7,5,12,2318,1659,28.4297%
8,7,8,2334,2147,8.012%
9,8,9,2188,1543,29.479%
10,8,0,1408,343,75.6392%
11,9,10,1495,815,45.4849%
12,9,1,552,62,88.7681%
13,10,2,1703,1308,23.1944%
14,11,12,2410,2407,0.124481%
15,11,3,2410,2310,4.14938%
16,14,6,2303,1642,28.7017%
17,3,4,2172,2068,4.78821%
18,3,10,1526,1085,28.8991%
19,12,13,1790,1430,20.1117%
20,12,4,2186,1651,24.4739%
21,14,0,1970,961,51.2183%
22,6,7,1796,1346,25.0557%
23,6,13,1723,323,81.2536%
24,2,3,2172,2139,1.51934%
25,4,5,2026,1251,38.2527%
26,4,11,2076,1638,21.0983%
27,7,14,1781,352,80.2358%
28,13,14,1610,1535,4.65839%
29,13,5,1652,1538,6.90073%
30,10,11,1365,1344,1.53846%
