编队,难度,Static 基线_PDR(%),Static 基线_时延(ms),Static 基线_吞吐(Mbps),Static 基线_平均功率(dBm),Static 基线_平均速率(Mbps),原版 Dynamic_PDR(%),原版 Dynamic_时延(ms),原版 Dynamic_吞吐(Mbps),原版 Dynamic_平均功率(dBm),原版 Dynamic_平均速率(Mbps),修正版 Dynamic_PDR(%),修正版 Dynamic_时延(ms),修正版 Dynamic_吞吐(Mbps),修正版 Dynamic_平均功率(dBm),修正版 Dynamic_平均速率(Mbps)
v_formation,Easy,100.0,2.33,0.195,20.0,6.0,100.0,2.33,0.195,10.5,10.7,100.0,0.22,0.213,10.0,53.6
v_formation,Moderate,62.3,73.29,0.105,20.0,6.0,53.1,98.68,0.081,10.5,10.7,68.7,13.56,0.123,26.7,53.4
v_formation,Hard,61.8,103.52,0.102,20.0,6.0,46.2,174.04,0.068,10.5,10.7,67.2,21.33,0.117,28.1,53.5
cross,Easy,100.0,2.33,0.195,20.0,6.0,100.0,2.33,0.195,10.7,10.7,100.0,0.22,0.213,10.0,53.6
cross,Moderate,89.1,12.47,0.161,20.0,6.0,83.3,34.24,0.152,10.7,10.7,91.4,1.65,0.179,27.3,53.3
cross,Hard,88.6,19.14,0.161,20.0,6.0,76.7,85.28,0.137,10.7,10.7,91.3,4.23,0.179,28.9,53.2
line,Easy,100.0,2.33,0.195,20.0,6.0,100.0,2.33,0.195,10.6,10.7,100.0,0.22,0.213,10.0,53.6
line,Moderate,100.0,4.36,0.195,20.0,6.0,97.2,4.42,0.190,10.6,10.7,98.4,2.40,0.212,25.9,53.0
line,Hard,94.2,8.45,0.184,20.0,6.0,94.3,10.97,0.184,10.6,10.7,97.3,6.23,0.210,27.8,52.9
triangle,Easy,100.0,2.33,0.195,20.0,6.0,100.0,2.33,0.195,10.5,10.7,100.0,0.22,0.213,10.0,53.6
triangle,Moderate,27.2,92.69,0.026,20.0,6.0,16.2,36.69,0.018,10.5,10.7,23.8,11.87,0.030,26.7,53.4
triangle,Hard,22.8,28.13,0.025,20.0,6.0,16.2,77.91,0.016,10.5,10.7,24.4,24.42,0.031,28.2,53.5
