FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
1,10.0.0.3,10.0.0.4,11,11,0,0,671995,0.0113665
2,10.0.0.4,10.0.0.3,6,6,0,0,63290,0.00921804
3,10.0.0.5,10.0.0.9,14,14,0,0,946270,0.00585034
4,10.0.0.9,10.0.0.5,7,7,0,0,64062.9,0.00446228
5,10.0.0.3,10.0.0.5,14,14,0,0,945171,0.00484796
6,10.0.0.5,10.0.0.3,7,7,0,0,62616.4,0.00541613
7,10.0.0.14,10.0.0.6,15,15,0,0,1.03006e+06,0.00538726
8,10.0.0.6,10.0.0.14,8,8,0,0,71019.1,0.00265841
9,10.0.0.13,10.0.0.5,12,12,0,0,764360,0.0124579
10,10.0.0.5,10.0.0.13,6,6,0,0,64986.8,0.00625708
11,10.0.0.3,10.0.0.9,13,13,0,0,854085,0.0127241
12,10.0.0.9,10.0.0.3,7,7,0,0,75616.1,0.00155518
13,10.0.0.9,10.0.0.6,12,12,0,0,764291,0.0114148
14,10.0.0.6,10.0.0.9,6,6,0,0,63287.7,0.00426821
15,10.0.0.9,10.0.0.1,13,13,0,0,855481,0.00467119
16,10.0.0.1,10.0.0.9,7,7,0,0,62713,0.00747738
17,10.0.0.10,10.0.0.5,11,11,0,0,673671,0.0122634
18,10.0.0.5,10.0.0.10,6,6,0,0,65093.8,0.0093441
19,10.0.0.8,10.0.0.3,13,13,0,0,851984,0.0108443
20,10.0.0.3,10.0.0.8,7,7,0,0,71641.6,0.00441715
21,10.0.0.15,10.0.0.11,14,14,0,0,946428,0.00378916
22,10.0.0.11,10.0.0.15,7,7,0,0,61325.2,0.00647812
23,10.0.0.2,10.0.0.4,12,12,0,0,763406,0.00735447
24,10.0.0.4,10.0.0.2,6,6,0,0,57367.1,0.00926337
25,10.0.0.4,10.0.0.11,14,14,0,0,947521,0.00383716
26,10.0.0.11,10.0.0.4,7,7,0,0,61463.5,0.00446213
27,10.0.0.14,10.0.0.9,14,14,0,0,947103,0.00578047
28,10.0.0.9,10.0.0.14,7,7,0,0,63950.5,0.0034362
29,10.0.0.2,10.0.0.13,11,11,0,0,673244,0.0122737
30,10.0.0.13,10.0.0.2,6,6,0,0,64987,0.00821942
31,10.0.0.2,10.0.0.1,14,14,0,0,945226,0.00391164
32,10.0.0.1,10.0.0.2,7,7,0,0,61231.3,0.00743267
33,10.0.0.12,10.0.0.6,14,14,0,0,945813,0.00592779
34,10.0.0.6,10.0.0.12,7,7,0,0,64137.2,0.00349954
35,10.0.0.3,10.0.0.1,12,12,0,0,763551,0.00859464
36,10.0.0.1,10.0.0.3,6,6,0,0,58920,0.0102172
37,10.0.0.12,10.0.0.3,14,14,0,0,945829,0.00596489
38,10.0.0.3,10.0.0.12,7,7,0,0,64123.5,0.00440881
39,10.0.0.15,10.0.0.13,13,13,0,0,852686,0.011824
40,10.0.0.13,10.0.0.15,7,7,0,0,73476.5,0.00339109
41,10.0.0.11,10.0.0.2,13,13,0,0,851421,0.0129285
42,10.0.0.2,10.0.0.11,7,7,0,0,75214.7,0.00250047
43,10.0.0.1,10.0.0.4,11,11,0,0,673667,0.0111216
44,10.0.0.4,10.0.0.1,6,6,0,0,63175.4,0.00927222
45,10.0.0.14,10.0.0.8,13,13,0,0,855824,0.00853555
46,10.0.0.8,10.0.0.14,7,7,0,0,68434.3,0.00450713
47,10.0.0.10,10.0.0.9,14,14,0,0,946851,0.00389069
48,10.0.0.9,10.0.0.10,7,7,0,0,61485.9,0.00548829
49,10.0.0.6,10.0.0.15,12,12,0,0,763624,0.00840623
50,10.0.0.15,10.0.0.6,6,6,0,0,58759.2,0.0102354
51,10.0.0.12,10.0.0.15,15,15,0,0,1.03903e+06,0.00395699
52,10.0.0.15,10.0.0.12,8,8,0,0,70017.8,0.00266797
53,10.0.0.4,10.0.0.11,15,15,0,0,1.03885e+06,0.00281165
54,10.0.0.11,10.0.0.4,8,8,0,0,68340.7,0.00133612
55,10.0.0.11,10.0.0.3,12,12,0,0,764389,0.00658623
56,10.0.0.3,10.0.0.11,6,6,0,0,56310.1,0.00921809
57,10.0.0.8,10.0.0.7,13,13,0,0,855450,0.00662573
58,10.0.0.7,10.0.0.8,7,7,0,0,65488.6,0.00738713
59,10.0.0.6,10.0.0.4,14,14,0,0,943006,0.010099
60,10.0.0.4,10.0.0.6,7,7,0,0,69894.1,0.0015103
61,10.0.0.3,10.0.0.2,14,14,0,0,946217,0.00682013
62,10.0.0.2,10.0.0.3,7,7,0,0,65433.6,0.0034724
63,10.0.0.13,10.0.0.14,12,12,0,0,763951,0.00752442
