time_s,nodeId,x,y,z
1,0,0,0,0
1,1,3.671,1.709,21.83
1,2,2.279,-0.377,8
1,3,3.698,-0.499,8.2
1,4,1.197,0.233,3.63
1,5,6.969,-0.677,17.66
1,6,5.799,0.499,10.58
1,7,6.952,0.033,6.37
1,8,7.954,0.078,9.91
1,9,-1.037,0.977,6.61
1,10,-0.035,1.01,10.09
1,11,3.573,3.585,34.74
1,12,1.906,1.065,6.28
1,13,2.483,0.622,6.4
1,14,-1.04034,0.0256654,6.26667
2,0,0,0,0
2,1,3.671,1.709,21.83
2,2,2.279,-0.377,8
2,3,3.698,-0.499,8.2
2,4,1.197,0.233,3.63
2,5,6.969,-0.677,17.66
2,6,5.799,0.499,10.58
2,7,6.952,0.033,6.37
2,8,7.954,0.078,9.91
2,9,-1.037,0.977,6.61
2,10,-0.035,1.01,10.09
2,11,3.573,3.585,34.74
2,12,1.906,1.065,6.28
2,13,2.483,0.622,6.4
2,14,-1.03467,0.0293309,6.26334
3,0,0,0,0
3,1,3.671,1.709,21.83
3,2,2.279,-0.377,8
3,3,3.698,-0.499,8.2
3,4,1.197,0.233,3.63
3,5,6.969,-0.677,17.66
3,6,5.799,0.499,10.58
3,7,6.952,0.033,6.37
3,8,7.954,0.078,9.91
3,9,-1.03772,0.989752,6.57283
3,10,-0.035,1.01,10.09
3,11,3.573,3.585,34.74
3,12,1.906,1.065,6.28
3,13,2.483,0.622,6.4
3,14,-1.02901,0.0329963,6.26
4,0,0,0,0
4,1,3.671,1.709,21.83
4,2,2.279,-0.377,8
4,3,3.698,-0.499,8.2
4,4,1.197,0.233,3.63
4,5,6.969,-0.677,17.66
4,6,5.799,0.499,10.58
4,7,6.952,0.033,6.37
4,8,7.954,0.078,9.91
4,9,-1.04536,1.00843,6.47859
4,10,-0.035,1.01241,10.0068
4,11,3.573,3.585,34.74
4,12,1.906,1.065,6.28
4,13,2.483,0.622,6.4
4,14,-1.04138,0.0172865,6.25524
5,0,0,0,0
5,1,3.671,1.709,21.83
5,2,2.279,-0.377,8
5,3,3.698,-0.499,8.2
5,4,1.197,0.233,3.63
5,5,6.969,-0.677,17.66
5,6,5.799,0.499,10.58
5,7,6.952,0.033,6.37
5,8,7.954,0.078,9.91
5,9,-1.04236,1.0011,6.4253
5,10,-0.035,1.01616,9.87735
5,11,3.573,3.585,34.74
5,12,1.906,1.065,6.28
5,13,2.483,0.622,6.4
5,14,-1.05377,0.0015572,6.25047
6,0,0,0,-0.0156263
6,1,3.671,1.709,21.83
6,2,2.279,-0.377,8
6,3,3.698,-0.499,8.2
6,4,1.197,0.233,3.63
6,5,6.969,-0.677,17.66
