time,num_links,connectivity
2,32,0.304762
4,32,0.304762
6,31,0.295238
8,31,0.295238
10,31,0.295238
12,40,0.380952
14,40,0.380952
16,41,0.390476
18,41,0.390476
20,41,0.390476
22,36,0.342857
24,36,0.342857
26,34,0.32381
28,34,0.32381
30,34,0.32381
32,32,0.304762
34,32,0.304762
36,30,0.285714
38,30,0.285714
40,30,0.285714
42,29,0.27619
44,29,0.27619
46,35,0.333333
48,35,0.333333
50,35,0.333333
52,33,0.314286
54,33,0.314286
56,41,0.390476
58,41,0.390476
60,41,0.390476
62,36,0.342857
64,36,0.342857
66,29,0.27619
68,29,0.27619
70,29,0.27619
72,34,0.32381
74,34,0.32381
76,27,0.257143
78,27,0.257143
80,27,0.257143
82,26,0.247619
84,26,0.247619
86,20,0.190476
88,20,0.190476
90,20,0.190476
92,27,0.257143
94,27,0.257143
96,27,0.257143
98,27,0.257143
100,27,0.257143
102,25,0.238095
104,25,0.238095
106,26,0.247619
108,26,0.247619
110,26,0.247619
112,29,0.27619
114,29,0.27619
116,24,0.228571
118,24,0.228571
120,24,0.228571
122,31,0.295238
124,31,0.295238
126,27,0.257143
128,27,0.257143
130,27,0.257143
132,21,0.2
134,21,0.2
136,22,0.209524
138,22,0.209524
140,22,0.209524
142,21,0.2
144,21,0.2
146,25,0.238095
148,25,0.238095
150,25,0.238095
152,25,0.238095
154,25,0.238095
156,26,0.247619
158,26,0.247619
160,26,0.247619
162,25,0.238095
164,25,0.238095
166,22,0.209524
168,22,0.209524
170,22,0.209524
172,19,0.180952
174,19,0.180952
176,20,0.190476
178,20,0.190476
180,20,0.190476
182,20,0.190476
184,20,0.190476
186,22,0.209524
188,22,0.209524
190,22,0.209524
192,17,0.161905
194,17,0.161905
196,18,0.171429
198,18,0.171429
