time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.000714611,100992,1,0.000998868,84160,1,0.000903399,75744,1,0.000971578,67328,1,0.00118605,58912,1,0.00124672,50496,1,0.00179576,33664,1,0.00266744,25248,1,0.000686137,16832,1,0.00353856,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.000551316,134656,1,0.000667648,129045,1,0.000625489,117824,1,0.000618289,112213,1,0.000680394,106603,1,0.000666775,100992,1,0.000706628,95381.3,1,0.000839128,84160,1,0.000438686,78549.3,1,0.000622064,72938.7,1,0.000613895,67328,1,0.000801119,56106.7,1,0.0013463,50496,1,0.000964363,44885.3,1,0.00111728,39274.7
4,1,0.000497509,151488,1,0.00056856,147280,1,0.000534997,143072,1,0.000531232,134656,1,0.000567664,130448,1,0.000552886,126240,1,0.000574941,122032,1,0.000628306,117824,1,0.000410824,109408,1,0.000505224,105200,1,0.000503207,100992,1,0.000563779,96784,1,0.000795712,88368,1,0.000610061,84160,1,0.000650607,79952
5,1,0.000469668,161587,1,0.000522559,158221,1,0.000494696,154854,1,0.000489391,151488,1,0.000513353,144755,1,0.000505576,141389,1,0.000517046,138022,1,0.000557242,134656,1,0.00039797,131290,1,0.000463929,124557,1,0.000457436,121190,1,0.000503132,117824,1,0.000639477,114458,1,0.000529501,107725,1,0.000541455,104358
6,1,0.000452292,171125,1,0.000494813,165515,1,0.000471924,162709,1,0.000467733,159904,1,0.000483006,157099,1,0.000478876,151488,1,0.000486472,148683,1,0.00051863,145877,1,0.000397052,143072,1,0.000444403,140267,1,0.0004398,134656,1,0.000473741,131851,1,0.000571336,129045,1,0.000486888,126240,1,0.000496573,120629
7,1,0.000440494,175534,1,0.000474926,173129,1,0.000456382,168320,1,0.000452173,165915,1,0.000464264,163511,1,0.000459194,161106,1,0.000466702,156297,1,0.000494428,153893,1,0.000394055,151488,1,0.00043233,149083,1,0.000428199,146679,1,0.000455238,141870,1,0.000531856,139465,1,0.000465225,137061,1,0.000469256,134656
8,1,0.000433774,178840,1,0.00046117,176736,1,0.000443034,174632,1,0.000444501,170424,1,0.000450638,168320,1,0.00044702,166216,1,0.00045251,164112,1,0.000477276,159904,1,0.000391477,157800,1,0.000425023,155696,1,0.000420731,153592,1,0.000442496,151488,1,0.000506492,147280,1,0.000451748,145176,1,0.000453219,143072
9,1,0.000428346,181412,1,0.000451839,179541,1,0.000435563,177671,1,0.000435809,173931,1,0.000442719,172060,1,0.00043959,170190,1,0.00044381,168320,1,0.00046158,166450,1,0.000391576,162709,1,0.000419599,160839,1,0.000415901,158969,1,0.000432517,157099,1,0.000486544,155228,1,0.000440154,151488,1,0.000443399,149618
10,1,0.00042337,183469,1,0.000444664,181786,1,0.000431197,180102,1,0.000428645,178419,1,0.0004352,175053,1,0.000432537,173370,1,0.000436804,171686,1,0.00045124,170003,1,0.000390685,168320,1,0.00041486,164954,1,0.000412776,163270,1,0.000425923,161587,1,0.000473104,159904,1,0.000431599,156538,1,0.000434869,154854
11,1,0.000419579,186682,1,0.000437874,183622,1,0.000426161,182092,1,0.000424094,180561,1,0.000428858,179031,1,0.000426917,175971,1,0.000431904,174441,1,0.000445167,172911,1,0.000388838,171380,1,0.000411325,169850,1,0.000409184,166790,1,0.00042042,165260,1,0.000462426,163729,1,0.000426067,162199,1,0.00042926,159139
12,1,0.000416316,187957,1,0.000432775,186555,1,0.000422529,183749,1,0.000421109,182347,1,0.000423841,180944,1,0.000422454,179541,1,0.000427795,176736,1,0.000439647,175333,1,0.000387674,173931,1,0.000408649,172528,1,0.000405908,171125,1,0.000417667,168320,1,0.0004536,166917,1,0.000421445,165515,1,0.000425241,164112
13,1,0.000413343,189036,1,0.000428232,187742,1,0.000418923,186447,1,0.00041771,183857,1,0.000419583,182562,1,0.000418734,181268,1,0.000423114,179973,1,0.000435061,177383,1,0.000387444,176089,1,0.000406049,174794,1,0.000405045,173499,1,0.000414442,172204,1,0.000448073,169615,1,0.000416429,168320,1,0.000422032,167025
14,1,0.000411249,189961,1,0.0004249,188759,1,0.000416199,187557,1,0.000415113,186354,1,0.000416874,183950,1,0.000415601,182747,1,0.000419609,181545,1,0.000431416,180343,1,0.000386338,177938,1,0.000404087,176736,1,0.000403491,175534,1,0.000412038,174331,1,0.000441881,173129,1,0.000414099,170725,1,0.0004187,169522
15,1,0.00040953,190763,1,0.000422121,189641,1,0.000413891,188518,1,0.00041233,187396,1,0.000414355,186274,1,0.000412954,184030,1,0.000416316,182908,1,0.000427787,181786,1,0.000385927,180663,1,0.000403016,178419,1,0.000401519,177297,1,0.000409743,176175,1,0.000437103,175053,1,0.000411116,173931,1,0.000415185,171686
16,1,0.000407444,192516,1,0.000419313,190412,1,0.000411865,189360,1,0.000409217,188308,1,0.000412708,187256,0.99435,0.000411486,185152,1,0.000414144,184100,1,0.000424761,183048,1,0.000386777,181996,1,0.000401395,180944,1,0.000400513,178840,1,0.000408547,177788,1,0.000433276,176736,1,0.000408385,175684,1,0.000412397,174632
17,1,0.000405949,193073,1,0.000417061,192083,1,0.000409859,190103,1,0.00040706,189112,1,0.000410985,188122,1,0.000409644,187132,1,0.000411697,185152,1,0.000421908,184162,1,0.000387468,183172,1,0.000399618,182182,1,0.000399314,181192,1,0.000406663,179211,1,0.000429909,178221,1,0.000406347,177231,1,0.000410584,176241
18,1,0.000404671,193568,1,0.000414386,192633,1,0.000408063,191698,1,0.000406355,189828,1,0.000409578,188892,1,0.000408445,187957,1,0.000409692,187022,1,0.000419537,185152,1,0.000387596,184217,1,0.000398127,183282,1,0.000398688,182347,1,0.000404703,181412,1,0.00042633,179541,1,0.000404683,178606,1,0.00040836,177671
19,1,0.00040308,194011,1,0.000413677,193125,1,0.000406892,192239,1,0.00040505,191353,1,0.000408434,189581,1,0.000407211,188696,1,0.000407849,187810,1,0.000417262,186924,1,0.000387019,185152,1,0.000397415,184266,1,0.000397917,183380,1,0.000403556,182494,1,0.000423578,181608,1,0.000403392,179837,1,0.000406846,178951
20,1,0.000402045,194410,1,0.000412025,193568,1,0.000405883,192726,1,0.000404489,191885,1,0.000407471,191043,1,0.000406209,189360,1,0.000406565,188518,1,0.000415003,187677,1,0.000386864,186835,1,0.000396002,185152,1,0.000397334,184310,1,0.000402969,183469,1,0.000421301,182627,1,0.000402102,181786,1,0.000405856,180102
21,1,0.00040147,195572,1,0.00041089,193969,1,0.000404508,193167,1,0.000403721,192366,1,0.000406157,191564,1,0.000404732,190763,1,0.000405202,189160,1,0.000413683,188358,1,0.000386502,187557,1,0.000395177,186755,1,0.000397317,185152,1,0.000401895,184350,1,0.000419576,183549,1,0.000401579,182747,1,0.000404823,181946
22,1,0.000400874,195863,1,0.0004095,195098,1,0.000403245,193568,1,0.000402652,192803,1,0.000405507,192038,1,0.000404094,191273,1,0.000403985,190508,1,0.000411999,188977,1,0.000385864,188212,1,0.000394551,187447,1,0.00039681,186682,1,0.000401542,185152,1,0.000417557,184387,1,0.000400658,183622,1,0.000404487,182857
23,1,0.000400181,196129,1,0.00040818,195398,1,0.000402337,194666,1,0.000401424,193202,1,0.000403906,192470,1,0.00040305,191738,1,0.000402958,191007,1,0.000410563,190275,1,0.000385426,188811,1,0.000394176,188079,1,0.000396151,187347,1,0.000400488,186616,1,0.000416174,185152,1,0.000399629,184420,1,0.000403754,183688
