time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.00137197,100992,1,0.00177552,84160,1,0.00185301,75744,1,0.00225683,67328,1,0.00221517,58912,1,0.00211639,50496,1,0.00266225,33664,0.5,0.00139011,12624,1,0.00212439,16832,1,0.00332088,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.00134566,134656,1,0.00143601,129045,1,0.0015189,117824,1,0.00147736,112213,1,0.00162352,106603,1,0.00140137,100992,1,0.00141042,95381.3,0.666667,0.277012,56106.7,1,0.00121426,78549.3,1,0.00134534,72938.7,1,0.00163138,67328,1,0.00141979,56106.7,1,0.00228682,50496,1,0.00214695,44885.3,1,0.00226865,39274.7
4,1,0.00135634,151488,1,0.00150354,147280,1,0.00155122,143072,1,0.00151383,134656,1,0.00150472,130448,1,0.00142056,126240,1,0.00117875,122032,0.821429,0.077658,96784,1,0.00105488,109408,1,0.00121907,105200,1,0.00140934,100992,1,0.00127528,96784,1,0.00174801,88368,1,0.00153224,84160,1,0.00151165,79952
5,1,0.0013168,161587,1,0.00140405,158221,1,0.00143746,154854,1,0.00155365,151488,1,0.00146498,144755,1,0.00136029,141389,1,0.0012033,138022,0.875,0.0470493,117824,1,0.00103403,131290,1,0.00116211,124557,1,0.00126833,121190,1,0.00130016,117824,1,0.00161682,114458,1,0.00135266,107725,1,0.00144955,104358
6,1,0.00133719,171125,1,0.00138392,165515,1,0.00143488,162709,1,0.00157263,159904,1,0.00139532,157099,1,0.00135301,151488,1,0.00112148,148683,0.903846,0.0338761,131851,1,0.00103588,143072,1,0.00119018,140267,1,0.00130795,134656,1,0.00125852,131851,1,0.00150038,129045,1,0.00130542,126240,1,0.00127729,120629
7,1,0.00131191,175534,1,0.0013698,173129,1,0.00140221,168320,1,0.00155044,165915,1,0.00149018,163511,1,0.00137891,161106,1,0.00108535,156297,0.921875,0.0265774,141870,1,0.000991168,151488,1,0.00117032,149083,0.991803,0.00127828,145477,1,0.00122743,141870,1,0.00142921,139465,1,0.0014051,137061,1,0.00126399,134656
8,1,0.00130797,178840,1,0.00136076,176736,0.987952,0.00135419,172528,1,0.00152344,170424,1,0.0014852,168320,1,0.00136235,166216,1,0.00106105,164112,0.934211,0.0219311,149384,1,0.00101298,157800,1,0.00125752,155696,1,0.00132575,153592,0.993056,0.00119636,150436,1,0.00134877,147280,1,0.00134476,145176,1,0.00128152,143072
9,1,0.00129667,181412,1,0.00134102,179541,1,0.00136274,177671,1,0.00150498,173931,1,0.00147818,172060,1,0.00136776,170190,1,0.0010583,168320,0.94382,0.0184548,157099,1,0.000984582,162709,1,0.00124527,160839,1,0.00133363,158969,1,0.00122397,157099,0.993976,0.00133844,154293,1,0.0013717,151488,1,0.00127013,149618
10,1,0.00128698,183469,1,0.00132998,181786,1,0.00133745,180102,1,0.00145711,178419,1,0.00143794,175053,1,0.00132974,173370,1,0.00108033,171686,0.950495,0.0161926,161587,1,0.000993965,168320,1,0.00122091,164954,1,0.0012867,163270,1,0.00122364,161587,1,0.00131935,159904,1,0.00133078,156538,1,0.00129422,154854
11,1,0.00129313,186682,1,0.0013554,183622,1,0.00134196,182092,1,0.00145705,180561,1,0.00144215,179031,1,0.00130005,175971,1,0.00104754,174441,0.955752,0.0144018,165260,1,0.000983766,171380,1,0.00122812,169850,1,0.00127971,166790,1,0.00123877,165260,1,0.0013321,163729,1,0.00129628,162199,1,0.00129818,159139
12,1,0.00128601,187957,1,0.00133319,186555,1,0.00133919,183749,1,0.00144341,182347,1,0.00144064,180944,1,0.0013385,179541,1,0.00105506,176736,0.96,0.0129965,168320,1,0.000989042,173931,1,0.00123047,172528,1,0.00125942,171125,1,0.00120707,168320,1,0.00130429,166917,1,0.00128664,165515,1,0.00127028,164112
13,1,0.00131904,189036,1,0.00135461,187742,1,0.00133446,186447,1,0.0014169,183857,1,0.00140805,182562,1,0.00131228,181268,1,0.00103417,179973,0.963504,0.0118565,170910,1,0.000992952,176089,1,0.00125467,174794,1,0.00128652,173499,0.996241,0.00120544,171557,1,0.0012914,169615,1,0.00126241,168320,1,0.00125722,167025
14,1,0.001305,189961,1,0.0013396,188759,1,0.00134551,187557,1,0.00140791,186354,1,0.00142371,183950,1,0.00132541,182747,1,0.00103282,181545,0.966667,0.0108434,174331,1,0.000979708,177938,1,0.0012303,176736,1,0.00127812,175534,1,0.00120373,174331,1,0.0012996,173129,1,0.00124767,170725,1,0.00126075,169522
15,1,0.00128891,190763,1,0.00134407,189641,1,0.00133554,188518,1,0.0014093,187396,0.993976,0.00141114,185152,1,0.00130902,184030,1,0.00102815,182908,0.969136,0.0100807,176175,1,0.000999665,180663,1,0.00123157,178419,1,0.00128219,177297,1,0.00119463,176175,1,0.00127204,175053,1,0.00122991,173931,1,0.00124411,171686
16,1,0.00128481,192516,1,0.00133454,190412,1,0.00133242,189360,1,0.00140924,188308,1,0.00142687,187256,0.99435,0.00131795,185152,1,0.00102255,184100,0.971264,0.00939848,177788,1,0.000985199,181996,1,0.00121986,180944,1,0.00128199,178840,1,0.00120491,177788,1,0.00129624,176736,1,0.00125455,175684,0.993976,0.00122814,173580
17,1,0.00128052,193073,1,0.00133473,192083,1,0.001308,190103,1,0.00138175,189112,1,0.00142314,188122,1,0.00132984,187132,1,0.00102698,185152,0.973118,0.00883703,179211,1,0.00098488,183172,1,0.00120993,182182,1,0.00128596,181192,1,0.00119326,179211,1,0.00128458,178221,1,0.00123931,177231,1,0.00123034,176241
18,1,0.00129292,193568,1,0.00134294,192633,1,0.00130549,191698,1,0.00138308,189828,1,0.00140649,188892,1,0.00133794,187957,1,0.00100806,187022,0.974747,0.00832501,180476,1,0.000978878,184217,1,0.00121866,183282,1,0.00130247,182347,1,0.00122525,181412,1,0.00127652,179541,1,0.00122511,178606,1,0.00122748,177671
19,1,0.00126805,194011,1,0.00133268,193125,1,0.00130547,192239,1,0.0013679,191353,1,0.00140039,189581,1,0.00133929,188696,1,0.00101304,187810,0.976303,0.00784766,182494,1,0.000979222,185152,1,0.00122921,184266,1,0.00129573,183380,1,0.00120528,182494,1,0.00127096,181608,1,0.00122261,179837,1,0.00122958,178951
20,1,0.00128312,194410,1,0.00133826,193568,1,0.00130841,192726,1,0.00136075,191885,1,0.00139287,191043,1,0.00133238,189360,1,0.0010039,188518,0.977578,0.00746499,183469,1,0.000986619,186835,1,0.00122418,185152,1,0.00130306,184310,1,0.00120242,183469,1,0.00126897,182627,1,0.00121266,181786,1,0.0012145,180102
21,1,0.00127609,195572,1,0.0013195,193969,1,0.00131046,193167,1,0.00137425,192366,1,0.00140056,191564,1,0.00132943,190763,1,0.00100196,189160,0.978723,0.00712068,184350,1,0.00097369,187557,1,0.00120945,186755,1,0.00130038,185152,1,0.00119957,184350,1,0.00127799,183549,1,0.0012323,182747,0.997797,0.0012329,181545
22,1,0.00128161,195863,1,0.00132433,195098,1,0.00130428,193568,1,0.00136658,192803,1,0.00137979,192038,1,0.00132728,191273,0.997992,0.00100395,190125,0.979757,0.00681369,185152,1,0.000982497,188212,1,0.0012093,187447,1,0.00128306,186682,1,0.00119639,185152,1,0.00125587,184387,1,0.00123607,183622,1,0.00122892,182857
23,1,0.00127342,196129,1,0.00133036,195398,1,0.00131644,194666,1,0.00135786,193202,1,0.00137773,192470,1,0.001323,191738,1,0.00100298,191007,0.978846,0.0065209,186250,1,0.0009739,188811,1,0.00120788,188079,1,0.00128467,187347,1,0.00119765,186616,1,0.00126471,185152,1,0.00124532,184420,1,0.00122252,183688
24,1,0.00127586,196373,1,0.00132581,195672,1,0.00132162,194971,1,0.00134237,194269,1,0.00136438,192867,1,0.00131618,192165,1,0.00101067,191464,0.981618,0.00625246,187256,1,0.000974408,189360,1,0.00119892,188659,1,0.00127897,187957,1,0.00117854,187256,1,0.00125464,186555,1,0.00124086,185152,1,0.0012228,184451
25,1,0.00127883,196598,1,0.00132148,195924,1,0.00132413,195251,1,0.00135634,194578,1,0.00136437,193905,1,0.00131948,192558,1,0.00100033,191885,0.982394,0.00602037,187845,1,0.000976385,190538,1,0.00120514,189192,1,0.00128918,188518,1,0.00119237,187845,1,0.00125427,187172,1,0.00122883,186499,1,0.00122785,185152
26,1,0.00127343,197452,1,0.00131135,196158,1,0.00131658,195510,1,0.00135817,194863,1,0.00136501,194215,1,0.00132764,193568,1,0.0010019,192273,0.983108,0.00580696,188389,1,0.000976242,190978,1,0.0011978,190331,1,0.00127676,189036,1,0.00118579,188389,1,0.00126596,187742,1,0.00123704,187094,1,0.00123474,186447
27,1,0.00128404,197620,1,0.00131243,196997,1,0.00130676,195750,1,0.00134613,195127,1,0.00136733,194503,1,0.00132451,193880,1,0.000999573,193256,0.983766,0.00561185,188892,1,0.000979036,191386,1,0.00120261,190763,1,0.0012785,190139,1,0.00117625,188892,1,0.00125902,188269,1,0.00123023,187646,1,0.0012243,187022
28,1,0.00127604,197776,1,0.00131313,197175,1,0.00130241,196574,1,0.00134976,195371,1,0.00137004,194770,1,0.0013415,194169,1,0.00100097,193568,0.984424,0.00541483,189961,1,0.000969547,191765,1,0.00120008,191163,1,0.00127425,190562,1,0.00118296,189961,1,0.00125467,188759,1,0.00123376,188158,1,0.00123004,187557
29,1,0.00128032,197921,1,0.00130884,197341,1,0.00130928,196760,1,0.00134446,196180,1,0.00137433,195019,1,0.00133163,194439,1,0.00100224,193858,0.984985,0.00525553,190376,1,0.00097648,192697,1,0.00119675,191537,1,0.00126713,190956,1,0.00117976,190376,1,0.00123682,189795,1,0.00121841,188634,1,0.00122565,188054
30,0.997175,0.00127435,198057,1,0.00130499,197495,1,0.00131227,196934,1,0.00134433,196373,1,0.00137765,195812,1,0.00132405,194690,1,0.000994953,194129,0.985507,0.00509842,190763,1,0.000974038,193007,0.997085,0.00119882,191885,1,0.00126944,191324,1,0.00118263,190763,1,0.00125017,190202,1,0.00122696,189641,1,0.00122855,188518
31,1,0.00127515,198726,1,0.00130169,197640,1,0.00130343,197097,1,0.00133616,196554,1,0.00137631,196011,1,0.00132366,195468,1,0.000999928,194382,0.985994,0.00496033,191125,1,0.000974364,193297,1,0.00119476,192754,0.997175,0.00125651,191668,1,0.00117822,191125,1,0.00124167,190582,1,0.00122978,190039,1,0.00122867,189496
32,1,0.00128011,198828,1,0.00131014,198302,1,0.00131092,197250,1,0.00133885,196724,1,0.00137917,196198,1,0.00131915,195672,1,0.000994103,195146,0.98645,0.00482292,191464,1,0.000973454,193568,1,0.00119967,193042,1,0.00126112,192516,1,0.0011791,191464,1,0.00123721,190938,1,0.00122914,190412,1,0.00122518,189886
33,1,0.00127472,198924,1,0.00130366,198414,1,0.00131176,197904,1,0.00134008,196883,1,0.00138072,196373,1,0.00132752,195863,1,0.00099851,195353,0.986911,0.0046878,192293,1,0.000974302,193823,1,0.00119123,193313,1,0.00126046,192803,1,0.0011729,192293,1,0.00122936,191273,1,0.00122473,190763,1,0.00122619,190253
34,1,0.0012777,199014,1,0.0013117,198519,1,0.0013052,198024,1,0.00133106,197528,1,0.0013717,196538,1,0.00132307,196043,1,0.000995086,195548,0.98731,0.00457211,192578,1,0.000976057,194558,1,0.00120052,193568,1,0.00125716,193073,1,0.00117103,192578,1,0.00122697,192083,1,0.00121191,191093,1,0.00121789,190598
35,1,0.00126591,199579,1,0.00130614,198618,1,0.00130204,198137,1,0.00134232,197656,1,0.00136899,197175,1,0.00132045,196213,1,0.000994554,195732,0.987685,0.00445992,192847,1,0.000972634,194770,1,0.00120457,194289,1,0.0012547,193328,1,0.00117421,192847,1,0.00122852,192366,1,0.00121564,191885,1,0.00122449,190923
36,1,0.00127875,199646,1,0.0013027,199179,1,0.00129521,198244,1,0.00133638,197776,1,0.00136347,197308,1,0.00131745,196841,1,0.000995133,195906,0.988038,0.00436045,193100,1,0.000980599,194971,1,0.00120017,194503,1,0.00124831,194036,1,0.00117156,193100,1,0.00121633,192633,1,0.00121632,192165,1,0.00122062,191698
37,1,0.00128494,199709,1,0.00130881,199254,0.997712,0.00129691,198345,1,0.00134089,197890,1,0.00136431,197435,1,0.0013156,196980,1,0.000990897,196525,0.988372,0.00425841,193341,1,0.000976021,195160,1,0.00119528,194705,1,0.00124687,194250,1,0.00117499,193795,1,0.00122196,192886,1,0.00121769,192431,1,0.00121575,191976
38,1,0.00127881,199769,1,0.00130339,199326,1,0.00129683,198883,1,0.00133475,197997,1,0.00136393,197555,1,0.0013146,197112,1,0.000998947,196669,0.988713,0.00416466,194011,1,0.000974508,195340,1,0.00119323,194897,1,0.00124833,194454,1,0.00116793,194011,0.997712,0.00121666,193125,1,0.00121336,192682,1,0.00121436,192239
39,1,0.00127922,199826,1,0.00130996,199394,1,0.00129873,198963,1,0.00134057,198531,1,0.00135872,197668,1,0.00131441,197237,1,0.000993711,196805,0.989011,0.00407577,194215,1,0.000973052,195942,1,0.00120018,195079,1,0.00125469,194647,1,0.0011784,194215,1,0.0012149,193784,1,0.0012087,192921,1,0.00121262,192489
40,1,0.00127736,200301,1,0.00130249,199459,1,0.00129443,199038,1,0.00134261,198618,1,0.00136152,198197,1,0.00131696,197355,1,0.000993483,196934,0.989293,0.00399584,194410,1,0.000971607,196093,1,0.00118991,195672,1,0.00125303,194830,1,0.00117903,194410,1,0.00121545,193989,1,0.00120581,193568,1,0.00121299,192726
