time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.5,0,10.7523,10.6239,1,10.6287,10.6856,2,10.6329,10.6835,0,10.6251,10.6874,0,10.6554,10.6723,0,11.1278,10.4361,0,10.7747,10.6126,0,10.8649,10.5676,0,11.1571,10.4214,0,10.7786,10.6107,0,10.805,10.5975,0,10.76,10.62,0,10.6419,10.679,0,10.631,10.6845,0,12.4317,9.78417
5.5,0,10.7508,10.6246,1,10.6273,10.6864,2,10.6314,10.6843,0,10.6236,10.6882,0,10.6539,10.673,0,11.1277,10.4362,0,10.7733,10.6134,0,10.8634,10.5683,0,11.159,10.4205,0,10.7772,10.6114,0,10.804,10.598,0,10.7592,10.6204,0,10.6409,10.6796,0,10.6296,10.6852,0,12.413,9.79349
10.5,0,10.7478,10.6261,1,10.6243,10.6878,2,10.6284,10.6858,0,10.6205,10.6897,0,10.6508,10.6746,0,11.1281,10.4359,0,10.77,10.615,0,10.8599,10.57,0,11.1457,10.4272,0,10.7745,10.6127,0,10.8024,10.5988,0,10.7573,10.6214,0,10.6387,10.6806,0,10.6265,10.6867,0,12.3956,9.80222
15.5,0,10.7283,10.6358,1,10.6057,10.6972,2,10.6099,10.695,0,10.6025,10.6988,0,10.6331,10.6834,0,11.124,10.438,0,10.7528,10.6236,0,10.8433,10.5783,0,10.9307,10.5346,0,10.7551,10.6225,0,10.7843,10.6079,0,10.741,10.6295,0,10.6209,10.6896,0,10.6084,10.6958,0,12.376,9.81199
20.5,0,10.5988,10.7006,1,10.4808,10.7596,2,10.4852,10.7574,0,10.4814,10.7593,0,10.5159,10.742,0,11.081,10.4595,0,10.6438,10.6781,0,10.7369,10.6316,0,10.8478,10.5761,0,10.6266,10.6867,0,10.6663,10.6669,0,10.6286,10.6857,0,10.5035,10.7482,0,10.4878,10.7561,0,10.806,10.597
25.5,0,10.5598,10.7201,1,10.4546,10.7727,2,10.4584,10.7708,0,10.4589,10.7706,0,10.4965,10.7518,0,11.1097,10.4451,0,10.629,10.6855,0,10.7235,10.6382,0,10.8343,10.5828,0,10.5969,10.7015,0,10.6946,10.6527,0,10.6387,10.6807,0,10.5018,10.7491,0,10.4658,10.7671,0,10.6473,10.6764
30.5,0,10.5598,10.7201,1,10.4546,10.7727,2,10.4584,10.7708,0,10.4588,10.7706,0,10.4964,10.7518,0,11.11,10.445,0,10.629,10.6855,0,10.7235,10.6382,0,10.8355,10.5823,0,10.5971,10.7014,0,10.6949,10.6525,0,10.6389,10.6805,0,10.502,10.749,0,10.4657,10.7671,0,10.6472,10.6764
35.5,0,10.5598,10.7201,1,10.4546,10.7727,2,10.4584,10.7708,0,10.4588,10.7706,0,10.4964,10.7518,0,11.1096,10.4452,0,10.629,10.6855,0,10.7235,10.6382,0,10.8354,10.5823,0,10.5968,10.7016,0,10.6944,10.6528,0,10.6385,10.6807,0,10.5017,10.7492,0,10.4657,10.7671,0,10.6452,10.6774
40.5,0,10.56,10.72,1,10.4548,10.7726,2,10.4586,10.7707,0,10.459,10.7705,0,10.4966,10.7517,0,11.1097,10.4452,0,10.6292,10.6854,0,10.7237,10.6382,0,10.8356,10.5822,0,10.5967,10.7016,0,10.6944,10.6528,0,10.6385,10.6808,0,10.5017,10.7491,0,10.4659,10.7671,0,10.6466,10.6767
45.5,0,10.56,10.72,1,10.4548,10.7726,2,10.4585,10.7707,0,10.459,10.7705,0,10.4966,10.7517,0,11.1097,10.4451,0,10.6292,10.6854,0,10.7237,10.6382,0,10.8357,10.5822,0,10.5968,10.7016,0,10.6945,10.6528,0,10.6386,10.6807,0,10.5018,10.7491,0,10.4659,10.767,0,10.647,10.6765
50.5,0,10.5599,10.7201,1,10.4547,10.7727,2,10.4585,10.7708,0,10.4589,10.7705,0,10.4965,10.7517,0,11.1097,10.4451,0,10.6291,10.6854,0,10.7236,10.6382,0,10.8356,10.5822,0,10.5968,10.7016,0,10.6944,10.6528,0,10.6386,10.6807,0,10.5017,10.7491,0,10.4658,10.7671,0,10.6461,10.6769
55.5,0,10.5599,10.7201,1,10.4547,10.7726,2,10.4585,10.7708,0,10.459,10.7705,0,10.4966,10.7517,0,11.1098,10.4451,0,10.6291,10.6854,0,10.7236,10.6382,0,10.8358,10.5821,0,10.5967,10.7016,0,10.6945,10.6527,0,10.6386,10.6807,0,10.5017,10.7491,0,10.4658,10.7671,0,10.6463,10.6769
60.5,0,10.5599,10.72,1,10.4548,10.7726,2,10.4585,10.7707,0,10.459,10.7705,0,10.4966,10.7517,0,11.11,10.445,0,10.6292,10.6854,0,10.7237,10.6382,0,10.836,10.582,0,10.5969,10.7016,0,10.6947,10.6527,0,10.6387,10.6806,0,10.5019,10.7491,0,10.4659,10.7671,0,10.6474,10.6763
65.5,0,10.5599,10.72,1,10.4547,10.7726,2,10.4585,10.7707,0,10.459,10.7705,0,10.4966,10.7517,0,11.1099,10.4451,0,10.6292,10.6854,0,10.7236,10.6382,0,10.8353,10.5823,0,10.5968,10.7016,0,10.6946,10.6527,0,10.6386,10.6807,0,10.5018,10.7491,0,10.4658,10.7671,0,10.6471,10.6764
70.5,0,10.56,10.72,1,10.4548,10.7726,2,10.4585,10.7707,0,10.459,10.7705,0,10.4966,10.7517,0,11.1098,10.4451,0,10.6292,10.6854,0,10.7237,10.6382,0,10.836,10.582,0,10.5968,10.7016,0,10.6945,10.6527,0,10.6386,10.6807,0,10.5018,10.7491,0,10.4659,10.7671,0,10.6467,10.6766
