time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput,uav15_pdr,uav15_delay,uav15_throughput,uav16_pdr,uav16_delay,uav16_throughput,uav17_pdr,uav17_delay,uav17_throughput,uav18_pdr,uav18_delay,uav18_throughput,uav19_pdr,uav19_delay,uav19_throughput,uav20_pdr,uav20_delay,uav20_throughput,uav21_pdr,uav21_delay,uav21_throughput,uav22_pdr,uav22_delay,uav22_throughput,uav23_pdr,uav23_delay,uav23_throughput,uav24_pdr,uav24_delay,uav24_throughput,uav25_pdr,uav25_delay,uav25_throughput,uav26_pdr,uav26_delay,uav26_throughput,uav27_pdr,uav27_delay,uav27_throughput,uav28_pdr,uav28_delay,uav28_throughput,uav29_pdr,uav29_delay,uav29_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0.0024923,84160,1,0.00296095,75744,1,0.00253965,67328,1,0.00312885,58912,1,0.00294173,50496,1,0.00399791,33664,1,0.00317719,25248,1,0.00313967,16832,1,0.00420479,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0.00272602,129045,1,0.00282225,117824,1,0.00312643,112213,1,0.00281556,106603,1,0.00273561,100992,1,0.00289458,95381.3,1,0.00281995,84160,1,0.00292097,78549.3,1,0.00263784,72938.7,0.5,0.000812739,33664,0.5,0.00107334,28053.3,1,0.00415373,50496,0.5,0.00106169,22442.7,0.5,0.00132116,19637.3,0.5,0.00119629,16832,1,0.00525602,22442.7,1,0.00432968,16832,1,0.00478346,11221.3,1,0.00888471,5610.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,0.00333705,147280,1,0.00299366,143072,1,0.00399084,134656,1,0.00334391,130448,1,0.00328868,126240,1,0.00288231,122032,1,0.00348437,117824,1,0.00374159,109408,1,0.00347298,105200,0.5,0.00152329,50496,0.5,0.00101635,48392,1,0.00490365,88368,0.5,0.00115712,42080,0.5,0.00122645,39976,0.5,0.000908248,37872,1,0.00329421,71536,1,0.00417846,63120,1,0.00356663,58912,1,0.00307005,54704,0.5,0.00102526,25248,1,0.00413113,42080,1,0.00442904,37872,1,0.00390615,33664,0,0,0,0,0,0,0,0,0,0.5,0.00256557,6312,0,0,0,0,0,0
5,0,0,0,1,0.00366262,158221,1,0.00308955,154854,1,0.00446589,151488,1,0.00372685,144755,1,0.00366113,141389,1,0.00287613,138022,1,0.00366882,134656,0.987179,0.00387423,129606,1,0.0038671,124557,0.5,0.00157733,60595.2,0.5,0.00101757,58912,1,0.00485549,114458,0.5,0.00134862,53862.4,0.5,0.00137384,52179.2,0.5,0.000852111,50496,1,0.0031421,97625.6,1,0.00362242,94259.2,1,0.0034197,87526.4,1,0.00307689,84160,0.5,0.000890278,40396.8,1,0.00359626,77427.2,1,0.00341703,70694.4,1,0.0034414,67328,0,0,0,0,0,0,0,0,0,0.5,0.00111743,25248,0,0,0,0,0,0
6,0,0,0,1,0.00392866,165515,1,0.0036297,162709,1,0.0047481,159904,1,0.00481672,157099,0.916667,0.00804629,138864,0.886792,0.00292045,131851,1,0.00408045,145877,1,0.0045143,143072,0.98,0.00462511,137461,0.5,0.00186168,67328,0.5,0.00139905,65925.3,0.98913,0.00485798,127643,0.5,0.00174977,63120,0.5,0.00159701,60314.7,0.5,0.00107033,58912,1,0.00351384,115019,1,0.00436107,112213,1,0.00464845,109408,1,0.00364315,103797,0.694444,0.211358,70133.3,0.885714,0.00598338,86965.3,1,0.00525281,95381.3,1,0.00387394,89770.7,0.145161,0.324305,12624,0,0,0,0,0,0,0.5,0.00156992,39274.7,0,0,0,0,0,0
7,0,0,0,0.986111,0.00432742,170725,1,0.00387396,168320,1,0.00495861,165915,1,0.00512501,163511,0.791045,0.0337848,127442,0.723077,0.00292045,113015,1,0.00485659,153893,1,0.00491361,151488,1,0.00540656,149083,0.5,0.00192809,73339.4,0.5,0.00164031,70934.9,1,0.00513038,139465,0.5,0.00235021,68530.3,0.5,0.00174214,67328,0.5,0.00122938,64923.4,1,0.0039181,127442,1,0.00523244,125038,1,0.00569121,122633,0.99,0.00412859,119026,0.770833,0.11576,88969.1,0.744681,0.0370642,84160,1,0.00580054,110610,1,0.00446124,108206,0.244186,0.139938,25248,0,0,0,0,0,0,0.5,0.00192033,48091.4,0,0,0,0,0,0
8,0,0,0,1,0.0044785,176736,0.987952,0.00414582,172528,1,0.00496822,170424,1,0.005216,168320,0.727848,0.0598099,120980,0.602564,0.00292045,98888,1,0.00491945,159904,1,0.00497326,157800,1,0.00570847,155696,0.5,0.00201433,76796,0.493056,0.00174426,74692,1,0.00500212,147280,0.5,0.00263697,72588,0.5,0.00185588,71536,0.5,0.0012948,70484,1,0.0044081,136760,1,0.00550412,134656,1,0.00578314,132552,1,0.00468269,130448,0.811475,0.0784366,104148,0.669492,0.0705633,83108,1,0.00634083,122032,1,0.00506691,119928,0.303571,0.0870339,35768,0,0,0,0,0,0,0.5,0.0022202,54704,0,0,0,0,0,0
9,0,0,0,1,0.00456973,179541,1,0.00442414,177671,1,0.00491257,173931,1,0.00546089,172060,0.681319,0.0793679,115954,0.522222,0.00292045,87900.4,1,0.00490802,166450,1,0.0052331,162709,1,0.00620679,160839,0.5,0.00206516,79484.4,0.5,0.00177191,78549.3,0.987952,0.00556192,153358,0.5,0.00265899,75744,0.5,0.00196182,74808.9,0.5,0.00140885,73873.8,0.987179,0.00430567,144007,1,0.0056722,142137,1,0.00580736,140267,1,0.00480869,138396,0.849315,0.0609534,115954,0.590278,0.0876651,79484.4,1,0.00661893,130916,1,0.00506384,129045,0.338235,0.0647992,43015.1,0,0,0,0,0,0,0.5,0.00242197,59847.1,0,0,0,0,0,0
10,0,0,0,1,0.00473645,181786,1,0.00457505,180102,1,0.00492256,178419,1,0.00550218,175053,0.645631,0.0959499,111933,0.460784,0.00292045,79110.4,1,0.00494842,170003,1,0.00561128,168320,1,0.00618588,164954,0.5,0.00225037,81635.2,0.5,0.00173366,80793.6,1,0.00542564,159904,0.5,0.00259941,78268.8,0.5,0.0020418,77427.2,0.5,0.00148443,76585.6,1,0.00434267,151488,1,0.00577353,149805,1,0.00599216,146438,1,0.00511481,144755,0.870588,0.050148,124557,0.535714,0.0993372,75744,0.987952,0.00681819,138022,1,0.00533225,136339,0.3625,0.051725,48812.8,0,0,0,0,0,0,0.5,0.00258642,63961.6,0,0,0,0,0,0
