time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.000714738,100992,1,0.000998946,84160,1,0.000903404,75744,1,0.000971599,67328,1,0.00118614,58912,1,0.00124673,50496,1,0.00179579,33664,1,0.00266739,25248,1,0.000686143,16832,1,0.00353871,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.000551432,134656,1,0.000667737,129045,1,0.000625504,117824,1,0.00061831,112213,1,0.000680477,106603,1,0.000666782,100992,1,0.00070665,95381.3,1,0.000839103,84160,1,0.000438687,78549.3,1,0.000622096,72938.7,1,0.000614007,67328,1,0.000801297,56106.7,1,0.00134629,50496,1,0.000964294,44885.3,1,0.00111719,39274.7
4,1,0.000497622,151488,1,0.000568645,147280,1,0.000535008,143072,1,0.000531254,134656,1,0.000567745,130448,1,0.000552892,126240,1,0.000574963,122032,1,0.000628284,117824,1,0.000410825,109408,1,0.000505251,105200,1,0.000503319,100992,1,0.000563952,96784,1,0.0007957,88368,1,0.000609991,84160,1,0.00065052,79952
5,1,0.000469779,161587,1,0.000522642,158221,1,0.000494705,154854,1,0.000489413,151488,1,0.000513434,144755,1,0.000505582,141389,1,0.000517069,138022,1,0.000557221,134656,1,0.00039797,131290,1,0.000463955,124557,1,0.000457548,121190,1,0.000503304,117824,1,0.000639465,114458,1,0.00052943,107725,1,0.000541368,104358
6,1,0.000452403,171125,1,0.000494894,165515,1,0.000471933,162709,1,0.000467754,159904,1,0.000483086,157099,1,0.000478882,151488,1,0.000486494,148683,1,0.00051861,145877,1,0.000397052,143072,1,0.000444428,140267,1,0.000439913,134656,1,0.000473913,131851,1,0.000571324,129045,1,0.000486817,126240,1,0.000496487,120629
7,1,0.000440604,175534,1,0.000475006,173129,1,0.00045639,168320,1,0.000452194,165915,1,0.000464344,163511,1,0.000459199,161106,1,0.000466724,156297,1,0.000494408,153893,1,0.000394056,151488,1,0.000432354,149083,1,0.000428313,146679,1,0.000455409,141870,1,0.000531845,139465,1,0.000465153,137061,1,0.000469171,134656
8,1,0.000433884,178840,1,0.000461251,176736,1,0.000443042,174632,1,0.000444522,170424,1,0.000450718,168320,1,0.000447026,166216,1,0.000452532,164112,1,0.000477256,159904,1,0.000391478,157800,1,0.000425046,155696,1,0.000420846,153592,1,0.000442668,151488,1,0.00050648,147280,1,0.000451677,145176,1,0.000453134,143072
9,1,0.000428455,181412,1,0.000451918,179541,1,0.00043557,177671,1,0.00043583,173931,1,0.000442799,172060,1,0.000439596,170190,1,0.000443832,168320,1,0.00046156,166450,1,0.000391577,162709,1,0.00041962,160839,1,0.000416017,158969,1,0.000432689,157099,1,0.000486532,155228,1,0.000440082,151488,1,0.000443315,149618
10,1,0.000423478,183469,1,0.000444743,181786,1,0.000431204,180102,1,0.000428666,178419,1,0.000435279,175053,1,0.000432543,173370,1,0.000436826,171686,1,0.00045122,170003,1,0.000390686,168320,1,0.000414879,164954,1,0.000412894,163270,1,0.000426095,161587,1,0.000473092,159904,1,0.000431528,156538,1,0.000434785,154854
11,1,0.000419686,186682,1,0.000437953,183622,1,0.000426168,182092,1,0.000424115,180561,1,0.000428938,179031,1,0.000426923,175971,1,0.000431926,174441,1,0.000445147,172911,1,0.000388838,171380,1,0.000411343,169850,1,0.000409303,166790,1,0.000420591,165260,1,0.000462415,163729,1,0.000425996,162199,1,0.000429175,159139
12,1,0.000416421,187957,1,0.000432853,186555,1,0.000422535,183749,1,0.000421131,182347,1,0.000423921,180944,1,0.00042246,179541,1,0.000427817,176736,1,0.000439628,175333,1,0.000387675,173931,1,0.000408666,172528,1,0.000406029,171125,1,0.000417838,168320,1,0.000453588,166917,1,0.000421374,165515,1,0.000425155,164112
13,1,0.000413446,189036,1,0.000428311,187742,1,0.000418929,186447,1,0.000417732,183857,1,0.000419662,182562,1,0.000418739,181268,1,0.000423136,179973,1,0.000435043,177383,1,0.000387444,176089,1,0.000406065,174794,1,0.000405166,173499,1,0.000414613,172204,1,0.000448062,169615,1,0.000416358,168320,1,0.000421944,167025
14,1,0.000411349,189961,1,0.000424978,188759,1,0.000416205,187557,1,0.000415134,186354,1,0.000416953,183950,1,0.000415607,182747,1,0.000419631,181545,1,0.000431399,180343,1,0.000386339,177938,1,0.000404103,176736,1,0.000403614,175534,1,0.000412209,174331,1,0.000441869,173129,1,0.000414028,170725,1,0.00041861,169522
15,1,0.000409627,190763,1,0.000422199,189641,1,0.000413897,188518,1,0.000412352,187396,1,0.000414434,186274,1,0.00041296,184030,1,0.000416338,182908,1,0.00042777,181786,1,0.000385928,180663,1,0.000403032,178419,1,0.000401642,177297,1,0.000409914,176175,1,0.000437091,175053,1,0.000411045,173931,1,0.000415093,171686
16,1,0.00040754,192516,1,0.000419391,190412,1,0.000411871,189360,1,0.000409238,188308,1,0.000412787,187256,0.99435,0.000411492,185152,1,0.000414166,184100,1,0.000424745,183048,1,0.000386779,181996,1,0.000401409,180944,1,0.000400636,178840,1,0.000408718,177788,1,0.000433264,176736,1,0.000408314,175684,1,0.000412304,174632
17,1,0.000406042,193073,1,0.000417137,192083,1,0.000409864,190103,1,0.000407082,189112,1,0.000411064,188122,1,0.00040965,187132,1,0.000411719,185152,1,0.000421892,184162,1,0.00038747,183172,1,0.000399632,182182,1,0.000399438,181192,1,0.000406834,179211,1,0.000429897,178221,1,0.000406276,177231,1,0.00041049,176241
18,1,0.000404759,193568,1,0.000414459,192633,1,0.000408069,191698,1,0.000406377,189828,1,0.000409657,188892,1,0.00040845,187957,1,0.000409714,187022,1,0.000419522,185152,1,0.000387598,184217,1,0.00039814,183282,1,0.000398812,182347,1,0.000404873,181412,1,0.000426318,179541,1,0.000404612,178606,1,0.000408265,177671
19,1,0.000403164,194011,1,0.000413747,193125,1,0.000406898,192239,1,0.000405071,191353,1,0.000408513,189581,1,0.000407217,188696,1,0.000407871,187810,1,0.000417248,186924,1,0.000387021,185152,1,0.000397426,184266,1,0.000398042,183380,1,0.000403727,182494,1,0.000423567,181608,1,0.000403322,179837,1,0.000406751,178951
20,1,0.000402124,194410,1,0.000412092,193568,1,0.000405889,192726,1,0.00040451,191885,1,0.00040755,191043,1,0.000406215,189360,1,0.000406587,188518,1,0.000414989,187677,1,0.000386866,186835,1,0.000396012,185152,1,0.000397458,184310,1,0.000403139,183469,1,0.000421289,182627,1,0.000402034,181786,1,0.000405763,180102
21,1,0.000401544,195572,1,0.000410954,193969,1,0.000404513,193167,1,0.000403743,192366,1,0.000406236,191564,1,0.000404738,190763,1,0.000405224,189160,1,0.00041367,188358,1,0.000386504,187557,1,0.000395185,186755,1,0.000397442,185152,1,0.000402066,184350,1,0.000419565,183549,1,0.000401515,182747,1,0.000404734,181946
22,1,0.000400945,195863,1,0.000409562,195098,1,0.00040325,193568,1,0.000402673,192803,1,0.000405585,192038,1,0.000404099,191273,1,0.000404007,190508,1,0.000411987,188977,1,0.000385867,188212,1,0.000394558,187447,1,0.000396933,186682,1,0.00040171,185152,1,0.000417545,184387,1,0.000400597,183622,1,0.000404403,182857
23,1,0.000400249,196129,1,0.00040824,195398,1,0.000402342,194666,1,0.000401445,193202,1,0.000403983,192470,1,0.000403055,191738,1,0.00040298,191007,1,0.000410553,190275,1,0.000385428,188811,1,0.000394182,188079,1,0.000396271,187347,1,0.00040065,186616,1,0.000416162,185152,1,0.00039957,184420,1,0.000403673,183688
24,1,0.000399403,196373,1,0.000406983,195672,1,0.000402177,194971,1,0.000400935,194269,1,0.000402602,192867,1,0.000401791,192165,1,0.000402257,191464,1,0.000409543,190763,1,0.000385562,189360,1,0.00039374,188659,1,0.000395515,187957,1,0.000399998,187256,1,0.00041469,186555,1,0.000398893,185152,1,0.000402497,184451
