time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.5,0,11.6046,10.1977,1,11.9366,10.0317,2,10.9218,10.5391,0,10.9372,10.5314,0,11.1658,10.4171,0,11.6004,10.1998,0,11.0589,10.4705,0,11.1646,10.4177,0,11.1965,10.4018,0,11.092,10.454,0,11.0553,10.4724,0,13.5233,9.23834,0,10.9611,10.5195,0,10.9452,10.5274,0,11.1018,10.4491
5.5,0,11.6,10.2,1,11.9412,10.0294,2,10.9212,10.5394,0,10.937,10.5315,0,11.1618,10.4191,0,11.6042,10.1979,0,11.0604,10.4698,0,11.1636,10.4182,0,11.1973,10.4013,0,11.0968,10.4516,0,11.0463,10.4768,0,13.528,9.23599,0,10.9588,10.5206,0,10.9432,10.5284,0,11.1005,10.4498
10.5,0,11.4251,10.2874,1,11.9332,10.0334,2,10.9076,10.5462,0,10.9257,10.5372,0,11.1175,10.4412,0,11.6188,10.1906,0,11.0612,10.4694,0,11.1464,10.4268,0,11.1939,10.403,0,11.0615,10.4693,0,10.9895,10.5052,0,13.5528,9.2236,0,10.926,10.537,0,10.9142,10.5429,0,11.062,10.469
15.5,0,10.9363,10.5318,1,11.8855,10.0573,2,10.8621,10.569,0,10.8882,10.5559,0,11.115,10.4425,0,11.5884,10.2058,0,11.0294,10.4853,0,11.1343,10.4329,0,11.1724,10.4138,0,11.0152,10.4924,0,10.9413,10.5294,0,13.5069,9.24653,0,10.8908,10.5546,0,10.8806,10.5597,0,11.0131,10.4935
20.5,0,10.7963,10.6018,1,10.7543,10.6229,2,10.7505,10.6247,0,10.7888,10.6056,0,10.9664,10.5168,0,11.6438,10.1781,0,10.9779,10.5111,0,11.0371,10.4814,0,11.1205,10.4397,0,10.8856,10.5572,0,10.8046,10.5977,0,13.598,9.20099,0,10.7558,10.6221,0,10.7491,10.6255,0,10.8805,10.5597
25.5,0,10.5376,10.7312,1,10.4915,10.7542,2,10.5064,10.7468,0,10.5731,10.7135,0,10.6961,10.6519,0,11.6007,10.1997,0,10.8115,10.5942,0,10.8243,10.5878,0,10.9573,10.5214,0,10.6305,10.6848,0,10.5415,10.7293,0,10.4973,10.7513,0,10.493,10.7535,0,10.4944,10.7528,0,10.6278,10.6861
30.5,0,10.5266,10.7367,1,10.4786,10.7607,2,10.4728,10.7636,0,10.5147,10.7427,0,10.6714,10.6643,0,11.6257,10.1872,0,10.8307,10.5846,0,10.8224,10.5888,0,10.9715,10.5143,0,10.6211,10.6895,0,10.5305,10.7347,0,10.4836,10.7582,0,10.4765,10.7617,0,10.5142,10.7429,0,10.6197,10.6902
35.5,0,10.525,10.7375,1,10.4762,10.7619,2,10.468,10.766,0,10.5003,10.7498,0,10.6648,10.6676,0,11.6328,10.1836,0,10.8368,10.5816,0,10.8212,10.5894,0,10.9754,10.5123,0,10.62,10.69,0,10.5297,10.7352,0,10.4812,10.7594,0,10.4727,10.7636,0,10.5036,10.7482,0,10.6186,10.6907
40.5,0,10.5237,10.7381,1,10.4748,10.7626,2,10.4672,10.7664,0,10.4996,10.7502,0,10.6627,10.6686,0,11.6241,10.188,0,10.8369,10.5816,0,10.8204,10.5898,0,10.9752,10.5124,0,10.6192,10.6904,0,10.5285,10.7358,0,10.4803,10.7598,0,10.471,10.7645,0,10.5022,10.7489,0,10.6175,10.6912
45.5,0,10.5136,10.7432,1,10.4657,10.7672,2,10.4592,10.7704,0,10.4939,10.7531,0,10.6552,10.6724,0,11.5258,10.2371,0,10.8345,10.5827,0,10.8208,10.5896,0,10.9787,10.5106,0,10.6077,10.6961,0,10.517,10.7415,0,10.4704,10.7648,0,10.4628,10.7686,0,10.4953,10.7523,0,10.6058,10.6971
50.5,0,10.4568,10.7716,1,10.3993,10.8004,2,10.3799,10.81,0,10.3998,10.8001,0,10.5774,10.7113,0,10.5199,10.74,0,10.8017,10.5991,0,10.7159,10.6421,0,10.9332,10.5334,0,10.5586,10.7207,0,10.4624,10.7688,0,10.405,10.7975,0,10.3853,10.8074,0,10.4045,10.7978,0,10.5586,10.7207
