time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.00139394,100992,1,0.00177558,84160,1,0.00185301,75744,1,0.00225685,67328,1,0.00236138,58912,1,0.00211641,50496,1,0.00266226,33664,0.5,0.00139011,12624,1,0.00212438,16832,1,0.00332101,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.00135671,134656,1,0.00143039,129045,1,0.00145831,117824,1,0.00147738,112213,1,0.001852,106603,1,0.00144951,100992,1,0.00141044,95381.3,0.666667,0.277012,56106.7,1,0.00121425,78549.3,1,0.00134537,72938.7,1,0.00193083,67328,1,0.00224472,56106.7,1,0.00228681,50496,1,0.00199159,44885.3,1,0.00214931,39274.7
4,1,0.00136374,151488,1,0.00154347,147280,1,0.00140755,143072,1,0.00151384,134656,1,0.001642,130448,1,0.00139406,126240,1,0.00117877,122032,0.821429,0.077658,96784,1,0.00105487,109408,1,0.00121911,105200,1,0.00171501,100992,1,0.00182931,96784,1,0.001748,88368,1,0.00142475,84160,1,0.00148023,79952
5,1,0.00132238,161587,1,0.00141518,158221,1,0.00135253,154854,1,0.00155366,151488,1,0.00163422,144755,1,0.00137166,141389,1,0.00120332,138022,0.875,0.0470493,117824,1,0.00103403,131290,1,0.00116215,124557,1,0.00146242,121190,1,0.00183114,117824,1,0.00161681,114458,1,0.00136322,107725,1,0.00139474,104358
6,1,0.00136017,171125,1,0.00139812,165515,1,0.00128029,162709,1,0.00157264,159904,1,0.00164306,157099,1,0.00131663,151488,1,0.0011215,148683,0.903846,0.0338761,131851,1,0.00103587,143072,1,0.00119021,140267,1,0.00142045,134656,1,0.00184346,131851,1,0.00150037,129045,1,0.00135497,126240,1,0.00125937,120629
7,1,0.00132939,175534,1,0.00137831,173129,1,0.00126942,168320,1,0.00155045,165915,1,0.00163778,163511,1,0.00134845,161106,1,0.00108536,156297,0.921875,0.0265774,141870,1,0.000991162,151488,1,0.00117261,149083,0.983607,0.00130209,144274,1,0.00170959,141870,1,0.0014292,139465,1,0.00143881,137061,1,0.00125384,134656
8,1,0.00137303,178840,1,0.00139342,176736,0.987952,0.00127704,172528,1,0.00152346,170424,1,0.00157386,168320,1,0.00132493,166216,1,0.00106107,164112,0.934211,0.0219311,149384,1,0.00101297,157800,1,0.00124824,155696,1,0.00152863,153592,0.986111,0.00165304,149384,1,0.00134877,147280,1,0.00132316,145176,1,0.00125715,143072
9,1,0.00134746,181412,1,0.0013942,179541,1,0.0012902,177671,1,0.00150499,173931,1,0.0015282,172060,1,0.00133741,170190,1,0.00105831,168320,0.94382,0.0184548,157099,1,0.000984576,162709,1,0.00122721,160839,1,0.00150713,158969,1,0.0016772,157099,0.993976,0.00133843,154293,1,0.00135013,151488,1,0.00126306,149618
10,1,0.00132435,183469,1,0.00137759,181786,1,0.00128156,180102,1,0.00148243,178419,1,0.00149605,175053,1,0.00132203,173370,1,0.00108035,171686,0.950495,0.0161926,161587,1,0.000993959,168320,1,0.00120494,164954,1,0.00145117,163270,1,0.0016911,161587,1,0.00130793,159904,1,0.00131058,156538,1,0.00125858,154854
11,1,0.0013242,186682,1,0.00139924,183622,1,0.00129395,182092,1,0.00150079,180561,1,0.00152212,179031,1,0.00130291,175971,1,0.00104755,174441,0.955752,0.0144018,165260,1,0.00098376,171380,1,0.00120568,169850,1,0.00145102,166790,1,0.00167573,165260,1,0.00133352,163729,1,0.00129811,162199,1,0.00124065,159139
12,1,0.00132114,187957,1,0.00136056,186555,1,0.00128709,183749,1,0.00145374,182347,1,0.00150838,180944,1,0.00130564,179541,1,0.00105508,176736,0.96,0.0129965,168320,1,0.000989036,173931,1,0.00119442,172528,1,0.00141288,171125,1,0.00164112,168320,1,0.0013272,166917,1,0.00128967,165515,1,0.00124489,164112
13,1,0.0013446,189036,1,0.00137064,187742,1,0.00127866,186447,1,0.00141107,183857,1,0.00151122,182562,1,0.00129979,181268,1,0.00103418,179973,0.963504,0.0118565,170910,1,0.000992946,176089,1,0.00121344,174794,1,0.00143914,173499,0.992481,0.00166548,170910,1,0.00131163,169615,1,0.00126806,168320,1,0.00121646,167025
14,1,0.00133055,189961,1,0.00135663,188759,1,0.00130174,187557,1,0.00140813,186354,1,0.00151052,183950,1,0.00128911,182747,1,0.00103283,181545,0.966667,0.0108433,174331,1,0.000979703,177938,1,0.00118878,176736,1,0.00142303,175534,1,0.00163213,174331,1,0.00130002,173129,1,0.00126877,170725,1,0.00123174,169522
15,1,0.00132785,190763,1,0.00136192,189641,1,0.00129448,188518,1,0.00140535,187396,1,0.00148778,186274,1,0.00128616,184030,1,0.00102816,182908,0.969136,0.0100806,176175,1,0.000999661,180663,1,0.00118658,178419,1,0.00148829,177297,1,0.00164781,176175,1,0.00127186,175053,0.996774,0.00123691,173370,1,0.00120641,171686
16,1,0.00132903,192516,1,0.0013568,190412,1,0.00129267,189360,1,0.0014137,188308,1,0.00151915,187256,0.99435,0.00128393,185152,1,0.00102257,184100,0.971264,0.00939846,177788,1,0.000985196,181996,1,0.00116789,180944,1,0.00147416,178840,1,0.00163569,177788,1,0.00128536,176736,1,0.00126631,175684,0.993976,0.00119231,173580
17,1,0.00133384,193073,1,0.00134182,192083,1,0.00128374,190103,1,0.00138792,189112,1,0.00150986,188122,1,0.00129095,187132,1,0.00102699,185152,0.973118,0.00883701,179211,1,0.000984876,183172,1,0.00117751,182182,1,0.0014727,181192,1,0.0016345,179211,1,0.00128119,178221,1,0.00124627,177231,1,0.00119592,176241
18,1,0.00133741,193568,1,0.0013656,192633,1,0.00127947,191698,1,0.001378,189828,1,0.00150059,188892,1,0.00129456,187957,1,0.00100807,187022,0.974747,0.00832499,180476,1,0.000978875,184217,1,0.00119446,183282,1,0.00148107,182347,1,0.00165205,181412,1,0.00127275,179541,1,0.00122681,178606,1,0.00121704,177671
19,1,0.00132127,194011,1,0.0013543,193125,1,0.00127862,192239,1,0.00137554,191353,1,0.00149953,189581,1,0.00129533,188696,1,0.00101306,187810,0.976303,0.00784764,182494,1,0.000979219,185152,1,0.00120412,184266,1,0.00145803,183380,1,0.00164407,182494,1,0.001266,181608,1,0.00121914,179837,1,0.00122521,178951
20,1,0.00132555,194410,1,0.00136983,193568,1,0.00128974,192726,1,0.00136834,191885,1,0.00151452,191043,1,0.00130257,189360,1,0.00100392,188518,0.977578,0.00746497,183469,1,0.000986617,186835,1,0.00121012,185152,1,0.00147329,184310,1,0.00166851,183469,1,0.00126856,182627,1,0.00122675,181786,1,0.00121001,180102
21,1,0.00131511,195572,1,0.0013539,193969,1,0.00128847,193167,1,0.00137509,192366,1,0.00155032,191564,1,0.00130326,190763,1,0.00100198,189160,0.978723,0.00712066,184350,1,0.000973688,187557,1,0.00119632,186755,1,0.00146222,185152,1,0.00165066,184350,1,0.00129893,183549,1,0.00124773,182747,0.997797,0.00122155,181545
22,1,0.00132764,195863,1,0.00133871,195098,1,0.00127378,193568,1,0.001364,192803,1,0.00153102,192038,1,0.00130831,191273,0.997992,0.00100396,190125,0.979757,0.00681368,185152,1,0.000982494,188212,1,0.00119734,187447,1,0.00143966,186682,1,0.00162913,185152,1,0.00128285,184387,1,0.00124052,183622,1,0.00121829,182857
23,1,0.00132722,196129,1,0.00134761,195398,1,0.00127338,194666,1,0.0013639,193202,1,0.00152285,192470,1,0.00132343,191738,1,0.001003,191007,0.978846,0.00652088,186250,1,0.000973898,188811,1,0.00119205,188079,1,0.00142937,187347,1,0.00162323,186616,1,0.00128596,185152,1,0.00124496,184420,1,0.0012124,183688
24,1,0.00131919,196373,1,0.00134601,195672,1,0.00126928,194971,1,0.00134389,194269,1,0.00150301,192867,1,0.00132163,192165,1,0.00101068,191464,0.981618,0.00625245,187256,1,0.000974406,189360,1,0.00118598,188659,1,0.00141818,187957,1,0.00159713,187256,1,0.00127896,186555,1,0.00124111,185152,1,0.00120802,184451
25,1,0.00132078,196598,1,0.0013456,195924,1,0.00129235,195251,1,0.00134256,194578,1,0.00149423,193905,1,0.00131967,192558,1,0.00100035,191885,0.982394,0.00602035,187845,1,0.000976383,190538,1,0.0011876,189192,1,0.00141667,188518,1,0.00158867,187845,1,0.00128036,187172,1,0.00123337,186499,1,0.0012048,185152
26,1,0.00131728,197452,1,0.00133846,196158,1,0.0012848,195510,1,0.00133966,194863,1,0.00149237,194215,1,0.00132707,193568,1,0.00100192,192273,0.983108,0.00580696,188389,1,0.00097624,190978,1,0.00117793,190331,1,0.0013954,189036,1,0.00156737,188389,1,0.00128573,187742,1,0.00123848,187094,1,0.00121424,186447
27,1,0.00133738,197620,1,0.00134755,196997,1,0.00128119,195750,1,0.00133148,195127,1,0.0014846,194503,1,0.00131975,193880,1,0.000999589,193256,0.983766,0.00561184,188892,1,0.000979034,191386,1,0.00118297,190763,1,0.00138399,190139,1,0.0015499,188892,1,0.00127801,188269,1,0.00122817,187646,1,0.00120846,187022
28,1,0.00132814,197776,1,0.0013418,197175,1,0.00128329,196574,1,0.00133719,195371,1,0.00148213,194770,1,0.00133887,194169,1,0.00100099,193568,0.984424,0.00541482,189961,1,0.000969546,191765,1,0.0011811,191163,1,0.00138194,190562,1,0.00154911,189961,1,0.00127576,188759,1,0.0012324,188158,1,0.00121319,187557
29,1,0.00133553,197921,1,0.00134097,197341,1,0.00128201,196760,1,0.00132415,196180,1,0.00146663,195019,1,0.00132873,194439,1,0.00100225,193858,0.984985,0.00525552,190376,1,0.000976479,192697,1,0.00118161,191537,1,0.00137093,190956,1,0.00153756,190376,1,0.00126281,189795,1,0.00122397,188634,1,0.00120999,188054
30,0.997175,0.00132554,198057,1,0.0013401,197495,1,0.00128283,196934,1,0.00133855,196373,1,0.00146114,195812,1,0.00131946,194690,1,0.000994969,194129,0.985507,0.00509841,190763,1,0.000974037,193007,0.997085,0.00118717,191885,1,0.00137306,191324,1,0.00153103,190763,1,0.00126778,190202,1,0.00122877,189641,1,0.00120154,188518
