time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,0.00118893,50496,0,0,0,0,0,0,0.5,0.00115616,33664,0,0,0,0.416667,0.00421075,21040,1,0.0040967,33664,1,0.00446763,25248,1,0.00260348,16832,0.5,0.00298052,4208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.5,0.001351,67328,0,0,0,0,0,0,0.5,0.00136278,56106.7,0,0,0,0.722222,0.183896,72938.7,1,0.00429159,95381.3,1,0.00327651,84160,1,0.00287591,78549.3,0.5,0.00167988,36469.3,0,0,0,0,0,0,1,0.0047959,50496,0.875,0.00345147,39274.7,1,0.00341238,39274.7
4,0.5,0.0016038,75744,0,0,0,0,0,0,0.65625,0.291895,88368,0,0,0,0.833333,0.0816097,105200,1,0.00443073,122032,1,0.00315362,117824,1,0.00310688,109408,0.5,0.00147586,52600,0,0,0,0,0,0,1,0.00509893,88368,0.9,0.0037671,75744,1,0.00424754,79952
5,0.5,0.00155928,80793.6,0,0,0,0,0,0,0.755556,0.129542,114458,0,0,0,0.880952,0.0547641,124557,1,0.0040965,138022,1,0.00300538,134656,1,0.0032314,131290,0.5,0.00151114,62278.4,0,0,0,0,0,0,1,0.00456773,114458,0.90625,0.00429595,97625.6,1,0.00397797,104358
6,0.5,0.00150088,85562.7,0,0,0,0,0,0,0.807018,0.0867276,129045,0,0,0,0.907407,0.0443087,137461,1,0.00409362,148683,1,0.00320582,145877,1,0.00315503,143072,0.5,0.00153039,70133.3,0,0,0,0,0,0,1,0.00454005,129045,0.9,0.00479552,113616,1,0.00374442,120629
7,0.5,0.00144715,87766.9,0,0,0,0,0,0,0.84058,0.0660332,139465,0,0,0,0.910448,0.0395992,146679,1,0.00381198,156297,1,0.00314428,153893,1,0.00310727,151488,0.5,0.00149445,74541.7,0,0,0,0,0,0,1,0.00480765,139465,0.912281,0.00498555,125038,1,0.00375063,134656
8,0.5,0.00147069,89420,0,0,0,0,0,0,0.864198,0.0535615,147280,0,0,0,0.924051,0.0356563,153592,1,0.00402516,164112,1,0.00305719,159904,1,0.00317581,157800,0.5,0.00159626,77848,0,0,0,0,0,0,1,0.00481732,147280,0.905797,0.00478455,131500,1,0.00375575,143072
9,0.5,0.00147512,90705.8,0,0,0,0,0,0,0.88172,0.0454359,153358,0,0,0,0.93956,0.0322263,159904,1,0.00404008,168320,1,0.00308888,166450,1,0.00328498,162709,0.5,0.00150862,80419.6,0,0,0,0,0,0,0.987952,0.00474293,153358,0.907407,0.0049797,137461,1,0.0037083,149618
10,0.5,0.00150597,91734.4,0,0,0,0,0,0,0.896226,0.0392992,159904,0,0,0,0.951456,0.0294378,164954,1,0.00394469,171686,1,0.00310063,170003,1,0.00331315,168320,0.5,0.00145052,82476.8,0,0,0,0,0,0,1,0.00471193,159904,0.897849,0.00534834,140547,1,0.00362329,154854
11,0.5,0.00149003,93341.1,0,0,0,0,0,0,0.90678,0.0349614,163729,0,0,0,0.956522,0.0273324,168320,1,0.00402206,174441,1,0.00311456,172911,1,0.00325822,171380,0.5,0.00141534,84925.1,0,0,0,0,0,0,1,0.00462939,163729,0.882075,0.00543685,143072,1,0.00353964,159139
12,0.5,0.0014867,93978.7,0,0,0,0,0,0,0.915385,0.0316187,166917,0,0,0,0.957031,0.0256299,171827,1,0.00396217,176736,1,0.00313131,175333,1,0.00335323,173931,0.5,0.00145198,86264,0,0,0,0,0,0,1,0.0045629,166917,0.881356,0.00554086,145877,1,0.00344697,164112
13,0.5,0.00146442,94518.2,0,0,0,0,0,0,0.922535,0.0289362,169615,0,0,0,0.964286,0.0245935,174794,1,0.00398477,179973,1,0.00313686,177383,1,0.00331034,176089,0.5,0.00145466,87396.9,0,0,0,0,0,0,1,0.00457683,169615,0.869231,0.00542902,146309,1,0.00343543,167025
14,0.5,0.00145165,94980.6,0,0,0,0,0,0,0.922581,0.0266708,171927,0,0,0,0.967105,0.0238952,176736,1,0.00400784,181545,1,0.00315978,180343,1,0.003279,177938,0.5,0.00145387,88368,0,0,0,0,0,0,0.996528,0.00460262,172528,0.876761,0.00538944,149685,1,0.00351827,169522
15,0.5,0.00143582,95381.3,0,0,0,0,0,0,0.934132,0.0247649,175053,0,0,0,0.969512,0.0235187,178419,1,0.00397891,182908,1,0.00320424,181786,1,0.00326727,180663,0.5,0.00144798,89209.6,0,0,0,0,0,0,1,0.00455693,175053,0.880645,0.00553248,153171,1,0.00350589,171686
16,0.5,0.00165002,96258,0,0,0,0,0,0,0.938547,0.0232819,176736,0,0,0,0.966102,0.0235335,179892,1,0.00396685,184100,1,0.0031842,183048,1,0.00330408,181996,0.5,0.00145071,90472,0,0,0,0,0,0,1,0.00459514,176736,0.889222,0.00584105,156222,0.993976,0.00350102,173580
17,0.5,0.00161684,96536.5,0,0,0,0,0,0,0.942408,0.0220374,178221,0,0,0,0.968254,0.0239438,181192,1,0.0040135,185152,1,0.00319634,184162,1,0.00328624,183172,0.5,0.0014383,91090.8,0,0,0,0,0,0,1,0.00461341,178221,0.896648,0.00575296,158914,1,0.0034813,176241
18,0.5,0.00159839,96784,0,0,0,0,0,0,0.945813,0.0208948,179541,0,0,0,0.975124,0.0237053,183282,1,0.00398004,187022,1,0.00320247,185152,1,0.00329799,184217,0.5,0.0014444,91640.9,0,0,0,0,0,0,1,0.00459463,179541,0.895288,0.00574009,159904,1,0.00345166,177671
19,0.5,0.00158933,97005.5,0,0,0,0,0,0,0.946759,0.0198741,181165,0,0,0,0.976526,0.0229904,184266,1,0.003985,187810,1,0.00322697,186924,1,0.00326679,185152,0.5,0.00142074,92133.1,0,0,0,0,0,0,1,0.00459401,181608,0.896552,0.00579643,161233,1,0.00341826,178951
20,0.5,0.0015682,97204.8,0,0,0,0,0,0,0.951754,0.0189819,182627,0,0,0,0.977778,0.0225058,185152,1,0.00402579,188518,1,0.00319454,187677,1,0.00327957,186835,0.5,0.00140184,92576,0,0,0,0,0,0,1,0.00457496,182627,0.900463,0.00592574,163691,1,0.00338269,180102
21,0.5,0.00156248,97785.9,0,0,0,0,0,0,0.954167,0.01821,183549,0,0,0,0.97479,0.0230465,185954,1,0.00398512,189160,1,0.003177,188358,1,0.0032734,187557,0.5,0.00140099,93377.5,0,0,0,0,0,0,1,0.00455437,183549,0.894737,0.006051,163511,0.997797,0.00342113,181545
22,0.5,0.00154897,97931.6,0,0,0,0,0,0,0.956349,0.0175594,184387,0,0,0,0.98,0.0228133,187447,0.997992,0.0039759,190125,1,0.00321683,188977,1,0.00329409,188212,0.5,0.00138694,93723.6,0,0,0,0,0,0,1,0.00464153,184387,0.897917,0.00618778,164877,1,0.00340249,182857
23,0.5,0.00152721,98064.7,0,0,0,0,0,0,0.958333,0.0169148,185152,0,0,0,0.980916,0.0222736,188079,1,0.00397637,191007,0.996154,0.00320171,189543,1,0.00330635,188811,0.5,0.00138555,94039.7,0,0,0,0,0,0,1,0.00461707,185152,0.892857,0.00613105,164661,1,0.00339735,183688
24,0.5,0.00151368,98186.7,0,0,0,0,0,0,0.960289,0.0162868,186555,0,0,0,0.981752,0.022921,188659,1,0.00397199,191464,1,0.00320235,190763,1,0.00328756,189360,0.5,0.00139398,94329.3,0,0,0,0,0,0,1,0.00461251,186555,0.897727,0.0062714,166216,1,0.00343508,184451
25,0.5,0.00150526,98298.9,0,0,0,0,0,0,0.961938,0.0157635,187172,0,0,0,0.982517,0.0224752,189192,1,0.00398706,191885,1,0.00317672,191212,1,0.00328973,190538,0.5,0.00139079,94595.8,0,0,0,0,0,0,1,0.00461047,187172,0.897112,0.00616546,167310,1,0.00341337,185152
26,0.5,0.00149937,98726.2,0,0,0,0,0,0,0.963455,0.0152343,187742,0,0,0,0.979933,0.0223436,189684,1,0.00400243,192273,1,0.00317001,191626,1,0.0033172,190978,0.5,0.00138951,95165.5,0,0,0,0,0,0,1,0.00464904,187742,0.896194,0.00624823,167673,1,0.00339063,186447
27,0.5,0.00148701,98810.1,0,0,0,0,0,0,0.964856,0.0147741,188269,0,0,0,0.983923,0.0219819,190763,1,0.00396491,193256,1,0.0031552,192009,1,0.00329574,191386,0.5,0.00137648,95381.3,0,0,0,0,0,0,1,0.00463525,188269,0.893688,0.00617938,167697,1,0.00336902,187022
28,0.5,0.00148041,98888,0,0,0,0,0,0,0.966154,0.014395,188759,0,0,0,0.98452,0.0219313,191163,1,0.00395272,193568,0.998442,0.00314314,192666,1,0.00329777,191765,0.5,0.00136641,95581.7,0,0,0,0,0,0,1,0.00466849,188759,0.897764,0.00621791,168921,1,0.00335823,187557
