time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.000714604,100992,1,0.00099887,84160,1,0.000903402,75744,1,0.0009716,67328,1,0.00118603,58912,1,0.00124669,50496,1,0.00179578,33664,1,0.00266738,25248,1,0.000686065,16832,1,0.00353858,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.000551308,134656,1,0.000667652,129045,1,0.000625493,117824,1,0.000618311,112213,1,0.000680371,106603,1,0.000666743,100992,1,0.000706646,95381.3,1,0.000839097,84160,1,0.000438641,78549.3,1,0.000622077,72938.7,1,0.000613909,67328,1,0.000801148,56106.7,1,0.00134631,50496,1,0.000964291,44885.3,1,0.00111717,39274.7
4,1,0.000497501,151488,1,0.000568563,147280,1,0.000535,143072,1,0.000531255,134656,1,0.000567642,130448,1,0.000552854,126240,1,0.000574959,122032,1,0.000628279,117824,1,0.000410781,109408,1,0.000505237,105200,1,0.000503221,100992,1,0.000563808,96784,1,0.00079572,88368,1,0.00060999,84160,1,0.000650504,79952
5,1,0.00046966,161587,1,0.000522562,158221,1,0.000494698,154854,1,0.000489414,151488,1,0.000513331,144755,1,0.000505544,141389,1,0.000517064,138022,1,0.000557216,134656,1,0.000397928,131290,1,0.000463942,124557,1,0.00045745,121190,1,0.000503161,117824,1,0.000639485,114458,1,0.000529431,107725,1,0.000541352,104358
6,1,0.000452285,171125,1,0.000494815,165515,1,0.000471927,162709,1,0.000467755,159904,1,0.000482984,157099,1,0.000478844,151488,1,0.00048649,148683,1,0.000518605,145877,1,0.00039701,143072,1,0.000444416,140267,1,0.000439815,134656,1,0.00047377,131851,1,0.000571343,129045,1,0.000486818,126240,1,0.000496472,120629
7,1,0.000440486,175534,1,0.000474928,173129,1,0.000456384,168320,1,0.000452196,165915,1,0.000464242,163511,1,0.000459162,161106,1,0.00046672,156297,1,0.000494403,153893,1,0.000394014,151488,1,0.000432343,149083,1,0.000428214,146679,1,0.000455266,141870,1,0.000531864,139465,1,0.000465154,137061,1,0.000469155,134656
8,1,0.000433767,178840,1,0.000461173,176736,1,0.000443037,174632,1,0.000444524,170424,1,0.000450617,168320,1,0.000446988,166216,1,0.000452528,164112,1,0.000477251,159904,1,0.000391436,157800,1,0.000425036,155696,1,0.000420746,153592,1,0.000442525,151488,1,0.000506499,147280,1,0.000451677,145176,1,0.000453118,143072
9,1,0.000428338,181412,1,0.000451841,179541,1,0.000435565,177671,1,0.000435832,173931,1,0.000442698,172060,1,0.000439559,170190,1,0.000443828,168320,1,0.000461556,166450,1,0.000391535,162709,1,0.000419612,160839,1,0.000415916,158969,1,0.000432546,157099,1,0.000486552,155228,1,0.000440083,151488,1,0.000443298,149618
10,1,0.000423362,183469,1,0.000444666,181786,1,0.000431199,180102,1,0.000428668,178419,1,0.000435178,175053,1,0.000432506,173370,1,0.000436822,171686,1,0.000451216,170003,1,0.000390644,168320,1,0.000414873,164954,1,0.000412791,163270,1,0.000425952,161587,1,0.000473112,159904,1,0.000431529,156538,1,0.000434769,154854
