time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.00137196,100992,1,0.00177552,84160,1,0.00185302,75744,1,0.00225685,67328,1,0.00221515,58912,1,0.00211637,50496,1,0.00266226,33664,1,0.00325374,25248,1,0.00212434,16832,1,0.0033209,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.00134566,134656,1,0.00143601,129045,1,0.0015189,117824,1,0.00147738,112213,1,0.00162349,106603,1,0.00147708,100992,1,0.00141044,95381.3,1,0.00157324,84160,1,0.00120485,78549.3,1,0.00134535,72938.7,1,0.00162876,67328,1,0.00141982,56106.7,1,0.00228683,50496,1,0.00215251,44885.3,1,0.00226663,39274.7
4,1,0.00135633,151488,1,0.00150627,147280,1,0.00146981,143072,1,0.00151385,134656,1,0.00150469,130448,1,0.00148975,126240,1,0.00117877,122032,1,0.00124657,117824,1,0.0010498,109408,1,0.00121908,105200,1,0.00147179,100992,1,0.00138781,96784,1,0.00174802,88368,1,0.00153443,84160,1,0.00157975,79952
5,1,0.0013168,161587,1,0.00140911,158221,1,0.00137306,154854,1,0.00155367,151488,1,0.00146494,144755,1,0.00146911,141389,1,0.00120332,138022,1,0.00119099,134656,1,0.00103063,131290,1,0.00116212,124557,1,0.00127282,121190,1,0.00143978,117824,1,0.00161683,114458,1,0.001354,107725,1,0.00141773,104358
6,1,0.00133718,171125,1,0.00134275,165515,1,0.0013389,162709,1,0.00157265,159904,1,0.00139528,157099,1,0.00141617,151488,1,0.0011215,148683,1,0.00113293,145877,1,0.00103327,143072,1,0.00119019,140267,1,0.00135863,134656,1,0.00136807,131851,1,0.00150038,129045,1,0.00130636,126240,1,0.00127322,120629
7,1,0.0013119,175534,1,0.00129437,173129,1,0.0013143,168320,1,0.00155046,165915,1,0.00142826,163511,1,0.00142481,161106,1,0.00108536,156297,1,0.00110506,153893,1,0.000989048,151488,1,0.00117033,149083,0.991803,0.00132592,145477,1,0.00132084,141870,1,0.00142922,139465,1,0.00132455,137061,1,0.00127343,134656
8,1,0.00130797,178840,1,0.00128282,176736,0.987952,0.0013015,172528,1,0.00152346,170424,1,0.00138609,168320,1,0.00145702,166216,1,0.00106107,164112,1,0.00109453,159904,1,0.00101119,157800,1,0.00125753,155696,1,0.00134055,153592,0.993056,0.00127741,150436,1,0.00134878,147280,1,0.00123841,145176,1,0.00130992,143072
9,1,0.00129666,181412,1,0.00130682,179541,1,0.00131815,177671,1,0.001505,173931,1,0.00138175,172060,1,0.00144963,170190,1,0.00105831,168320,1,0.00105372,166450,1,0.000983034,162709,1,0.00124528,160839,1,0.00130815,158969,1,0.00128841,157099,0.993976,0.00133844,154293,1,0.00126032,151488,1,0.00128451,149618
10,1,0.00128697,183469,1,0.00130209,181786,1,0.00133113,180102,1,0.00148243,178419,1,0.00136866,175053,1,0.00144318,173370,1,0.00108035,171686,1,0.00108553,170003,1,0.000992614,168320,1,0.00122092,164954,1,0.00127656,163270,1,0.00125382,161587,1,0.00130794,159904,1,0.00127486,156538,1,0.0012947,154854
