time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.000453675,513376,1,0.000511966,454464,1,0.000489756,403968,1,0.000494272,353472,1,0.000540386,302976,1,0.000565078,252480,1,0.000615835,201984,1,0.000775713,151488,1,0.00044799,100992,1,0.000848153,50496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.000420378,684501,1,0.000447308,645227,1,0.000433639,611563,1,0.000429272,577899,1,0.000439892,544235,1,0.00044645,510571,1,0.000449398,476907,1,0.000483157,443243,1,0.000397127,409579,1,0.000425053,375915,0.991803,0.000514047,339445,1,0.000528253,302976,0.5,0.000234787,134656,1,0.000559933,235648,1,0.000582775,201984
4,1,0.000407976,770064,0.99435,0.000424517,740608,1,0.0004163,715360,1,0.000417371,690112,1,0.000416283,664864,1,0.000420283,639616,1,0.000422285,614368,1,0.000439849,589120,1,0.000390662,563872,1,0.000405958,538624,1,0.000483464,513376,1,0.000483865,483920,0.729358,0.0299411,334536,1,0.000506412,433424,1,0.000491415,408176
5,1,0.000401867,821402,1,0.000413642,801203,1,0.000407359,777638,1,0.000407857,757440,1,0.000408209,737242,1,0.000408956,717043,1,0.000409674,696845,1,0.000423073,676646,1,0.000389603,656448,1,0.000397856,636250,1,0.000477699,616051,0.99435,0.000470737,592486,0.826471,0.0137244,472979,1,0.000485282,552090,1,0.000480738,531891
6,1,0.000398246,855627,1,0.00040699,838795,1,0.000402708,819157,1,0.000402528,802325,1,0.000402287,785493,1,0.000402656,768661,1,0.00040329,751829,1,0.000413715,734997,1,0.000388134,718165,1,0.000394608,701333,1,0.000472584,684501,1,0.000466109,667669,0.872294,0.00901528,565275,1,0.000475848,631200,1,0.000472518,614368
7,1,0.000395684,880073,1,0.00040278,865646,0.997175,0.000399206,848814,1,0.000399487,834386,1,0.000398418,819959,1,0.000399389,805531,1,0.000398836,791104,1,0.00040718,776677,1,0.000387203,762249,1,0.000392012,747822,1,0.000467983,733394,1,0.000464394,718967,0.898973,0.00677032,631200,1,0.000471712,687707,1,0.000465581,673280
8,1,0.000393675,898408,1,0.000399875,885784,1,0.000396729,873160,1,0.000396198,858432,1,0.000396081,845808,1,0.000396413,833184,1,0.00039596,820560,1,0.000403565,807936,1,0.000386417,795312,1,0.000390061,782688,1,0.000465913,770064,1,0.000461276,757440,0.913842,0.00545844,680644,1,0.0004652,730088,1,0.000463005,717464
9,1,0.000392408,912668,1,0.000397743,901447,1,0.000394803,890226,1,0.000394205,877134,1,0.000394603,865913,1,0.000394615,854692,1,0.000394271,843470,1,0.000400477,832249,1,0.000386147,821028,1,0.00038917,809806,1,0.000463171,798585,1,0.000460815,787364,0.928916,0.00458626,720971,1,0.000463944,763051,1,0.000462252,751829
10,1,0.000390972,924077,1,0.00039648,913978,1,0.000393826,903878,0.998117,0.000392323,892096,1,0.000392774,881997,1,0.000393623,871898,1,0.000393011,861798,1,0.000397972,851699,1,0.000385718,841600,1,0.000387952,831501,1,0.00046112,821402,1,0.000460541,811302,0.938025,0.00398307,751549,1,0.000459103,789421,1,0.000458131,779322
