time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.00071461,100992,1,0.000998872,84160,1,0.000903414,75744,1,0.000971573,67328,1,0.00118601,58912,1,0.00124668,50496,1,0.00179578,33664,1,0.00266736,25248,1,0.000686124,16832,1,0.00353863,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.000551313,134656,1,0.000667652,129045,1,0.000625501,117824,1,0.000618285,112213,1,0.000680353,106603,1,0.000666733,100992,1,0.000706641,95381.3,1,0.000839084,84160,1,0.000438679,78549.3,1,0.000622104,72938.7,1,0.00061389,67328,1,0.000801117,56106.7,1,0.00134633,50496,1,0.000964296,44885.3,1,0.00111717,39274.7
4,1,0.000497505,151488,1,0.000568564,147280,1,0.000535009,143072,1,0.000531228,134656,1,0.000567624,130448,1,0.000552844,126240,1,0.000574953,122032,1,0.000628267,117824,1,0.000410818,109408,1,0.000505262,105200,1,0.000503202,100992,1,0.000563778,96784,1,0.000795741,88368,1,0.000609994,84160,1,0.000650499,79952
5,1,0.000469664,161587,1,0.000522563,158221,1,0.000494708,154854,1,0.000489387,151488,1,0.000513313,144755,1,0.000505534,141389,1,0.000517059,138022,1,0.000557204,134656,1,0.000397964,131290,1,0.000463967,124557,1,0.000457431,121190,1,0.000503131,117824,1,0.000639505,114458,1,0.000529434,107725,1,0.000541347,104358
6,1,0.000452288,171125,1,0.000494817,165515,1,0.000471937,162709,1,0.000467729,159904,1,0.000482966,157099,1,0.000478834,151488,1,0.000486484,148683,1,0.000518593,145877,1,0.000397046,143072,1,0.000444441,140267,1,0.000439796,134656,1,0.00047374,131851,1,0.000571363,129045,1,0.000486821,126240,1,0.000496467,120629
7,1,0.00044049,175534,1,0.00047493,173129,1,0.000456394,168320,1,0.000452169,165915,1,0.000464224,163511,1,0.000459152,161106,1,0.000466714,156297,1,0.000494391,153893,1,0.00039405,151488,1,0.000432367,149083,1,0.000428195,146679,1,0.000455237,141870,1,0.000531884,139465,1,0.000465157,137061,1,0.00046915,134656
8,1,0.00043377,178840,1,0.000461175,176736,1,0.000443047,174632,1,0.000444497,170424,1,0.000450598,168320,1,0.000446978,166216,1,0.000452522,164112,1,0.00047724,159904,1,0.000391472,157800,1,0.000425061,155696,1,0.000420727,153592,1,0.000442496,151488,1,0.000506519,147280,1,0.000451681,145176,1,0.000453113,143072
9,1,0.000428342,181412,1,0.000451844,179541,1,0.000435575,177671,1,0.000435805,173931,1,0.000442679,172060,1,0.000439549,170190,1,0.000443822,168320,1,0.000461544,166450,1,0.000391571,162709,1,0.000419636,160839,1,0.000415897,158969,1,0.000432517,157099,1,0.000486571,155228,1,0.000440086,151488,1,0.000443293,149618
10,1,0.000423365,183469,1,0.000444669,181786,1,0.00043121,180102,1,0.000428642,178419,1,0.00043516,175053,1,0.000432496,173370,1,0.000436816,171686,1,0.000451204,170003,1,0.00039068,168320,1,0.000414897,164954,1,0.000412772,163270,1,0.000425923,161587,1,0.000473131,159904,1,0.000431532,156538,1,0.000434764,154854
11,1,0.000419574,186682,1,0.000437879,183622,1,0.000426174,182092,1,0.00042409,180561,1,0.000428818,179031,1,0.000426875,175971,1,0.000431916,174441,1,0.000445131,172911,1,0.000388832,171380,1,0.000411362,169850,1,0.00040918,166790,1,0.000420419,165260,1,0.000462454,163729,1,0.000426001,162199,1,0.000429154,159139
12,1,0.000416311,187957,1,0.00043278,186555,1,0.000422542,183749,1,0.000421106,182347,1,0.000423801,180944,1,0.000422412,179541,1,0.000427807,176736,1,0.000439612,175333,1,0.000387669,173931,1,0.000408686,172528,1,0.000405904,171125,1,0.000417667,168320,1,0.000453627,166917,1,0.000421378,165515,1,0.000425136,164112
13,1,0.000413338,189036,1,0.000428238,187742,1,0.000418936,186447,1,0.000417707,183857,1,0.000419543,182562,1,0.000418692,181268,1,0.000423126,179973,1,0.000435027,177383,1,0.000387439,176089,1,0.000406086,174794,1,0.000405041,173499,1,0.000414441,172204,1,0.0004481,169615,1,0.000416362,168320,1,0.000421928,167025
14,1,0.000411244,189961,1,0.000424907,188759,1,0.000416212,187557,1,0.00041511,186354,1,0.000416834,183950,1,0.000415559,182747,1,0.000419621,181545,1,0.000431382,180343,1,0.000386335,177938,1,0.000404125,176736,1,0.000403487,175534,1,0.000412037,174331,1,0.000441908,173129,1,0.000414033,170725,1,0.000418595,169522
15,1,0.000409525,190763,1,0.000422128,189641,1,0.000413904,188518,1,0.000412327,187396,1,0.000414315,186274,1,0.000412913,184030,1,0.000416328,182908,1,0.000427753,181786,1,0.000385925,180663,1,0.000403054,178419,1,0.000401515,177297,1,0.000409743,176175,1,0.00043713,175053,1,0.00041105,173931,1,0.00041508,171686
