time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.00137197,100992,1,0.00177553,84160,1,0.00185303,75744,1,0.00225683,67328,1,0.00221514,58912,1,0.00211637,50496,1,0.00266226,33664,1,0.00325373,25248,1,0.00212438,16832,1,0.00332096,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.00134566,134656,1,0.00143601,129045,1,0.00151891,117824,1,0.00147736,112213,1,0.00154156,106603,1,0.00147708,100992,1,0.00141044,95381.3,1,0.00157323,84160,1,0.00120489,78549.3,1,0.00134537,72938.7,1,0.00162876,67328,1,0.00141979,56106.7,1,0.00228685,50496,1,0.00215246,44885.3,1,0.00226663,39274.7
4,1,0.00135634,151488,1,0.00150627,147280,1,0.00146982,143072,1,0.00151383,134656,1,0.0014239,130448,1,0.00148975,126240,1,0.00117877,122032,1,0.00124656,117824,1,0.00104983,109408,1,0.0012191,105200,1,0.00147178,100992,1,0.00138778,96784,1,0.00174803,88368,1,0.00159511,84160,1,0.00157975,79952
5,1,0.0013168,161587,1,0.0014091,158221,1,0.00137306,154854,1,0.00155365,151488,1,0.00137048,144755,1,0.00146911,141389,1,0.00120331,138022,1,0.00119098,134656,1,0.00103067,131290,1,0.00116214,124557,1,0.00127281,121190,1,0.00143975,117824,1,0.00161684,114458,1,0.00151085,107725,1,0.00141773,104358
6,1,0.00133718,171125,1,0.00137935,165515,1,0.00136451,162709,1,0.00157263,159904,1,0.00130194,157099,1,0.00141616,151488,1,0.00112149,148683,1,0.00113292,145877,1,0.00103331,143072,1,0.0011902,140267,1,0.00132683,134656,1,0.00136594,131851,1,0.0015004,129045,1,0.00141732,126240,1,0.00127322,120629
7,1,0.0013119,175534,1,0.00136292,173129,1,0.00137382,168320,1,0.00155044,165915,1,0.00137574,163511,1,0.00142481,161106,1,0.00108536,156297,1,0.00110506,153893,1,0.000989082,151488,1,0.00117035,149083,0.991803,0.0012366,145477,1,0.00127697,141870,1,0.00142923,139465,1,0.00138255,137061,1,0.00127343,134656
8,1,0.00130797,178840,1,0.00138779,176736,0.987952,0.00132996,172528,1,0.00152344,170424,1,0.00133713,168320,1,0.00142797,166216,1,0.00106106,164112,1,0.00109452,159904,1,0.00101123,157800,1,0.00125754,155696,1,0.00128099,153592,0.993056,0.00123737,150436,1,0.0013488,147280,1,0.00130789,145176,1,0.00128294,143072
9,1,0.00129667,181412,1,0.001392,179541,1,0.00134183,177671,1,0.00150498,173931,1,0.00133704,172060,1,0.00142284,170190,1,0.00105831,168320,1,0.00105371,166450,1,0.000983069,162709,1,0.00124529,160839,1,0.00130952,158969,1,0.00125877,157099,0.993976,0.00133846,154293,1,0.001337,151488,1,0.0012566,149618
10,1,0.00128698,183469,1,0.00137403,181786,1,0.00131889,180102,1,0.00145711,178419,1,0.00132594,175053,1,0.00137804,173370,1,0.00108035,171686,1,0.00108552,170003,1,0.000992649,168320,1,0.00122094,164954,1,0.00127986,163270,1,0.00125409,161587,1,0.00131937,159904,1,0.00128744,156538,1,0.00126557,154854
11,1,0.00129312,186682,1,0.00136842,183622,1,0.00132527,182092,1,0.00145705,180561,1,0.00133367,179031,1,0.00134248,175971,1,0.00104755,174441,1,0.0010588,172911,1,0.00098259,171380,1,0.00122814,169850,1,0.00130266,166790,1,0.00126583,165260,1,0.00133213,163729,1,0.00125824,162199,1,0.00126088,159139
12,1,0.00128601,187957,1,0.00134134,186555,1,0.00132403,183749,1,0.00144341,182347,1,0.00134144,180944,1,0.00135384,179541,1,0.00105508,176736,1,0.00104509,175333,1,0.00098798,173931,1,0.00123049,172528,1,0.0012719,171125,1,0.00123143,168320,1,0.00130431,166917,1,0.00126448,165515,1,0.00127527,164112
13,1,0.00131904,189036,1,0.00136513,187742,0.996528,0.00131635,185799,1,0.0014169,183857,1,0.00131794,182562,1,0.00134439,181268,1,0.00103418,179973,1,0.00103573,177383,1,0.000991984,176089,1,0.0012547,174794,1,0.00129609,173499,1,0.00125109,172204,1,0.00129142,169615,1,0.00123631,168320,1,0.00126198,167025
14,1,0.001305,189961,1,0.00135861,188759,1,0.00134491,187557,1,0.00140791,186354,1,0.00132482,183950,1,0.00133983,182747,1,0.00103283,181545,1,0.00102788,180343,1,0.000978819,177938,1,0.00123033,176736,1,0.0012853,175534,1,0.00125654,174331,1,0.00129963,173129,1,0.00125852,170725,1,0.00127108,169522
15,1,0.0012889,190763,1,0.00136198,189641,1,0.00134818,188518,1,0.00140931,187396,0.996988,0.00131111,185713,1,0.00132238,184030,1,0.00102816,182908,1,0.0010412,181786,1,0.000998849,180663,1,0.00123159,178419,1,0.00126494,177297,1,0.00124503,176175,1,0.00127206,175053,1,0.0012304,173931,1,0.00125362,171686
16,1,0.00128481,192516,1,0.00136015,190412,1,0.00135056,189360,1,0.00140924,188308,1,0.00132765,187256,0.99435,0.00133039,185152,1,0.00102256,184100,1,0.00102098,183048,1,0.00098444,181996,1,0.00121989,180944,1,0.00126407,178840,1,0.00124457,177788,1,0.00129627,176736,1,0.00124814,175684,0.993976,0.00123695,173580
