time,node_id,channel,tx_power,data_rate,neighbors,interference
0.1,0,0,23.9602,4.01992,7,0.045
0.1,1,1,25.4315,3.28426,6,0.04
0.1,2,0,22.0076,4.99621,7,0.045
0.1,3,0,21.66,5.17,7,0.045
0.1,4,2,22.7802,4.60992,6,0.04
0.1,5,0,24.4962,3.7519,7,0.045
0.1,6,2,23.1585,4.42073,2,0.02
0.1,7,1,24.5048,3.74758,1,0.015
0.1,8,2,24.0248,3.9876,2,0.02
0.1,9,1,24.7086,3.64569,3,0.025
0.1,10,1,30,1,0,0.01
0.1,11,2,24.0209,3.98954,6,0.04
0.1,12,0,21.2224,5.3888,7,0.045
0.1,13,1,22.5854,4.70728,2,0.02
0.1,14,2,19.8936,6.05318,1,0.015
0.2,0,0,23.9602,4.01992,7,0.045
0.2,1,1,25.4315,3.28426,6,0.04
0.2,2,0,22.0076,4.99621,7,0.045
0.2,3,0,21.66,5.17,7,0.045
0.2,4,2,22.7802,4.60992,6,0.04
0.2,5,0,24.4962,3.7519,7,0.045
0.2,6,2,23.1585,4.42073,2,0.02
0.2,7,1,24.5048,3.74758,1,0.015
0.2,8,2,24.0248,3.9876,2,0.02
0.2,9,1,24.7086,3.64569,3,0.025
0.2,10,1,30,1,0,0.01
0.2,11,2,24.0209,3.98954,6,0.04
0.2,12,0,21.2224,5.3888,7,0.045
0.2,13,1,22.5854,4.70728,2,0.02
0.2,14,2,19.8936,6.05318,1,0.015
0.3,0,0,23.9602,4.01992,7,0.045
0.3,1,1,25.4315,3.28426,6,0.04
0.3,2,0,22.0076,4.99621,7,0.045
0.3,3,0,21.66,5.17,7,0.045
0.3,4,2,22.7802,4.60992,6,0.04
0.3,5,0,24.4962,3.7519,7,0.045
0.3,6,2,23.1585,4.42073,2,0.02
0.3,7,1,24.5048,3.74758,1,0.015
0.3,8,2,24.0248,3.9876,2,0.02
0.3,9,1,24.7086,3.64569,3,0.025
0.3,10,1,30,1,0,0.01
0.3,11,2,24.0209,3.98954,6,0.04
0.3,12,0,21.2224,5.3888,7,0.045
0.3,13,1,22.5854,4.70728,2,0.02
0.3,14,2,19.8936,6.05318,1,0.015
0.4,0,0,23.9602,4.01992,7,0.045
0.4,1,1,25.4315,3.28426,6,0.04
0.4,2,0,22.0076,4.99621,7,0.045
0.4,3,0,21.66,5.17,7,0.045
0.4,4,2,22.7802,4.60992,6,0.04
0.4,5,0,24.4962,3.7519,7,0.045
0.4,6,2,23.1585,4.42073,2,0.02
0.4,7,1,24.5048,3.74758,1,0.015
0.4,8,2,24.0248,3.9876,2,0.02
0.4,9,1,24.7086,3.64569,3,0.025
0.4,10,1,30,1,0,0.01
0.4,11,2,24.0209,3.98954,6,0.04
0.4,12,0,21.2224,5.3888,7,0.045
0.4,13,1,22.5854,4.70728,2,0.02
0.4,14,2,19.8936,6.05318,1,0.015
0.5,0,0,23.9602,4.01992,7,0.045
0.5,1,1,25.4315,3.28426,6,0.04
0.5,2,0,22.0076,4.99621,7,0.045
0.5,3,0,21.66,5.17,7,0.045
0.5,4,2,22.7802,4.60992,6,0.04
0.5,5,0,24.4962,3.7519,7,0.045
0.5,6,2,23.1585,4.42073,2,0.02
0.5,7,1,24.5048,3.74758,1,0.015
0.5,8,2,24.0248,3.9876,2,0.02
0.5,9,1,24.7086,3.64569,3,0.025
0.5,10,1,30,1,0,0.01
0.5,11,2,24.0209,3.98954,6,0.04
0.5,12,0,21.2224,5.3888,7,0.045
0.5,13,1,22.5854,4.70728,2,0.02
0.5,14,2,19.8936,6.05318,1,0.015
0.6,0,0,24.1111,3.94445,7,0.045
0.6,1,1,25.2244,3.38778,6,0.04
0.6,2,0,21.4469,5.27656,6,0.04
0.6,3,0,21.3815,5.30927,7,0.045
0.6,4,2,22.4278,4.78611,6,0.04
0.6,5,0,24.6003,3.69983,7,0.045
0.6,6,2,22.4479,4.77606,2,0.02
0.6,7,1,23.7776,4.11122,1,0.015
0.6,8,2,24.2461,3.87697,2,0.02
0.6,9,1,24.4824,3.75878,3,0.025
0.6,10,1,30,1,0,0.01
0.6,11,2,23.4693,4.26536,5,0.035
0.6,12,0,21.2356,5.38222,7,0.045
0.6,13,1,21.8388,5.0806,2,0.02
0.6,14,2,19.459,6.27049,1,0.015
0.7,0,0,24.1111,3.94445,7,0.045
0.7,1,1,25.2244,3.38778,6,0.04
0.7,2,0,21.4469,5.27656,6,0.04
0.7,3,0,21.3815,5.30927,7,0.045
0.7,4,2,22.4278,4.78611,6,0.04
0.7,5,0,24.6003,3.69983,7,0.045
0.7,6,2,22.4479,4.77606,3,0.025
0.7,7,1,23.7776,4.11122,1,0.015
0.7,8,2,24.2461,3.87697,3,0.025
0.7,9,1,24.4824,3.75878,3,0.025
0.7,10,1,30,1,0,0.01
0.7,11,2,23.4693,4.26536,5,0.035
0.7,12,0,21.2356,5.38222,7,0.045
0.7,13,1,21.8388,5.0806,2,0.02
0.7,14,2,19.459,6.27049,1,0.015
0.8,0,0,24.1111,3.94445,7,0.045
0.8,1,1,25.2244,3.38778,6,0.04
0.8,2,0,21.4469,5.27656,6,0.04
0.8,3,0,21.3815,5.30927,7,0.045
0.8,4,2,22.4278,4.78611,6,0.04
0.8,5,0,24.6003,3.69983,7,0.045
0.8,6,2,22.4479,4.77606,3,0.025
0.8,7,1,23.7776,4.11122,1,0.015
0.8,8,2,24.2461,3.87697,3,0.025
0.8,9,1,24.4824,3.75878,3,0.025
0.8,10,1,30,1,0,0.01
0.8,11,2,23.4693,4.26536,5,0.035
0.8,12,0,21.2356,5.38222,7,0.045
0.8,13,1,21.8388,5.0806,2,0.02
0.8,14,2,19.459,6.27049,1,0.015
0.9,0,0,24.1111,3.94445,7,0.045
0.9,1,1,25.2244,3.38778,6,0.04
0.9,2,0,21.4469,5.27656,6,0.04
0.9,3,0,21.3815,5.30927,7,0.045
0.9,4,2,22.4278,4.78611,6,0.04
0.9,5,0,24.6003,3.69983,7,0.045
0.9,6,2,22.4479,4.77606,3,0.025
0.9,7,1,23.7776,4.11122,2,0.02
0.9,8,2,24.2461,3.87697,3,0.025
0.9,9,1,24.4824,3.75878,4,0.03
0.9,10,1,30,1,0,0.01
0.9,11,2,23.4693,4.26536,5,0.035
0.9,12,0,21.2356,5.38222,7,0.045
0.9,13,1,21.8388,5.0806,2,0.02
0.9,14,2,19.459,6.27049,1,0.015
1,0,0,24.1111,3.94445,7,0.045
1,1,1,25.2244,3.38778,6,0.04
1,2,0,21.4469,5.27656,6,0.04
1,3,0,21.3815,5.30927,7,0.045
1,4,2,22.4278,4.78611,6,0.04
1,5,0,24.6003,3.69983,7,0.045
1,6,2,22.4479,4.77606,3,0.025
1,7,1,23.7776,4.11122,2,0.02
1,8,2,24.2461,3.87697,3,0.025
1,9,1,24.4824,3.75878,4,0.03
1,10,1,30,1,0,0.01
1,11,2,23.4693,4.26536,5,0.035
1,12,0,21.2356,5.38222,7,0.045
1,13,1,21.8388,5.0806,2,0.02
1,14,2,19.459,6.27049,1,0.015
1.1,0,0,24.337,3.83152,7,0.045
1.1,1,1,25.0703,3.46485,6,0.04
1.1,2,0,22.1614,4.91932,6,0.04
1.1,3,0,21.1835,5.40827,7,0.045
1.1,4,2,22.1843,4.90787,6,0.04
1.1,5,0,24.7369,3.63154,7,0.045
1.1,6,2,24.256,3.87202,3,0.025
1.1,7,1,26.1581,2.92095,2,0.02
1.1,8,0,26.0863,2.95685,3,0.025
1.1,9,0,25.5402,3.22989,4,0.03
1.1,10,1,30,1,0,0.01
1.1,11,2,23.8845,4.05776,5,0.035
1.1,12,0,21.3126,5.34368,7,0.045
1.1,13,1,21.1344,5.43281,2,0.02
1.1,14,2,19.0388,6.48061,1,0.015
1.2,0,0,24.337,3.83152,7,0.045
1.2,1,1,25.0703,3.46485,7,0.045
1.2,2,0,22.1614,4.91932,6,0.04
1.2,3,0,21.1835,5.40827,7,0.045
