time,nodeId,x,y,z,node_type
0.1,0,28.7656,86.4082,51.8658,0
0.1,1,132.658,278.293,45.0625,0
0.1,2,50.7301,178.823,44.2202,0
0.1,3,124.433,152.122,48.665,0
0.1,4,26.8144,180.068,54.9858,0
0.1,5,157.715,117.236,45.9488,0
0.1,6,382.683,176.569,58.534,0
0.1,7,435.407,82.7936,42.3848,0
0.1,8,241.555,246.894,56.6253,0
0.1,9,294.846,166.598,52.7139,0
0.1,10,402.319,415.885,46.5187,0
0.1,11,119.876,57.8731,54.9877,0
0.1,12,88.8919,181.548,43.4255,0
0.1,13,35.7378,0.0344184,53.4009,0
0.1,14,110.948,349.221,43.0933,0
0.2,0,29.0385,85.3113,51.8658,0
0.2,1,133.044,277.871,45.0625,0
0.2,2,48.9459,179.698,44.2202,0
0.2,3,122.935,153.153,48.665,0
0.2,4,27.28,180.354,54.9858,0
0.2,5,157.379,117.916,45.9488,0
0.2,6,381.689,175.468,58.534,0
0.2,7,433.866,82.6515,42.3848,0
0.2,8,242.376,246.377,56.6253,0
0.2,9,294.921,165.352,52.7139,0
0.2,10,401.326,415.942,46.5187,0
0.2,11,119.141,56.6122,54.9877,0
0.2,12,90.2413,181.119,43.4255,0
0.2,13,35.008,0.243364,53.4009,0
0.2,14,112.033,348.32,43.0933,0
0.3,0,29.3113,84.2143,51.8658,0
0.3,1,133.431,277.449,45.0625,0
0.3,2,47.1617,180.572,44.2202,0
0.3,3,121.437,154.184,48.665,0
0.3,4,27.7457,180.64,54.9858,0
0.3,5,157.042,118.595,45.9488,0
0.3,6,380.695,174.368,58.534,0
0.3,7,432.325,82.5094,42.3848,0
0.3,8,243.197,245.861,56.6253,0
0.3,9,294.996,164.106,52.7139,0
0.3,10,400.334,415.999,46.5187,0
0.3,11,118.406,55.3513,54.9877,0
0.3,12,91.5908,180.69,43.4255,0
0.3,13,34.2782,0.521147,53.4009,0
0.3,14,113.118,347.42,43.0933,0
0.4,0,29.5842,83.1173,51.8658,0
0.4,1,133.817,277.027,45.0625,0
0.4,2,45.3774,181.447,44.2202,0
0.4,3,119.939,155.215,48.665,0
0.4,4,28.2113,180.926,54.9858,0
0.4,5,156.706,119.274,45.9488,0
0.4,6,379.701,173.267,58.534,0
0.4,7,430.784,82.3674,42.3848,0
0.4,8,244.018,245.344,56.6253,0
0.4,9,295.071,162.86,52.7139,0
0.4,10,399.341,416.056,46.5187,0
0.4,11,117.672,54.0903,54.9877,0
0.4,12,92.9402,180.261,43.4255,0
0.4,13,33.5484,0.79893,53.4009,0
0.4,14,114.203,346.519,43.0933,0
0.5,0,29.857,82.0203,51.8658,0
0.5,1,134.203,276.605,45.0625,0
0.5,2,43.5932,182.321,44.2202,0
0.5,3,118.441,156.246,48.665,0
0.5,4,28.6769,181.211,54.9858,0
0.5,5,156.369,119.954,45.9488,0
0.5,6,378.708,172.166,58.534,0
0.5,7,429.243,82.2253,42.3848,0
0.5,8,244.839,244.828,56.6253,0
0.5,9,295.147,161.613,52.7139,0
0.5,10,398.349,416.114,46.5187,0
0.5,11,116.937,52.8294,54.9877,0
0.5,12,94.2897,179.831,43.4255,0
0.5,13,32.8186,1.07671,53.4009,0
0.5,14,115.288,345.619,43.0933,0
0.6,0,30.1299,80.9233,51.8658,0
0.6,1,134.59,276.183,45.0625,0
0.6,2,41.809,183.195,44.2202,0
0.6,3,116.943,157.277,48.665,0
0.6,4,29.1425,181.497,54.9858,0
0.6,5,156.033,120.633,45.9488,0
0.6,6,377.714,171.066,58.534,0
0.6,7,427.702,82.0832,42.3848,0
0.6,8,245.66,244.311,56.6253,0
0.6,9,295.222,160.367,52.7139,0
0.6,10,397.356,416.171,46.5187,0
0.6,11,116.202,51.5684,54.9877,0
0.6,12,95.6392,179.402,43.4255,0
0.6,13,32.0888,1.35449,53.4009,0
0.6,14,116.373,344.718,43.0933,0
