time,nodeId,eventType
1.08192,0,TX
1.08192,0,TX
1.16384,0,TX
1.16384,0,TX
1.18192,1,TX
1.18192,1,TX
1.24576,0,TX
1.24576,0,TX
1.26384,1,TX
1.26384,1,TX
1.28192,2,TX
1.28192,2,TX
1.28392,9,RX
1.29185,3,RX
1.32768,0,TX
1.32768,0,TX
1.34576,1,TX
1.34576,1,TX
1.36384,2,TX
1.36384,2,TX
1.36535,3,RX
1.36697,9,RX
1.38192,3,TX
1.38192,3,TX
1.4096,0,TX
1.4096,0,TX
1.42768,1,TX
1.42768,1,TX
1.44576,2,TX
1.44576,2,TX
1.44727,3,RX
1.44898,9,RX
1.46384,3,TX
1.46384,3,TX
1.48192,4,TX
1.48192,4,TX
1.48589,11,RX
1.49152,0,TX
1.49152,0,TX
1.5096,1,TX
1.5096,1,TX
1.52768,2,TX
1.52768,2,TX
1.52919,3,RX
1.53088,9,RX
1.54576,3,TX
1.54576,3,TX
1.56384,4,TX
1.56384,4,TX
1.56535,11,RX
1.57344,0,TX
1.57344,0,TX
1.58192,5,TX
1.58192,5,TX
1.58581,12,RX
1.59152,1,TX
1.59152,1,TX
1.6096,2,TX
1.6096,2,TX
1.61111,3,RX
1.6127,9,RX
1.62768,3,TX
1.62768,3,TX
1.64576,4,TX
1.64576,4,TX
1.64727,11,RX
1.65536,0,TX
1.65536,0,TX
1.66384,5,TX
1.66384,5,TX
1.66535,12,RX
1.67344,1,TX
1.67344,1,TX
1.68192,6,TX
1.68192,6,TX
1.69152,2,TX
1.69152,2,TX
1.69303,3,RX
1.69472,9,RX
1.7096,3,TX
1.7096,3,TX
1.72768,4,TX
1.72768,4,TX
1.72919,11,RX
1.73728,0,TX
1.73728,0,TX
1.74576,5,TX
1.74576,5,TX
1.74727,12,RX
1.75536,1,TX
1.75536,1,TX
1.76384,6,TX
1.76384,6,TX
1.77344,2,TX
1.77344,2,TX
1.77495,3,RX
1.77656,9,RX
1.78192,7,TX
1.78192,7,TX
1.79152,3,TX
1.79152,3,TX
1.8096,4,TX
1.8096,4,TX
1.81111,11,RX
1.8192,0,TX
1.8192,0,TX
1.82768,5,TX
1.82768,5,TX
1.82919,12,RX
1.83728,1,TX
1.83728,1,TX
1.84576,6,TX
1.84576,6,TX
1.85536,2,TX
1.85536,2,TX
1.85687,3,RX
1.85852,9,RX
1.86384,7,TX
1.86384,7,TX
1.87344,3,TX
1.87344,3,TX
1.88192,8,TX
1.88192,8,TX
1.88617,9,RX
1.88781,0,RX
1.89152,4,TX
1.89152,4,TX
1.89303,11,RX
1.90112,0,TX
1.90112,0,TX
1.9096,5,TX
1.9096,5,TX
1.91111,12,RX
1.9192,1,TX
1.9192,1,TX
1.92768,6,TX
1.92768,6,TX
1.93728,2,TX
1.93728,2,TX
1.93879,3,RX
1.94048,9,RX
1.94576,7,TX
1.94576,7,TX
1.95536,3,TX
1.95536,3,TX
1.96384,8,TX
1.96384,8,TX
1.96535,9,RX
1.96696,0,RX
1.97344,4,TX
1.97344,4,TX
1.97495,11,RX
1.98192,9,TX
1.98192,9,TX
1.98304,0,TX
1.98304,0,TX
1.99152,5,TX
1.99152,5,TX
1.99303,12,RX
