time,num_nodes,num_links,avg_degree,network_density
0.1,15,32,4.26667,0.304762
0.2,15,32,4.26667,0.304762
0.3,15,32,4.26667,0.304762
0.4,15,32,4.26667,0.304762
0.5,15,32,4.26667,0.304762
0.6,15,31,4.13333,0.295238
0.7,15,32,4.26667,0.304762
0.8,15,32,4.26667,0.304762
0.9,15,33,4.4,0.314286
1,15,33,4.4,0.314286
1.1,15,33,4.4,0.314286
1.2,15,34,4.53333,0.32381
1.3,15,34,4.53333,0.32381
1.4,15,34,4.53333,0.32381
1.5,15,34,4.53333,0.32381
1.6,15,34,4.53333,0.32381
1.7,15,34,4.53333,0.32381
1.8,15,34,4.53333,0.32381
1.9,15,34,4.53333,0.32381
