time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.5,0,19.051,6.47452,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.7844,0,18.4312,6.7844,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.8117,0,20.3766,5.8117,2,21.2479,5.37603,1,21.2479,5.37603,1,22.5642,4.71792,2,22.5642,4.71792
5.5,0,19.051,6.47452,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.7844,0,18.4312,6.7844,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.8117,0,20.3766,5.8117,2,21.2479,5.37603,1,21.2479,5.37603,1,22.5642,4.71792,2,22.5642,4.71792
10.5,0,19.3388,6.33059,0,18.1599,6.92005,0,18.1521,6.92395,0,17.903,7.04848,0,17.6339,7.18307,0,18.2078,6.89612,0,19.178,6.41101,0,18.9558,6.52211,0,20.0312,5.98442,0,20.1115,5.94424,0,20.5389,5.73053,2,20.9443,5.52784,1,21.3359,5.33205,1,22.2189,4.89054,2,22.6484,4.67578
15.5,0,19.4533,6.27337,0,18.2325,6.88373,0,18.3483,6.82583,0,17.8627,7.06863,0,17.996,7.00201,0,18.0189,6.99053,0,18.8257,6.58717,0,18.6487,6.67563,0,18.8933,6.55337,0,19.7172,6.14138,0,20.8973,5.55135,2,20.4518,5.7741,1,21.7896,5.10518,1,21.69,5.15499,2,22.8774,4.56128
20.5,0,18.9441,6.52797,0,18.0833,6.95835,0,17.9324,7.03378,0,17.7754,7.11231,0,17.5529,7.22355,0,18.1289,6.93553,0,18.5568,6.72162,0,18.923,6.5385,0,20.1781,5.91097,0,20.1172,5.94139,0,20.7891,5.60547,2,20.9773,5.51136,1,22.012,4.99402,1,20.6116,5.69419,2,22.3986,4.80071
25.5,0,19.2615,6.36924,0,18.1285,6.93574,0,17.2284,7.38582,0,17.7242,7.13791,0,17.3214,7.33931,0,17.9169,7.04154,0,18.2993,6.85036,0,17.7357,7.13215,0,19.0222,6.4889,0,19.2419,6.37903,0,19.4762,6.26188,2,20.6181,5.69096,0,20.9271,5.53644,1,22.2688,4.86561,1,24.8558,3.5721
30.5,0,18.9292,6.5354,0,17.9995,7.00025,0,17.6493,7.17536,0,17.7678,7.11611,0,17.7367,7.13165,0,18.0411,6.97947,0,18.4992,6.75042,0,18.7958,6.60208,0,19.1708,6.41462,0,20.2109,5.89453,2,18.7965,6.60173,0,21.5875,5.20623,0,20.9083,5.54587,1,22.0709,4.96456,1,22.7174,4.64128
35.5,0,19.1921,6.40396,0,18.3244,6.8378,0,18.3024,6.84878,0,18.1543,6.92287,0,18.2679,6.86606,0,18.4895,6.75523,0,18.8362,6.5819,0,19.2917,6.35413,0,19.3521,6.32393,0,20.5345,5.73275,2,21.0739,5.46303,0,22.1214,4.93929,0,21.7344,5.1328,1,22.1991,4.90046,1,23.2146,4.39271
40.5,0,18.9268,6.53661,0,18.2175,6.89125,0,18.5496,6.72519,0,18.0808,6.95958,0,18.0749,6.96257,0,18.4414,6.77931,0,18.3548,6.8226,0,19.3023,6.34887,0,18.928,6.536,0,20.4102,5.79491,2,19.8975,6.05125,0,20.5771,5.71143,0,21.5599,5.22007,1,22.0737,4.96316,1,22.4033,4.79837
45.5,0,19.1696,6.41521,0,17.9396,7.0302,0,17.6764,7.16179,0,17.5412,7.22938,0,17.3543,7.32285,0,17.7621,7.11895,0,17.2937,7.35313,0,18.461,6.7695,0,18.3283,6.83585,2,19.566,6.21701,0,22.4376,4.7812,0,20.6917,5.65416,0,23.2482,4.37591,1,21.489,5.25548,1,23.3267,4.33664
50.5,0,18.81,6.595,0,17.8125,7.09373,0,18.2669,6.86654,0,17.5859,7.20706,0,17.289,7.35549,0,17.9245,7.03774,0,18.7425,6.62875,0,18.7043,6.64786,0,19.5713,6.21435,2,19.89,6.055,0,20.4735,5.76327,0,21.0891,5.45547,0,22.3213,4.83935,1,22.9391,4.53044,1,23.3056,4.34721
55.5,0,19.3008,6.3496,0,18.5118,6.74408,0,18.4987,6.75067,0,18.3036,6.84818,0,18.1002,6.94989,0,18.5132,6.74341,0,18.479,6.76052,0,19.6968,6.15162,0,19.8827,6.05864,2,20.5339,5.73304,0,20.0903,5.95486,0,21.3475,5.32626,0,21.6821,5.15895,1,22.6294,4.68532,1,22.1363,4.93186
