time,node_id,channel,tx_power,data_rate,neighbors,interference
0.5,0,0,19.051,6.47452,14,0.08
0.5,1,0,18.2733,6.86334,14,0.08
0.5,2,0,18.2733,6.86334,14,0.08
0.5,3,0,18.1026,6.94872,14,0.08
0.5,4,0,18.1026,6.94872,14,0.08
0.5,5,0,18.4312,6.7844,14,0.08
0.5,6,0,18.4312,6.7844,14,0.08
0.5,7,0,19.201,6.39948,14,0.08
0.5,8,0,19.201,6.39948,14,0.08
0.5,9,0,20.3766,5.8117,14,0.08
0.5,10,0,20.3766,5.8117,14,0.08
0.5,11,2,21.2479,5.37603,13,0.075
0.5,12,1,21.2479,5.37603,13,0.075
0.5,13,1,22.5642,4.71792,12,0.07
0.5,14,2,22.5642,4.71792,12,0.07
5.5,0,0,19.051,6.47452,14,0.08
5.5,1,0,18.2733,6.86334,14,0.08
5.5,2,0,18.2733,6.86334,14,0.08
5.5,3,0,18.1026,6.94872,14,0.08
5.5,4,0,18.1026,6.94872,14,0.08
5.5,5,0,18.4312,6.7844,14,0.08
5.5,6,0,18.4312,6.7844,14,0.08
5.5,7,0,19.201,6.39948,14,0.08
5.5,8,0,19.201,6.39948,14,0.08
5.5,9,0,20.3766,5.8117,14,0.08
5.5,10,0,20.3766,5.8117,14,0.08
5.5,11,2,21.2479,5.37603,13,0.075
5.5,12,1,21.2479,5.37603,13,0.075
5.5,13,1,22.5642,4.71792,12,0.07
5.5,14,2,22.5642,4.71792,12,0.07
10.5,0,0,19.3388,6.33059,14,0.08
10.5,1,0,18.1599,6.92005,14,0.08
10.5,2,0,18.1521,6.92395,14,0.08
10.5,3,0,17.903,7.04848,14,0.08
10.5,4,0,17.6339,7.18307,14,0.08
10.5,5,0,18.2078,6.89612,14,0.08
10.5,6,0,19.178,6.41101,14,0.08
10.5,7,0,18.9558,6.52211,14,0.08
10.5,8,0,20.0312,5.98442,14,0.08
10.5,9,0,20.1115,5.94424,14,0.08
10.5,10,0,20.5389,5.73053,14,0.08
10.5,11,2,20.9443,5.52784,13,0.075
10.5,12,1,21.3359,5.33205,13,0.075
10.5,13,1,22.2189,4.89054,12,0.07
10.5,14,2,22.6484,4.67578,12,0.07
15.5,0,0,19.4533,6.27337,14,0.08
15.5,1,0,18.2325,6.88373,14,0.08
15.5,2,0,18.3483,6.82583,14,0.08
15.5,3,0,17.8627,7.06863,14,0.08
15.5,4,0,17.996,7.00201,14,0.08
15.5,5,0,18.0189,6.99053,14,0.08
15.5,6,0,18.8257,6.58717,14,0.08
15.5,7,0,18.6487,6.67563,14,0.08
15.5,8,0,18.8933,6.55337,14,0.08
15.5,9,0,19.7172,6.14138,14,0.08
15.5,10,0,20.8973,5.55135,14,0.08
15.5,11,2,20.4518,5.7741,13,0.075
15.5,12,1,21.7896,5.10518,13,0.075
15.5,13,1,21.69,5.15499,12,0.07
15.5,14,2,22.8774,4.56128,12,0.07
20.5,0,0,18.9441,6.52797,14,0.08
20.5,1,0,18.0833,6.95835,14,0.08
20.5,2,0,17.9324,7.03378,14,0.08
20.5,3,0,17.7754,7.11231,14,0.08
20.5,4,0,17.5529,7.22355,14,0.08
20.5,5,0,18.1289,6.93553,14,0.08
20.5,6,0,18.5568,6.72162,14,0.08
20.5,7,0,18.923,6.5385,14,0.08
20.5,8,0,20.1781,5.91097,13,0.075
20.5,9,0,20.1172,5.94139,14,0.08
20.5,10,0,20.7891,5.60547,13,0.075
20.5,11,2,20.9773,5.51136,13,0.075
20.5,12,1,22.012,4.99402,13,0.075
20.5,13,1,20.6116,5.69419,10,0.06
20.5,14,2,22.3986,4.80071,12,0.07
25.5,0,0,19.2615,6.36924,14,0.08
25.5,1,0,18.1285,6.93574,14,0.08
25.5,2,0,17.2284,7.38582,14,0.08
25.5,3,0,17.7242,7.13791,14,0.08
25.5,4,0,17.3214,7.33931,14,0.08
25.5,5,0,17.9169,7.04154,14,0.08
25.5,6,0,18.2993,6.85036,14,0.08
25.5,7,0,17.7357,7.13215,13,0.075
