FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,726,726,0%
2,0,7,726,0,100%
3,1,2,725,0,100%
4,1,8,725,0,100%
5,2,3,723,0,100%
6,2,9,723,0,100%
7,3,4,722,0,100%
8,3,10,722,0,100%
9,4,5,721,0,100%
10,4,11,721,0,100%
11,5,6,720,0,100%
12,5,12,720,0,100%
13,6,7,718,0,100%
14,6,13,718,0,100%
15,7,8,717,0,100%
16,7,14,717,0,100%
17,8,9,716,0,100%
18,8,0,716,0,100%
19,9,10,715,0,100%
20,9,1,715,0,100%
21,10,11,714,0,100%
22,10,2,714,0,100%
23,11,12,712,0,100%
24,11,3,712,0,100%
25,12,13,711,0,100%
26,12,4,711,0,100%
27,13,14,710,0,100%
28,13,5,710,0,100%
29,14,0,709,0,100%
30,14,6,709,0,100%
