time,nodeId,x,y,z
0,0,73.163,100.893,30
0,1,61.163,88.893,30
0,2,85.163,88.893,30
0,3,49.163,76.893,30
0,4,97.163,76.893,30
0,5,37.163,64.893,30
0,6,109.163,64.893,30
0,7,25.163,52.893,30
0,8,121.163,52.893,30
0,9,13.163,40.893,30
0,10,133.163,40.893,30
0,11,1.163,28.893,30
0,12,145.163,28.893,30
0,13,-10.837,16.893,30
0,14,157.163,16.893,30
0.2,0,75.3546,102.942,30
0.2,1,63.3546,90.9418,30
0.2,2,87.3546,90.9418,30
0.2,3,51.3546,78.9418,30
0.2,4,99.3546,78.9418,30
0.2,5,39.3546,66.9418,30
0.2,6,111.355,66.9418,30
0.2,7,27.3546,54.9418,30
0.2,8,123.355,54.9418,30
0.2,9,15.3546,42.9418,30
0.2,10,135.355,42.9418,30
0.2,11,3.3546,30.9418,30
0.2,12,147.355,30.9418,30
0.2,13,-8.6454,18.9418,30
0.2,14,159.355,18.9418,30
0.4,0,77.5462,104.991,30
0.4,1,65.5462,92.9906,30
0.4,2,89.5462,92.9906,30
0.4,3,53.5462,80.9906,30
0.4,4,101.546,80.9906,30
0.4,5,41.5462,68.9906,30
0.4,6,113.546,68.9906,30
0.4,7,29.5462,56.9906,30
0.4,8,125.546,56.9906,30
0.4,9,17.5462,44.9906,30
0.4,10,137.546,44.9906,30
0.4,11,5.5462,32.9906,30
0.4,12,149.546,32.9906,30
0.4,13,-6.4538,20.9906,30
0.4,14,161.546,20.9906,30
0.6,0,79.7376,107.04,30
0.6,1,67.7376,95.0396,30
0.6,2,91.7376,95.0396,30
0.6,3,55.7376,83.0396,30
0.6,4,103.738,83.0396,30
0.6,5,43.7376,71.0396,30
0.6,6,115.738,71.0396,30
0.6,7,31.7376,59.0396,30
0.6,8,127.738,59.0396,30
0.6,9,19.7376,47.0396,30
0.6,10,139.738,47.0396,30
0.6,11,7.7376,35.0396,30
0.6,12,151.738,35.0396,30
0.6,13,-4.2624,23.0396,30
0.6,14,163.738,23.0396,30
0.8,0,81.9288,109.089,30
0.8,1,69.9288,97.0888,30
0.8,2,93.9288,97.0888,30
0.8,3,57.9288,85.0888,30
0.8,4,105.929,85.0888,30
0.8,5,45.9288,73.0888,30
0.8,6,117.929,73.0888,30
0.8,7,33.9288,61.0888,30
0.8,8,129.929,61.0888,30
0.8,9,21.9288,49.0888,30
0.8,10,141.929,49.0888,30
0.8,11,9.9288,37.0888,30
0.8,12,153.929,37.0888,30
0.8,13,-2.0712,25.0888,30
0.8,14,165.929,25.0888,30
1,0,84.12,111.138,30
1,1,72.12,99.138,30
1,2,96.12,99.138,30
1,3,60.12,87.138,30
1,4,108.12,87.138,30
1,5,48.12,75.138,30
1,6,120.12,75.138,30
1,7,36.12,63.138,30
1,8,132.12,63.138,30
1,9,24.12,51.138,30
1,10,144.12,51.138,30
1,11,12.12,39.138,30
1,12,156.12,39.138,30
1,13,0.12,27.138,30
1,14,168.12,27.138,30
1.2,0,86.3112,113.187,30
1.2,1,74.3112,101.187,30
1.2,2,98.3112,101.187,30
1.2,3,62.3112,89.1868,30
1.2,4,110.311,89.1868,30
1.2,5,50.3112,77.1868,30
1.2,6,122.311,77.1868,30
1.2,7,38.3112,65.1868,30
1.2,8,134.311,65.1868,30
1.2,9,26.3112,53.1868,30
1.2,10,146.311,53.1868,30
1.2,11,14.3112,41.1868,30
1.2,12,158.311,41.1868,30
1.2,13,2.3112,29.1868,30
1.2,14,170.311,29.1868,30
1.4,0,88.5024,115.236,30
1.4,1,76.5024,103.236,30
1.4,2,100.502,103.236,30
1.4,3,64.5024,91.2356,30
1.4,4,112.502,91.2356,30
1.4,5,52.5024,79.2356,30
1.4,6,124.502,79.2356,30
1.4,7,40.5024,67.2356,30
1.4,8,136.502,67.2356,30
1.4,9,28.5024,55.2356,30
1.4,10,148.502,55.2356,30
1.4,11,16.5024,43.2356,30
1.4,12,160.502,43.2356,30
1.4,13,4.5024,31.2356,30
1.4,14,172.502,31.2356,30
1.6,0,90.6938,117.284,30
1.6,1,78.6938,105.284,30
1.6,2,102.694,105.284,30
1.6,3,66.6938,93.2844,30
1.6,4,114.694,93.2844,30
1.6,5,54.6938,81.2844,30
1.6,6,126.694,81.2844,30
1.6,7,42.6938,69.2844,30
1.6,8,138.694,69.2844,30
1.6,9,30.6938,57.2844,30
1.6,10,150.694,57.2844,30
1.6,11,18.6938,45.2844,30
1.6,12,162.694,45.2844,30
1.6,13,6.6938,33.2844,30
1.6,14,174.694,33.2844,30
1.8,0,92.8854,119.333,30
1.8,1,80.8854,107.333,30
1.8,2,104.885,107.333,30
1.8,3,68.8854,95.3332,30
1.8,4,116.885,95.3332,30
1.8,5,56.8854,83.3332,30
1.8,6,128.885,83.3332,30
1.8,7,44.8854,71.3332,30
1.8,8,140.885,71.3332,30
1.8,9,32.8854,59.3332,30
1.8,10,152.885,59.3332,30
1.8,11,20.8854,47.3332,30
1.8,12,164.885,47.3332,30
1.8,13,8.8854,35.3332,30
1.8,14,176.885,35.3332,30
2,0,95.077,121.382,30
2,1,83.077,109.382,30
2,2,107.077,109.382,30
2,3,71.077,97.382,30
2,4,119.077,97.382,30
2,5,59.077,85.382,30
2,6,131.077,85.382,30
2,7,47.077,73.382,30
2,8,143.077,73.382,30
2,9,35.077,61.382,30
2,10,155.077,61.382,30
2,11,23.077,49.382,30
2,12,167.077,49.382,30
2,13,11.077,37.382,30
2,14,179.077,37.382,30
2.2,0,97.1898,123.358,30
2.2,1,85.1898,111.358,30
2.2,2,109.19,111.358,30
2.2,3,73.1898,99.358,30
2.2,4,121.19,99.358,30
2.2,5,61.1898,87.358,30
2.2,6,133.19,87.358,30
2.2,7,49.1898,75.358,30
2.2,8,145.19,75.358,30
2.2,9,37.1898,63.358,30
2.2,10,157.19,63.358,30
2.2,11,25.1898,51.358,30
2.2,12,169.19,51.358,30
2.2,13,13.1898,39.358,30
2.2,14,181.19,39.358,30
2.4,0,99.3026,125.334,30
2.4,1,87.3026,113.334,30
2.4,2,111.303,113.334,30
2.4,3,75.3026,101.334,30
2.4,4,123.303,101.334,30
2.4,5,63.3026,89.334,30
2.4,6,135.303,89.334,30
2.4,7,51.3026,77.334,30
2.4,8,147.303,77.334,30
2.4,9,39.3026,65.334,30
2.4,10,159.303,65.334,30
2.4,11,27.3026,53.334,30
2.4,12,171.303,53.334,30
2.4,13,15.3026,41.334,30
2.4,14,183.303,41.334,30
2.6,0,101.314,127.215,30
2.6,1,89.3142,115.215,30
2.6,2,113.314,115.215,30
2.6,3,77.3142,103.215,30
2.6,4,125.314,103.215,30
2.6,5,65.3142,91.215,30
2.6,6,137.314,91.215,30
2.6,7,53.3142,79.215,30
2.6,8,149.314,79.215,30
2.6,9,41.3142,67.215,30
2.6,10,161.314,67.215,30
2.6,11,29.3142,55.215,30
2.6,12,173.314,55.215,30
2.6,13,17.3142,43.215,30
2.6,14,185.314,43.215,30
2.8,0,103.225,129.001,30
2.8,1,91.2246,117.001,30
2.8,2,115.225,117.001,30
2.8,3,79.2246,105.001,30
2.8,4,127.225,105.001,30
2.8,5,67.2246,93.001,30
2.8,6,139.225,93.001,30
2.8,7,55.2246,81.001,30
2.8,8,151.225,81.001,30
2.8,9,43.2246,69.001,30
2.8,10,163.225,69.001,30
2.8,11,31.2246,57.001,30
2.8,12,175.225,57.001,30
2.8,13,19.2246,45.001,30
2.8,14,187.225,45.001,30
3,0,105.135,130.787,30
3,1,93.135,118.787,30
3,2,117.135,118.787,30
3,3,81.135,106.787,30
3,4,129.135,106.787,30
3,5,69.135,94.787,30
3,6,141.135,94.787,30
3,7,57.135,82.787,30
3,8,153.135,82.787,30
3,9,45.135,70.787,30
3,10,165.135,70.787,30
3,11,33.135,58.787,30
3,12,177.135,58.787,30
3,13,21.135,46.787,30
3,14,189.135,46.787,30
3.2,0,106.797,132.341,30
3.2,1,94.7966,120.341,30
3.2,2,118.797,120.341,30
3.2,3,82.7966,108.341,30
3.2,4,130.797,108.341,30
3.2,5,70.7966,96.341,30
3.2,6,142.797,96.341,30
3.2,7,58.7966,84.341,30
3.2,8,154.797,84.341,30
3.2,9,46.7966,72.341,30
3.2,10,166.797,72.341,30
3.2,11,34.7966,60.341,30
3.2,12,178.797,60.341,30
3.2,13,22.7966,48.341,30
3.2,14,190.797,48.341,30
3.4,0,108.458,133.895,30
3.4,1,96.4582,121.895,30
3.4,2,120.458,121.895,30
3.4,3,84.4582,109.895,30
3.4,4,132.458,109.895,30
3.4,5,72.4582,97.895,30
3.4,6,144.458,97.895,30
3.4,7,60.4582,85.895,30
3.4,8,156.458,85.895,30
3.4,9,48.4582,73.895,30
3.4,10,168.458,73.895,30
3.4,11,36.4582,61.895,30
3.4,12,180.458,61.895,30
3.4,13,24.4582,49.895,30
3.4,14,192.458,49.895,30
3.6,0,110.018,135.354,30
3.6,1,98.0182,123.354,30
3.6,2,122.018,123.354,30
3.6,3,86.0182,111.354,30
3.6,4,134.018,111.354,30
3.6,5,74.0182,99.3536,30
3.6,6,146.018,99.3536,30
3.6,7,62.0182,87.3536,30
3.6,8,158.018,87.3536,30
3.6,9,50.0182,75.3536,30
