time,nodeId,eventType
1.05407,7,Rx Data
1.05785,18,Tx Data
1.05785,23,Tx Data
1.05981,15,Tx Data
1.05981,20,Tx Data
1.06178,16,Tx Data
1.06178,18,Tx Data
1.06178,23,Tx Data
1.06374,16,Tx Data
1.06374,24,Tx Data
1.06475,20,Rx Data
1.06493,7,Rx Data
1.06688,17,Rx Data
1.06766,26,Tx Data
1.06963,19,Tx Data
1.06963,24,Tx Data
1.06963,26,Tx Data
1.07159,22,Tx Data
1.07325,24,Rx Data
1.0735,20,Rx Data
1.07355,25,Tx Data
1.07355,26,Tx Data
1.07355,27,Tx Data
1.07359,7,Rx Data
1.07551,17,Tx Data
1.07551,25,Tx Data
1.07944,19,Tx Data
1.07944,29,Tx Data
1.07962,24,Rx Data
1.07985,17,Rx Data
1.08016,9,Rx Data
1.0814,20,Tx Data
1.0814,25,Tx Data
1.08394,22,Rx Data
1.08444,7,Rx Data
1.08533,25,Tx Data
1.08533,28,Tx Data
1.08663,9,Rx Data
1.08663,7,Rx Data
1.08663,5,Rx Data
1.08729,21,Tx Data
1.08729,25,Tx Data
1.08729,28,Tx Data
1.08925,16,Tx Data
1.08925,22,Tx Data
1.09122,18,Tx Data
1.09122,24,Tx Data
1.09246,22,Rx Data
1.09281,20,Rx Data
1.09281,28,Rx Data
1.09318,22,Tx Data
1.09458,24,Rx Data
1.0971,17,Tx Data
1.09721,17,Rx Data
1.0989,22,Rx Data
1.10103,16,Tx Data
1.1019,7,Rx Data
1.10299,17,Tx Data
1.10299,29,Tx Data
1.10412,9,Rx Data
1.10845,5,Rx Data
1.10888,18,Tx Data
1.10954,22,Rx Data
1.1101,20,Rx Data
1.11084,22,Tx Data
1.11084,27,Tx Data
1.11281,17,Tx Data
1.11477,16,Tx Data
1.11505,9,Rx Data
1.11673,18,Tx Data
1.11673,25,Tx Data
1.11673,27,Tx Data
1.1169,20,Rx Data
1.11725,9,Rx Data
1.12158,5,Rx Data
1.12458,16,Tx Data
1.12458,17,Tx Data
1.12458,20,Tx Data
1.12458,23,Tx Data
1.12458,27,Tx Data
1.12654,19,Tx Data
1.12654,20,Tx Data
1.12654,23,Tx Data
1.12654,25,Tx Data
1.12654,27,Tx Data
1.12923,20,Rx Data
1.13047,18,Tx Data
1.13047,26,Tx Data
1.13047,29,Tx Data
1.13243,18,Tx Data
1.13479,9,Rx Data
1.13636,15,Tx Data
1.13636,27,Tx Data
1.13698,5,Rx Data
1.13915,7,Rx Data
1.14028,15,Tx Data
1.14028,23,Tx Data
1.14338,5,Rx Data
1.14617,17,Tx Data
1.14617,18,Tx Data
1.14617,25,Tx Data
1.14879,17,Rx Data
1.15206,19,Tx Data
