time,num_links,connectivity
time,num_links,connectivity
2,102,0.971429
4,102,0.971429
6,102,0.971429
8,102,0.971429
10,102,0.971429
12,102,0.971429
14,102,0.971429
16,102,0.971429
18,102,0.971429
20,102,0.971429
22,100,0.952381
24,100,0.952381
26,101,0.961905
28,101,0.961905
30,101,0.961905
32,103,0.980952
34,103,0.980952
36,103,0.980952
38,103,0.980952
40,103,0.980952
42,101,0.961905
44,101,0.961905
46,102,0.971429
48,102,0.971429
50,102,0.971429
52,104,0.990476
54,104,0.990476
56,102,0.971429
58,102,0.971429
60,102,0.971429
