time,num_nodes,num_links,avg_degree,network_density
2,15,102,13.6,0.971429
4,15,102,13.6,0.971429
6,15,102,13.6,0.971429
8,15,102,13.6,0.971429
10,15,102,13.6,0.971429
12,15,102,13.6,0.971429
14,15,102,13.6,0.971429
16,15,102,13.6,0.971429
18,15,102,13.6,0.971429
20,15,102,13.6,0.971429
22,15,100,13.3333,0.952381
24,15,100,13.3333,0.952381
26,15,101,13.4667,0.961905
28,15,101,13.4667,0.961905
30,15,101,13.4667,0.961905
32,15,103,13.7333,0.980952
34,15,103,13.7333,0.980952
36,15,103,13.7333,0.980952
38,15,103,13.7333,0.980952
40,15,103,13.7333,0.980952
42,15,101,13.4667,0.961905
44,15,101,13.4667,0.961905
46,15,102,13.6,0.971429
48,15,102,13.6,0.971429
50,15,102,13.6,0.971429
52,15,104,13.8667,0.990476
54,15,104,13.8667,0.990476
56,15,102,13.6,0.971429
58,15,102,13.6,0.971429
60,15,102,13.6,0.971429
