time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0.5,0.000898815,45905.5,0.5,0.00122487,38254.5,0.5,0.00135302,34429.1,0.5,0.00130581,30603.6,0.5,0.0012171,26778.2,0.5,0.00131378,22952.7,0.5,0.00083303,15301.8,0.5,0.00149087,11476.4,0.5,0.00109979,7650.91,0.5,0.00443556,3825.45,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0.479167,0.000940652,60490,0.5,0.00155042,60490,0.47619,0.0020906,52600,0.4,0.0202253,42080,0.421053,0.0104247,42080,0.5,0.00150015,47340,0.5,0.000773375,44710,0.5,0.000902189,39450,0.5,0.000804273,36820,0.5,0.00103814,34190,0.5,0.00111436,31560,0,0,0,0,0,0
4.2,0,0,0,0,0,0,0.486111,0.00127268,70133.3,0.485714,0.00324874,68129.5,0.485294,0.0172355,66125.7,0.5,0.0371176,64121.9,0.5,0.0361193,62118.1,0.466667,0.00744153,56106.7,0.5,0.00116554,58110.5,0.5,0.000833861,56106.7,0.5,0.000781541,52099,0.5,0.000902242,50095.2,0.5,0.000934688,48091.4,0,0,0,0,0,0
5.2,0,0,0,0,0,0,0.489583,0.00142339,76067.7,0.5,0.00350712,76067.7,0.48913,0.0133363,72830.8,0.5,0.0269715,72830.8,0.5,0.0265233,69593.8,0.5,0.0151505,67975.4,0.5,0.00141165,66356.9,0.5,0.000810209,64738.5,0.5,0.000772701,63120,0.5,0.000854494,59883.1,0.5,0.000874799,58264.6,0,0,0,0,0,0
6.2,0,0,0,0,0,0,0.491803,0.00161502,81445.2,0.5,0.00339274,80087.7,0.491379,0.0110357,77372.9,0.5,0.0216606,77372.9,0.5,0.0213193,76015.5,0.5,0.0123001,73300.6,0.490566,0.00384344,70585.8,0.5,0.000820142,70585.8,0.5,0.00076854,69228.4,0.5,0.000828631,67871,0.5,0.000844854,65156.1,0,0,0,0,0,0
7.2,0,0,0,0,0,0,0.493151,0.00177466,84160,0.5,0.00314895,84160,0.492857,0.00945654,80653.3,0.5,0.0182951,80653.3,0.5,0.0184695,79484.4,0.5,0.0104727,78315.6,0.5,0.0109831,75977.8,0.5,0.000826178,74808.9,0.5,0.000765965,73640,0.5,0.000814384,72471.1,0.5,0.000825709,71302.2,0,0,0,0,0,0
8.2,0,0,0,0,0,0,0.494118,0.00185733,86212.7,0.5,0.00308377,86212.7,0.487952,0.00861858,83133.7,0.5,0.0160804,83133.7,0.5,0.0161698,82107.3,0.5,0.00909053,81081,0.5,0.00961285,80054.6,0.5,0.000822871,78002,0.5,0.000764214,76975.6,0.5,0.000804757,75949.3,0.5,0.000814089,74922.9,0,0,0,0,0,0
9.2,0,0,0,0,0,0,0.494845,0.00196327,87819.1,0.5,0.00324106,87819.1,0.494737,0.0076993,85989.6,0.5,0.0143045,85074.8,0.5,0.0143873,84160,0.5,0.00897146,83245.2,0.5,0.00857895,82330.4,0.5,0.00081296,81415.7,0.5,0.000762946,79586.1,0.5,0.000797817,78671.3,0.5,0.00080575,77756.5,0,0,0,0,0,0
