time,node_id,channel,tx_power,data_rate,neighbors,interference
0.2,0,2,20.3965,5.80173,12,0.07
0.2,1,1,19.7204,6.13981,13,0.075
0.2,2,0,19.2551,6.37244,14,0.08
0.2,3,0,18.2268,6.8866,14,0.08
0.2,4,0,17.427,7.28652,14,0.08
0.2,5,0,16.8556,7.57218,14,0.08
0.2,6,0,16.5129,7.74357,14,0.08
0.2,7,0,16.3986,7.8007,14,0.08
0.2,8,0,16.5129,7.74357,14,0.08
0.2,9,0,16.8557,7.57217,14,0.08
0.2,10,0,17.4268,7.28661,14,0.08
0.2,11,0,18.2268,6.8866,14,0.08
0.2,12,0,19.2554,6.37232,14,0.08
0.2,13,0,19.7216,6.13918,13,0.075
0.2,14,2,20.3991,5.80046,12,0.07
5.2,0,2,20.4072,5.79642,12,0.07
5.2,1,1,19.7289,6.13555,13,0.075
5.2,2,0,19.2611,6.36943,14,0.08
5.2,3,0,18.2318,6.88408,14,0.08
5.2,4,0,17.4314,7.2843,14,0.08
5.2,5,0,16.8597,7.57015,14,0.08
5.2,6,0,16.5167,7.74165,14,0.08
5.2,7,0,16.4024,7.79879,14,0.08
5.2,8,0,16.5169,7.74157,14,0.08
5.2,9,0,16.8599,7.57007,14,0.08
5.2,10,0,17.4316,7.28419,14,0.08
5.2,11,0,18.2316,6.88418,14,0.08
5.2,12,0,19.2603,6.36983,14,0.08
5.2,13,0,19.7263,6.13684,13,0.075
5.2,14,2,20.4038,5.79811,12,0.07
10.2,0,2,20.3999,5.80007,12,0.07
10.2,1,1,19.723,6.13851,13,0.075
10.2,2,0,19.2571,6.37145,14,0.08
10.2,3,0,18.2286,6.88572,14,0.08
10.2,4,0,17.4286,7.28571,14,0.08
10.2,5,0,16.8572,7.57141,14,0.08
10.2,6,0,16.5143,7.74285,14,0.08
10.2,7,0,16.4,7.79999,14,0.08
10.2,8,0,16.5143,7.74285,14,0.08
10.2,9,0,16.8572,7.57141,14,0.08
10.2,10,0,17.4286,7.28571,14,0.08
10.2,11,0,18.2287,6.88567,14,0.08
10.2,12,0,19.2572,6.37139,14,0.08
10.2,13,0,19.7231,6.13845,13,0.075
10.2,14,2,20.3999,5.80005,12,0.07
15.2,0,2,20.4,5.80002,12,0.07
15.2,1,1,19.7231,6.13844,13,0.075
15.2,2,0,19.2571,6.37144,14,0.08
15.2,3,0,18.2285,6.88573,14,0.08
15.2,4,0,17.4286,7.2857,14,0.08
15.2,5,0,16.8571,7.57143,14,0.08
15.2,6,0,16.5143,7.74286,14,0.08
15.2,7,0,16.4,7.8,14,0.08
15.2,8,0,16.5143,7.74286,14,0.08
15.2,9,0,16.8571,7.57143,14,0.08
15.2,10,0,17.4286,7.28571,14,0.08
15.2,11,0,18.2286,6.88571,14,0.08
15.2,12,0,19.2572,6.37142,14,0.08
15.2,13,0,19.7231,6.13845,13,0.075
15.2,14,2,20.4,5.8,12,0.07
20.2,0,2,20.4,5.79998,12,0.07
20.2,1,1,19.723,6.13848,13,0.075
20.2,2,0,19.2571,6.37145,14,0.08
20.2,3,0,18.2286,6.88572,14,0.08
20.2,4,0,17.4285,7.28573,14,0.08
20.2,5,0,16.8571,7.57144,14,0.08
20.2,6,0,16.5143,7.74286,14,0.08
20.2,7,0,16.4,7.80001,14,0.08
20.2,8,0,16.5143,7.74286,14,0.08
20.2,9,0,16.8571,7.57144,14,0.08
20.2,10,0,17.428,7.286,14,0.08
20.2,11,0,18.2292,6.88538,14,0.08
20.2,12,0,19.2575,6.37125,14,0.08
20.2,13,0,19.7231,6.13845,13,0.075
20.2,14,2,20.4001,5.79996,12,0.07
25.2,0,2,20.3973,5.80133,12,0.07
25.2,1,1,19.7564,6.12179,13,0.075
25.2,2,0,19.3053,6.34736,14,0.08
25.2,3,0,18.2803,6.85985,14,0.08
