FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1348,0,100%
2,0,7,1348,0,100%
3,1,2,1347,0,100%
4,1,8,1347,0,100%
5,2,3,1346,1231,8.54383%
6,2,9,1346,0,100%
7,3,4,1345,1345,0%
8,3,10,1345,0,100%
9,4,5,1343,1342,0.0744602%
10,4,11,1343,0,100%
11,5,6,1342,1342,0%
12,5,12,1342,0,100%
13,6,7,1341,1341,0%
14,6,13,1341,0,100%
15,7,8,1340,1340,0%
16,7,14,1340,0,100%
17,8,9,1339,1338,0.0746826%
18,8,0,1339,0,100%
19,9,10,1337,1337,0%
20,9,1,1337,0,100%
21,10,11,1336,1186,11.2275%
22,10,2,1336,0,100%
23,11,12,1335,1335,0%
24,11,3,1335,0,100%
25,12,13,1334,1334,0%
26,12,4,1334,0,100%
27,13,14,1332,62,95.3453%
28,13,5,1332,0,100%
29,14,0,1331,0,100%
30,14,6,1331,0,100%
