time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate,uav15_channel,uav15_power,uav15_rate,uav16_channel,uav16_power,uav16_rate,uav17_channel,uav17_power,uav17_rate,uav18_channel,uav18_power,uav18_rate,uav19_channel,uav19_power,uav19_rate,uav20_channel,uav20_power,uav20_rate,uav21_channel,uav21_power,uav21_rate,uav22_channel,uav22_power,uav22_rate,uav23_channel,uav23_power,uav23_rate,uav24_channel,uav24_power,uav24_rate,uav25_channel,uav25_power,uav25_rate,uav26_channel,uav26_power,uav26_rate,uav27_channel,uav27_power,uav27_rate,uav28_channel,uav28_power,uav28_rate,uav29_channel,uav29_power,uav29_rate
0.5,0,20.1824,5.9088,1,19.883,6.0585,2,19.883,6.0585,0,19.9785,6.01075,0,19.9785,6.01075,0,20.3264,5.8368,0,20.3264,5.8368,0,20.3525,5.82375,0,20.3525,5.82375,0,20.9972,5.50142,0,20.9972,5.50142,0,21.271,5.3645,0,21.271,5.3645,0,21.6114,5.19428,0,21.2698,5.36508,0,21.1695,5.41526,0,20.8948,5.55261,0,19.2126,6.3937,0,18.8769,6.56154,0,18.8769,6.56155,0,18.6738,6.66308,0,18.6739,6.66307,0,18.6396,6.68021,0,18.6395,6.68023,0,18.8247,6.58767,1,18.8247,6.58765,2,19.3024,6.3488,0,19.3023,6.34883,1,20.1823,5.90886,2,20.1823,5.90883
5.5,0,20.1823,5.90883,1,19.883,6.05852,2,19.883,6.05852,0,19.9785,6.01076,0,19.9785,6.01076,0,20.3264,5.83682,0,20.3264,5.83682,0,20.3525,5.82377,0,20.3525,5.82377,0,20.9971,5.50143,0,20.9971,5.50143,0,21.271,5.36452,0,21.271,5.36452,0,21.6114,5.19428,0,21.2698,5.36508,0,21.1695,5.41527,0,20.8948,5.55261,0,19.2126,6.39371,0,18.8769,6.56155,0,18.8769,6.56154,0,18.6739,6.66307,0,18.6738,6.66309,0,18.6395,6.68023,0,18.6396,6.68022,0,18.8247,6.58765,1,18.8247,6.58767,2,19.3023,6.34883,0,19.3024,6.34881,1,20.1823,5.90883,2,20.1823,5.90887
10.5,0,20.1823,5.90884,1,19.883,6.05852,2,19.883,6.05852,0,19.9785,6.01077,0,19.9785,6.01077,0,20.3264,5.83682,0,20.3264,5.83682,0,20.3525,5.82377,0,20.3525,5.82377,0,20.9971,5.50143,0,20.9971,5.50143,0,21.271,5.36452,0,21.271,5.36452,0,21.6114,5.19428,0,21.2698,5.36508,0,21.1694,5.41528,0,20.8948,5.55262,0,19.2126,6.3937,0,18.8769,6.56154,0,18.8769,6.56154,0,18.6739,6.66307,0,18.6738,6.66308,0,18.6396,6.68022,0,18.6396,6.68021,0,18.8247,6.58764,1,18.8247,6.58767,2,19.3024,6.34882,0,19.3024,6.3488,1,20.1824,5.90882,2,20.1823,5.90886
15.5,0,20.1823,5.90883,1,19.883,6.05852,2,19.883,6.05852,0,19.9785,6.01076,0,19.9785,6.01076,0,20.3264,5.83682,0,20.3264,5.83682,0,20.3525,5.82377,0,20.3525,5.82377,0,20.9971,5.50143,0,20.9971,5.50143,0,21.271,5.36452,0,21.271,5.36452,0,21.6114,5.19428,0,21.2698,5.36508,0,21.1695,5.41527,0,20.8948,5.55261,0,19.2126,6.39371,0,18.8769,6.56155,0,18.8769,6.56154,0,18.6739,6.66307,0,18.6738,6.66309,0,18.6395,6.68023,0,18.6396,6.68022,0,18.8247,6.58765,1,18.8247,6.58767,2,19.3023,6.34883,0,19.3024,6.34881,1,20.1823,5.90883,2,20.1823,5.90887
20.5,0,20.322,5.839,1,19.9695,6.01526,2,20.0062,5.99689,0,20.0795,5.96027,0,20.0836,5.95821,0,20.43,5.785,0,20.4156,5.7922,0,20.4615,5.76927,0,20.4181,5.79097,0,21.1076,5.44618,0,21.0524,5.4738,0,21.377,5.3115,0,21.3089,5.34556,0,21.7091,5.14547,0,21.2952,5.35242,0,21.2503,5.37485,0,20.9035,5.54827,0,19.2308,6.38462,0,18.8769,6.56155,0,18.8865,6.55676,0,18.6738,6.66308,0,18.6746,6.6627,0,18.6395,6.68024,0,18.6396,6.68018,0,18.8247,6.58765,1,18.8247,6.58766,2,19.3023,6.34884,0,19.3024,6.3488,1,20.1823,5.90883,2,20.1823,5.90886
25.5,0,20.4439,5.77807,1,20.223,5.88848,2,20.1925,5.90377,0,20.2575,5.87124,0,19.7777,6.11116,0,20.1222,5.9389,0,20.169,5.9155,0,20.1159,5.94207,0,20.7244,5.63781,0,20.7479,5.62605,0,20.923,5.5385,0,21.0176,5.49121,0,21.2336,5.38318,0,21.3668,5.31661,0,21.2574,5.37129,0,21.409,5.29551,0,20.9041,5.54793,0,20.4479,5.77604,0,18.8769,6.56154,0,19.6143,6.19284,0,18.6738,6.66309,0,19.528,6.23598,0,18.6396,6.68022,0,18.6393,6.68035,0,18.8247,6.58767,1,18.8247,6.58767,2,19.3024,6.34881,0,19.3024,6.34879,1,20.1823,5.90887,2,20.1823,5.90885
30.5,0,20.762,5.619,1,20.7528,5.62359,2,20.2496,5.87521,0,20.9421,5.52895,0,20.1582,5.92092,0,21.1492,5.42538,0,20.3507,5.82465,0,21.7463,5.12685,0,20.2165,5.89174,0,21.993,5.00351,0,20.7592,5.6204,0,22.1923,4.90387,0,20.9153,5.54234,0,21.5351,5.23244,0,20.7726,5.6137,0,19.2262,6.38692,0,20.8151,5.59247,0,18.5202,6.73988,0,19.671,6.16451,0,18.8079,6.59604,0,18.6738,6.66308,0,18.4545,6.77277,0,18.6396,6.68021,0,18.3465,6.82673,0,18.8247,6.58767,1,19.5806,6.20968,2,19.3024,6.3488,0,20.1429,5.92857,1,20.1824,5.9088,2,21.1002,5.44988
35.5,0,19.9216,6.03918,1,19.5129,6.24357,2,19.774,6.113,0,19.5383,6.23087,0,20.0018,5.9991,0,19.7473,6.12633,0,20.4617,5.76916,0,19.634,6.183,0,20.5962,5.70188,0,20.2569,5.87155,0,21.3159,5.34205,0,20.4896,5.75518,0,21.6639,5.16807,0,21.324,5.33801,0,21.3086,5.34569,0,21.3288,5.33559,0,20.3724,5.81378,0,21.0791,5.46044,0,18.8769,6.56154,0,19.4537,6.27317,0,18.6738,6.66309,0,19.4808,6.25961,0,18.6396,6.68022,0,19.6915,6.15425,0,18.8247,6.58767,1,19.0419,6.47903,2,19.3024,6.34881,0,19.4799,6.26003,1,20.1823,5.90887,2,20.2936,5.85321
40.5,0,20.4902,5.75489,1,20.4664,5.76682,2,20.0936,5.95319,0,20.1965,5.90175,0,20.3418,5.8291,0,20.3666,5.8167,0,20.5469,5.72657,0,21.0458,5.47711,0,21.019,5.49051,0,21.1823,5.40884,0,21.1426,5.42868,0,21.4377,5.28116,0,21.3836,5.30821,0,21.7241,5.13796,0,21.351,5.32451,0,20.5383,5.73083,0,20.3637,5.81813,0,19.4588,6.27058,0,19.2742,6.3629,0,18.975,6.5125,0,17.7353,7.13237,0,18.6428,6.67858,0,18.4854,6.7573,0,18.5397,6.73015,0,18.6262,6.68688,1,18.7321,6.63393,2,19.0587,6.47066,0,19.2184,6.3908,1,19.8859,6.05703,2,20.1009,5.94953
45.5,0,19.9838,6.00808,1,19.2773,6.36134,2,18.8005,6.59973,0,20.6943,5.65286,0,20.5569,5.72153,0,21.9574,5.02129,0,19.9866,6.0067,0,21.223,5.3885,0,20.1252,5.93741,0,21.0346,5.48272,0,20.8194,5.5903,0,22.0396,4.98022,0,21.3661,5.31697,0,22.8344,4.58279,0,19.3164,6.3418,0,19.3152,6.34238,0,22.1668,4.91661,0,18.8255,6.58724,0,20.0246,5.98769,0,18.8559,6.57207,0,19.7012,6.14939,0,18.0734,6.96332,0,19.7277,6.13614,0,18.8355,6.58223,0,17.8858,7.0571,1,17.9583,7.02083,2,18.0987,6.95065,0,18.2467,6.87666,1,18.7515,6.62424,2,18.9268,6.53659
