FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1110,0,100%
2,0,15,1110,1055,4.95495%
3,1,2,1109,0,100%
4,1,16,1109,0,100%
5,2,3,1108,0,100%
6,2,17,1108,0,100%
7,3,4,1107,1107,0%
8,3,18,1107,1107,0%
9,4,5,1105,1105,0%
10,4,19,1105,1105,0%
11,5,6,1104,1104,0%
12,5,20,1104,1104,0%
13,6,7,1103,1103,0%
14,6,21,1103,1103,0%
15,7,8,1102,1099,0.272232%
16,7,22,1102,1083,1.72414%
17,8,9,1101,1101,0%
18,8,23,1101,1101,0%
19,9,10,1099,1039,5.45951%
20,9,24,1099,1099,0%
21,10,11,1098,1038,5.46448%
22,10,25,1098,0,100%
23,11,12,1097,1042,5.01367%
24,11,26,1097,0,100%
25,12,13,1096,1035,5.56569%
26,12,27,1096,1034,5.65693%
27,13,14,1094,1094,0%
28,13,28,1094,0,100%
29,14,15,1093,1037,5.12351%
30,14,29,1093,0,100%
31,15,16,1092,1032,5.49451%
32,15,0,1092,1032,5.49451%
33,16,17,1091,1091,0%
34,16,1,1091,0,100%
35,17,18,1090,1090,0%
36,17,2,1090,0,100%
37,18,19,1088,1088,0%
38,18,3,1088,1088,0%
39,19,20,1087,1087,0%
40,19,4,1087,1087,0%
41,20,21,1086,1052,3.13076%
42,20,5,1086,1086,0%
43,21,22,1085,1066,1.75115%
44,21,6,1085,1058,2.48848%
45,22,23,1083,1065,1.66205%
46,22,7,1083,1065,1.66205%
47,23,24,1082,1082,0%
48,23,8,1082,1082,0%
49,24,25,1081,0,100%
50,24,9,1081,1059,2.03515%
51,25,26,1080,0,100%
52,25,10,1080,0,100%
53,26,27,1079,0,100%
54,26,11,1079,0,100%
55,27,28,1077,0,100%
56,27,12,1077,1022,5.10678%
57,28,29,1076,0,100%
58,28,13,1076,0,100%
59,29,0,1075,0,100%
60,29,14,1075,0,100%
