time,nodeId,x,y,z
0,0,3.863,3.863,30
0,1,-13.108,3.863,30
0,2,3.863,-13.108,30
0,3,-30.079,3.863,30
0,4,3.863,-30.079,30
0,5,-47.049,3.863,30
0,6,3.863,-47.049,30
0,7,-64.02,3.863,30
0,8,3.863,-64.02,30
0,9,-80.99,3.863,30
0,10,3.863,-80.99,30
0,11,-97.961,3.863,30
0,12,3.863,-97.961,30
0,13,-114.931,3.863,30
0,14,3.863,-114.931,30
0,15,-131.902,3.863,30
0,16,3.863,-131.902,30
0,17,-148.872,3.863,30
0,18,3.863,-148.872,30
0,19,-165.843,3.863,30
0,20,3.863,-165.843,30
0,21,-182.814,3.863,30
0,22,3.863,-182.814,30
0,23,-199.784,3.863,30
0,24,3.863,-199.784,30
0,25,-216.755,3.863,30
0,26,3.863,-216.755,30
0,27,-233.725,3.863,30
0,28,3.863,-233.725,30
0,29,-250.696,3.863,30
0.2,0,5.8682,5.8682,30
0.2,1,-11.1028,5.8682,30
0.2,2,5.8682,-11.1028,30
0.2,3,-28.0738,5.8682,30
0.2,4,5.8682,-28.0738,30
0.2,5,-45.0438,5.8682,30
0.2,6,5.8682,-45.0438,30
0.2,7,-62.0148,5.8682,30
0.2,8,5.8682,-62.0148,30
0.2,9,-78.9848,5.8682,30
0.2,10,5.8682,-78.9848,30
0.2,11,-95.9558,5.8682,30
0.2,12,5.8682,-95.9558,30
0.2,13,-112.926,5.8682,30
0.2,14,5.8682,-112.926,30
0.2,15,-129.897,5.8682,30
0.2,16,5.8682,-129.897,30
0.2,17,-146.867,5.8682,30
0.2,18,5.8682,-146.867,30
0.2,19,-163.838,5.8682,30
0.2,20,5.8682,-163.838,30
0.2,21,-180.809,5.8682,30
0.2,22,5.8682,-180.809,30
0.2,23,-197.779,5.8682,30
0.2,24,5.8682,-197.779,30
0.2,25,-214.75,5.8682,30
0.2,26,5.8682,-214.75,30
0.2,27,-231.72,5.8682,30
0.2,28,5.8682,-231.72,30
0.2,29,-248.691,5.8682,30
0.4,0,7.8734,7.8734,30
0.4,1,-9.0976,7.8734,30
0.4,2,7.8734,-9.0976,30
0.4,3,-26.0686,7.8734,30
0.4,4,7.8734,-26.0686,30
0.4,5,-43.0386,7.8734,30
0.4,6,7.8734,-43.0386,30
0.4,7,-60.0096,7.8734,30
0.4,8,7.8734,-60.0096,30
0.4,9,-76.9796,7.8734,30
0.4,10,7.8734,-76.9796,30
0.4,11,-93.9506,7.8734,30
0.4,12,7.8734,-93.9506,30
0.4,13,-110.921,7.8734,30
0.4,14,7.8734,-110.921,30
0.4,15,-127.892,7.8734,30
0.4,16,7.8734,-127.892,30
0.4,17,-144.862,7.8734,30
0.4,18,7.8734,-144.862,30
0.4,19,-161.833,7.8734,30
0.4,20,7.8734,-161.833,30
0.4,21,-178.804,7.8734,30
0.4,22,7.8734,-178.804,30
0.4,23,-195.774,7.8734,30
0.4,24,7.8734,-195.774,30
0.4,25,-212.745,7.8734,30
0.4,26,7.8734,-212.745,30
0.4,27,-229.715,7.8734,30
0.4,28,7.8734,-229.715,30
0.4,29,-246.686,7.8734,30
0.6,0,9.9366,9.9366,30
0.6,1,-7.0344,9.9366,30
0.6,2,9.9366,-7.0344,30
0.6,3,-24.0052,9.9366,30
0.6,4,9.9366,-24.0052,30
0.6,5,-40.9754,9.9366,30
0.6,6,9.9366,-40.9754,30
0.6,7,-57.9462,9.9366,30
0.6,8,9.9366,-57.9462,30
0.6,9,-74.9164,9.9366,30
0.6,10,9.9366,-74.9164,30
0.6,11,-91.8874,9.9366,30
0.6,12,9.9366,-91.8874,30
0.6,13,-108.857,9.9366,30
0.6,14,9.9366,-108.857,30
0.6,15,-125.828,9.9366,30
0.6,16,9.9366,-125.828,30
0.6,17,-142.799,9.9366,30
0.6,18,9.9366,-142.799,30
0.6,19,-159.769,9.9366,30
0.6,20,9.9366,-159.769,30
0.6,21,-176.74,9.9366,30
0.6,22,9.9366,-176.74,30
0.6,23,-193.71,9.9366,30
0.6,24,9.9366,-193.71,30
0.6,25,-210.681,9.9366,30
0.6,26,9.9366,-210.681,30
0.6,27,-227.651,9.9366,30
0.6,28,9.9366,-227.651,30
0.6,29,-244.622,9.9366,30
0.8,0,12.0578,12.0578,30
0.8,1,-4.9132,12.0578,30
0.8,2,12.0578,-4.9132,30
0.8,3,-21.8836,12.0578,30
0.8,4,12.0578,-21.8836,30
0.8,5,-38.8542,12.0578,30
0.8,6,12.0578,-38.8542,30
0.8,7,-55.8246,12.0578,30
0.8,8,12.0578,-55.8246,30
0.8,9,-72.7952,12.0578,30
0.8,10,12.0578,-72.7952,30
0.8,11,-89.7662,12.0578,30
0.8,12,12.0578,-89.7662,30
0.8,13,-106.736,12.0578,30
0.8,14,12.0578,-106.736,30
0.8,15,-123.707,12.0578,30
0.8,16,12.0578,-123.707,30
0.8,17,-140.678,12.0578,30
0.8,18,12.0578,-140.678,30
0.8,19,-157.648,12.0578,30
0.8,20,12.0578,-157.648,30
0.8,21,-174.619,12.0578,30
0.8,22,12.0578,-174.619,30
0.8,23,-191.589,12.0578,30
0.8,24,12.0578,-191.589,30
0.8,25,-208.56,12.0578,30
0.8,26,12.0578,-208.56,30
0.8,27,-225.53,12.0578,30
0.8,28,12.0578,-225.53,30
0.8,29,-242.501,12.0578,30
1,0,14.179,14.179,30
1,1,-2.792,14.179,30
1,2,14.179,-2.792,30
1,3,-19.762,14.179,30
1,4,14.179,-19.762,30
1,5,-36.733,14.179,30
1,6,14.179,-36.733,30
1,7,-53.703,14.179,30
1,8,14.179,-53.703,30
1,9,-70.674,14.179,30
1,10,14.179,-70.674,30
1,11,-87.645,14.179,30
1,12,14.179,-87.645,30
1,13,-104.615,14.179,30
1,14,14.179,-104.615,30
1,15,-121.586,14.179,30
1,16,14.179,-121.586,30
1,17,-138.556,14.179,30
1,18,14.179,-138.556,30
1,19,-155.527,14.179,30
1,20,14.179,-155.527,30
1,21,-172.497,14.179,30
1,22,14.179,-172.497,30
1,23,-189.468,14.179,30
1,24,14.179,-189.468,30
1,25,-206.438,14.179,30
1,26,14.179,-206.438,30
1,27,-223.409,14.179,30
1,28,14.179,-223.409,30
1,29,-240.38,14.179,30
1.2,0,16.3002,16.3002,30
1.2,1,-0.6704,16.3002,30
1.2,2,16.3002,-0.6704,30
1.2,3,-17.6408,16.3002,30
1.2,4,16.3002,-17.6408,30
1.2,5,-34.6118,16.3002,30
1.2,6,16.3002,-34.6118,30
1.2,7,-51.5818,16.3002,30
1.2,8,16.3002,-51.5818,30
1.2,9,-68.5528,16.3002,30
1.2,10,16.3002,-68.5528,30
1.2,11,-85.5234,16.3002,30
1.2,12,16.3002,-85.5234,30
1.2,13,-102.494,16.3002,30
1.2,14,16.3002,-102.494,30
1.2,15,-119.464,16.3002,30
1.2,16,16.3002,-119.464,30
1.2,17,-136.435,16.3002,30
1.2,18,16.3002,-136.435,30
1.2,19,-153.406,16.3002,30
1.2,20,16.3002,-153.406,30
1.2,21,-170.376,16.3002,30
1.2,22,16.3002,-170.376,30
1.2,23,-187.347,16.3002,30
1.2,24,16.3002,-187.347,30
1.2,25,-204.317,16.3002,30
1.2,26,16.3002,-204.317,30
1.2,27,-221.288,16.3002,30
1.2,28,16.3002,-221.288,30
1.2,29,-238.258,16.3002,30
1.4,0,18.4214,18.4214,30
1.4,1,1.4512,18.4214,30
1.4,2,18.4214,1.4512,30
1.4,3,-15.5196,18.4214,30
1.4,4,18.4214,-15.5196,30
1.4,5,-32.4906,18.4214,30
1.4,6,18.4214,-32.4906,30
1.4,7,-49.4606,18.4214,30
1.4,8,18.4214,-49.4606,30
1.4,9,-66.4316,18.4214,30
1.4,10,18.4214,-66.4316,30
1.4,11,-83.4018,18.4214,30
1.4,12,18.4214,-83.4018,30
1.4,13,-100.373,18.4214,30
1.4,14,18.4214,-100.373,30
1.4,15,-117.343,18.4214,30
1.4,16,18.4214,-117.343,30
1.4,17,-134.314,18.4214,30
1.4,18,18.4214,-134.314,30
1.4,19,-151.285,18.4214,30
1.4,20,18.4214,-151.285,30
1.4,21,-168.255,18.4214,30
1.4,22,18.4214,-168.255,30
1.4,23,-185.226,18.4214,30
1.4,24,18.4214,-185.226,30
1.4,25,-202.196,18.4214,30
1.4,26,18.4214,-202.196,30
1.4,27,-219.167,18.4214,30
1.4,28,18.4214,-219.167,30
1.4,29,-236.137,18.4214,30
1.6,0,20.5426,20.5426,30
1.6,1,3.5726,20.5426,30
1.6,2,20.5426,3.5726,30
1.6,3,-13.3984,20.5426,30
1.6,4,20.5426,-13.3984,30
1.6,5,-30.3692,20.5426,30
1.6,6,20.5426,-30.3692,30
1.6,7,-47.3394,20.5426,30
1.6,8,20.5426,-47.3394,30
1.6,9,-64.3102,20.5426,30
1.6,10,20.5426,-64.3102,30
1.6,11,-81.2804,20.5426,30
1.6,12,20.5426,-81.2804,30
1.6,13,-98.2514,20.5426,30
1.6,14,20.5426,-98.2514,30
1.6,15,-115.221,20.5426,30
1.6,16,20.5426,-115.221,30
1.6,17,-132.192,20.5426,30
1.6,18,20.5426,-132.192,30
1.6,19,-149.163,20.5426,30
1.6,20,20.5426,-149.163,30
1.6,21,-166.133,20.5426,30
1.6,22,20.5426,-166.133,30
1.6,23,-183.104,20.5426,30
1.6,24,20.5426,-183.104,30
1.6,25,-200.074,20.5426,30
1.6,26,20.5426,-200.074,30
1.6,27,-217.045,20.5426,30
1.6,28,20.5426,-217.045,30
1.6,29,-234.015,20.5426,30
1.8,0,22.6638,22.6638,30
1.8,1,5.6938,22.6638,30
1.8,2,22.6638,5.6938,30
1.8,3,-11.2772,22.6638,30
1.8,4,22.6638,-11.2772,30
1.8,5,-28.2476,22.6638,30
1.8,6,22.6638,-28.2476,30
1.8,7,-45.2182,22.6638,30
1.8,8,22.6638,-45.2182,30
1.8,9,-62.1886,22.6638,30
1.8,10,22.6638,-62.1886,30
1.8,11,-79.1592,22.6638,30
1.8,12,22.6638,-79.1592,30
1.8,13,-96.1302,22.6638,30
1.8,14,22.6638,-96.1302,30
1.8,15,-113.1,22.6638,30
1.8,16,22.6638,-113.1,30
1.8,17,-130.071,22.6638,30
1.8,18,22.6638,-130.071,30
1.8,19,-147.042,22.6638,30
1.8,20,22.6638,-147.042,30
1.8,21,-164.012,22.6638,30
1.8,22,22.6638,-164.012,30
1.8,23,-180.983,22.6638,30
1.8,24,22.6638,-180.983,30
1.8,25,-197.953,22.6638,30
1.8,26,22.6638,-197.953,30
1.8,27,-214.924,22.6638,30
1.8,28,22.6638,-214.924,30
1.8,29,-231.894,22.6638,30
2,0,24.785,24.785,30
2,1,7.815,24.785,30
2,2,24.785,7.815,30
2,3,-9.156,24.785,30
2,4,24.785,-9.156,30
2,5,-26.126,24.785,30
2,6,24.785,-26.126,30
2,7,-43.097,24.785,30
2,8,24.785,-43.097,30
2,9,-60.067,24.785,30
2,10,24.785,-60.067,30
2,11,-77.038,24.785,30
2,12,24.785,-77.038,30
2,13,-94.009,24.785,30
2,14,24.785,-94.009,30
2,15,-110.979,24.785,30
2,16,24.785,-110.979,30
2,17,-127.95,24.785,30
2,18,24.785,-127.95,30
2,19,-144.92,24.785,30
2,20,24.785,-144.92,30
2,21,-161.891,24.785,30
2,22,24.785,-161.891,30
2,23,-178.861,24.785,30
2,24,24.785,-178.861,30
