time,nodeId,eventType
1.44576,2,Tx Data
1.58192,5,Tx Data
1.6096,2,Tx Data
1.66703,20,Rx Data
1.6899,21,Rx Data
1.75536,1,Tx Data
1.76384,6,Tx Data
1.77344,2,Tx Data
1.82768,5,Tx Data
1.84727,7,Rx Data
1.87344,3,Tx Data
1.88192,8,Tx Data
1.92919,7,Rx Data
1.97495,5,Rx Data
2.0096,6,Tx Data
2.02768,7,Tx Data
2.02919,8,Rx Data
2.06535,10,Rx Data
2.08304,1,Tx Data
2.08481,11,Rx Data
2.1192,3,Tx Data
2.12071,4,Rx Data
2.12236,18,Rx Data
2.13079,23,Rx Data
2.14689,0,Tx Data
2.15846,20,Rx Data
2.22919,10,Rx Data
2.24689,1,Tx Data
2.25536,6,Tx Data
2.25853,21,Rx Data
2.26384,11,Tx Data
2.27666,22,Rx Data
2.28455,4,Rx Data
2.33879,7,Rx Data
2.35536,7,Tx Data
2.37344,8,Tx Data
2.37665,23,Rx Data
2.38833,14,Rx Data
2.39152,9,Tx Data
2.39152,9,Tx Data
2.40263,6,Rx Data
2.41073,1,Tx Data
2.4192,6,Tx Data
2.43728,7,Tx Data
2.44689,3,Tx Data
2.47457,0,Tx Data
2.48304,5,Tx Data
2.49152,10,Tx Data
2.49265,1,Tx Data
2.49303,11,Rx Data
2.52071,8,Rx Data
2.53407,18,Rx Data
2.57344,10,Tx Data
2.59152,11,Tx Data
2.59303,12,Rx Data
2.63841,0,Tx Data
2.65687,11,Rx Data
2.66497,6,Tx Data
2.68304,7,Tx Data
2.69185,17,Rx Data
2.75649,2,Tx Data
2.76384,16,Tx Data
2.77817,18,Rx Data
2.78192,17,Tx Data
2.79467,5,Rx Data
2.80225,0,Tx Data
2.81428,20,Rx Data
2.84689,7,Tx Data
2.86497,8,Tx Data
2.87495,14,Rx Data
2.88387,19,Rx Data
2.88417,0,Tx Data
2.8887,24,Rx Data
2.89152,14,Tx Data
2.95063,23,Rx Data
2.98192,19,Tx Data
2.98304,10,Tx Data
2.98417,1,Tx Data
2.99088,20,Rx Data
2.99265,6,Tx Data
3.0096,16,Tx Data
3.01073,7,Tx Data
3.01269,8,Rx Data
3.0192,12,Tx Data
3.02033,3,Tx Data
3.04884,3,Rx Data
3.0585,6,Rx Data
3.06609,1,Tx Data
3.07344,15,Tx Data
3.08192,20,Tx Data
3.12228,5,Rx Data
3.12994,0,Tx Data
3.14576,19,Tx Data
3.14802,1,Tx Data
3.17457,7,Tx Data
3.18192,21,Tx Data
3.18775,27,Rx Data
3.22033,5,Tx Data
3.24802,2,Tx Data
3.24892,12,Rx Data
3.26022,22,Rx Data
3.28738,14,Rx Data
3.3192,15,Tx Data
3.33841,7,Tx Data
3.34802,3,Tx Data
3.35212,18,Rx Data
3.35536,17,Tx Data
3.3757,0,Tx Data
3.38417,5,Tx Data
3.38455,15,Rx Data
3.39188,8,Rx Data
3.39511,4,Rx Data
3.40112,15,Tx Data
3.42235,8,Rx Data
3.46333,24,Rx Data
3.46384,23,Tx Data
3.47344,19,Tx Data
3.4757,1,Tx Data
3.4757,1,Tx Data
3.47821,11,Rx Data
3.48304,15,Tx Data
3.48796,0,Rx Data
3.49378,2,Tx Data
3.51073,12,Tx Data
3.51111,22,Rx Data
3.52919,23,Rx Data
3.53087,14,Rx Data
3.53954,0,Tx Data
3.56815,0,Rx Data
3.57457,11,Tx Data
3.59465,13,Rx Data
3.62071,19,Rx Data
3.62768,23,Tx Data
3.62881,14,Tx Data
3.62994,5,Tx Data
3.63728,19,Tx Data
3.63841,10,Tx Data
3.64576,24,Tx Data
3.64689,15,Tx Data
3.65167,7,Rx Data
3.68192,26,Tx Data
3.68192,26,Tx Data
3.70112,18,Tx Data
3.70263,19,Rx Data
3.70426,10,Rx Data
3.7096,23,Tx Data
3.71073,14,Tx Data
3.72146,1,Tx Data
3.72234,11,Rx Data
3.74039,12,Rx Data
3.75536,21,Tx Data
3.75762,3,Tx Data
3.75762,3,Tx Data
3.77344,22,Tx Data
3.77495,23,Rx Data
3.77973,5,Rx Data
3.78136,19,Rx Data
3.79265,14,Tx Data
3.80225,10,Tx Data
3.81073,15,Tx Data
3.84576,26,Tx Data
3.86497,18,Tx Data
3.88647,4,Rx Data
3.89378,6,Tx Data
3.91563,22,Rx Data
3.92235,13,Rx Data
3.92559,4,Rx Data
3.93841,13,Tx Data
3.94576,27,Tx Data
3.9554,24,Rx Data
3.95649,14,Tx Data
3.95702,24,Rx Data
3.96018,6,Rx Data
3.96182,8,Rx Data
3.9757,6,Tx Data
3.97767,0,Rx Data
3.98192,29,Tx Data
3.98417,11,Tx Data
3.99378,7,Tx Data
3.99378,7,Tx Data
3.99416,17,Rx Data
4.00338,3,Tx Data
4.00428,13,Rx Data
4.01073,17,Tx Data
4.02551,5,Rx Data
4.02768,27,Tx Data
4.04689,19,Tx Data
4.0484,20,Rx Data
4.04914,1,Tx Data
4.05762,6,Tx Data
4.08304,21,Tx Data
4.09416,18,Rx Data
4.10421,7,Rx Data
4.10903,19,Rx Data
4.11299,0,Tx Data
4.11442,10,Rx Data
4.12732,20,Rx Data
4.13198,4,Rx Data
4.14914,2,Tx Data
4.15001,12,Rx Data
4.1714,27,Rx Data
4.17457,17,Tx Data
4.18455,23,Rx Data
4.19378,9,Tx Data
4.20752,6,Rx Data
4.2096,28,Tx Data
4.22768,29,Tx Data
4.232,12,Rx Data
4.23841,16,Tx Data
4.24161,8,Rx Data
4.24325,22,Rx Data
4.25536,26,Tx Data
4.25762,8,Tx Data
4.26809,14,Rx Data
4.2757,9,Tx Data
4.28417,14,Tx Data
4.2853,5,Tx Data
4.29281,20,Rx Data
4.29774,4,Rx Data
4.30338,6,Tx Data
4.3096,29,Tx Data
4.3192,25,Tx Data
4.32146,7,Tx Data
4.32354,8,Rx Data
4.33107,3,Tx Data
4.33363,27,Rx Data
4.34156,9,Rx Data
4.34914,4,Tx Data
4.35875,0,Tx Data
4.3757,10,Tx Data
4.3853,6,Tx Data
4.38728,0,Rx Data
4.39265,20,Tx Data
4.39378,11,Tx Data
4.39491,2,Tx Data
4.40225,16,Tx Data
4.40338,7,Tx Data
4.40376,17,Rx Data
4.40543,8,Rx Data
4.40713,22,Rx Data
4.41186,12,Tx Data
4.41299,3,Tx Data
4.41549,27,Rx Data
4.4192,26,Tx Data
4.42033,17,Tx Data
4.42184,18,Rx Data
4.42881,22,Tx Data
4.43954,9,Tx Data
4.45875,1,Tx Data
4.46929,0,Rx Data
4.48417,16,Tx Data
4.49416,22,Rx Data
4.49744,27,Rx Data
4.50074,18,Rx Data
4.52259,0,Tx Data
4.52994,14,Tx Data
4.54689,24,Tx Data
4.55275,7,Rx Data
4.55762,11,Tx Data
4.55875,2,Tx Data
4.57457,21,Tx Data
4.5853,8,Tx Data
4.59491,4,Tx Data
4.59491,4,Tx Data
4.60225,18,Tx Data
4.62146,10,Tx Data
4.62146,10,Tx Data
4.62877,11,Rx Data
4.63954,11,Tx Data
4.64689,25,Tx Data
4.65971,13,Rx Data
4.66456,18,Rx Data
4.66609,17,Tx Data
4.66722,8,Tx Data
4.67457,22,Tx Data
4.6853,9,Tx Data
4.691,24,Rx Data
4.69889,15,Rx Data
4.70451,1,Tx Data
4.70537,11,Rx Data
4.72994,16,Tx Data
4.73481,22,Rx Data
4.74067,3,Tx Data
4.74802,17,Tx Data
4.75649,22,Tx Data
4.76805,19,Rx Data
4.77453,24,Rx Data
4.77785,15,Rx Data
4.78267,20,Rx Data
4.78304,28,Tx Data
4.79265,24,Tx Data
4.79265,24,Tx Data
4.79378,15,Tx Data
4.79491,6,Tx Data
4.79856,7,Rx Data
4.80112,29,Tx Data
4.80543,12,Rx Data
4.81299,7,Tx Data
4.82033,21,Tx Data
4.82994,17,Tx Data
4.84802,18,Tx Data
4.84914,9,Tx Data
4.85649,23,Tx Data
4.86901,20,Rx Data
4.87457,24,Tx Data
4.87683,6,Tx Data
4.88041,0,Rx Data
4.89378,16,Tx Data
4.90338,12,Tx Data
4.91073,26,Tx Data
4.91186,17,Tx Data
4.92184,23,Rx Data
4.94067,5,Tx Data
4.95111,11,Rx Data
4.95875,6,Tx Data
4.96402,21,Rx Data
4.98417,21,Tx Data
4.98895,4,Rx Data
5.00533,7,Rx Data
5.01073,27,Tx Data
5.01299,9,Tx Data
5.01395,19,Rx Data
5.02033,23,Tx Data
5.02994,19,Tx Data
5.03219,1,Tx Data
5.05119,12,Rx Data
5.05875,7,Tx Data
5.09265,27,Tx Data
5.09378,18,Tx Data
5.09416,12,Rx Data
5.10225,23,Tx Data
5.10247,15,Rx Data
5.10732,15,Rx Data
5.11299,10,Tx Data
5.1155,11,Rx Data
5.12146,15,Tx Data
5.12618,7,Rx Data
5.12881,29,Tx Data
5.13841,25,Tx Data
5.15875,8,Tx Data
5.16609,22,Tx Data
5.16835,4,Tx Data
5.17796,0,Tx Data
5.17796,0,Tx Data
5.18417,23,Tx Data
5.19604,1,Tx Data
5.20558,16,Rx Data
5.22994,21,Tx Data
5.23145,22,Rx Data
5.23958,6,Rx Data
5.24122,18,Rx Data
5.24802,22,Tx Data
5.24914,13,Tx Data
5.25875,9,Tx Data
5.27683,10,Tx Data
5.27683,10,Tx Data
5.29378,20,Tx Data
5.31651,4,Rx Data
5.32146,17,Tx Data
5.33619,19,Rx Data
5.34914,14,Tx Data
5.35027,5,Tx Data
5.35612,20,Rx Data
5.35649,28,Tx Data
5.35762,19,Tx Data
5.3624,11,Rx Data
5.3757,20,Tx Data
5.37683,11,Tx Data
5.38417,25,Tx Data
5.38848,8,Rx Data
5.39491,12,Tx Data
5.40018,13,Rx Data
5.40451,8,Tx Data
5.40976,18,Rx Data
5.41412,4,Tx Data
5.42259,9,Tx Data
5.42372,0,Tx Data
5.42994,23,Tx Data
5.43107,14,Tx Data
5.44604,11,Rx Data
5.44914,15,Tx Data
5.46722,16,Tx Data
5.46722,16,Tx Data
5.4757,21,Tx Data
5.50564,0,Tx Data
5.50866,3,Rx Data
5.51412,5,Tx Data
5.53306,16,Rx Data
5.53954,20,Tx Data
5.54067,11,Tx Data
5.55875,12,Tx Data
5.57683,13,Tx Data
5.5853,18,Tx Data
5.59322,3,Rx Data
5.59378,23,Tx Data
5.60225,28,Tx Data
5.61186,24,Tx Data
5.61299,15,Tx Data
5.61412,6,Tx Data
5.61995,0,Rx Data
5.6418,3,Tx Data
5.64914,17,Tx Data
5.65027,8,Tx Data
5.65073,18,Rx Data
5.65913,23,Rx Data
5.65988,4,Tx Data
5.66732,14,Rx Data
5.67528,24,Rx Data
5.6853,19,Tx Data
5.68756,1,Tx Data
5.70489,5,Rx Data
5.71299,16,Tx Data
5.7145,17,Rx Data
5.71772,22,Rx Data
5.72372,3,Tx Data
5.75027,9,Tx Data
5.75762,23,Tx Data
5.75988,5,Tx Data
5.75988,5,Tx Data
5.78044,7,Rx Data
5.78847,12,Rx Data
5.79378,25,Tx Data
5.80649,13,Rx Data
5.81186,26,Tx Data
5.83953,24,Rx Data
5.8418,5,Tx Data
5.84802,28,Tx Data
5.85762,24,Tx Data
5.85913,9,Rx Data
5.86393,7,Rx Data
5.86948,2,Tx Data
5.8853,21,Tx Data
