time,num_links,connectivity
time,num_links,connectivity
2,228,0.524138
4,228,0.524138
6,228,0.524138
8,228,0.524138
10,228,0.524138
12,228,0.524138
14,228,0.524138
16,228,0.524138
18,228,0.524138
20,228,0.524138
22,228,0.524138
24,228,0.524138
26,233,0.535632
28,233,0.535632
30,233,0.535632
32,223,0.512644
34,223,0.512644
36,237,0.544828
38,237,0.544828
40,237,0.544828
42,220,0.505747
44,220,0.505747
46,226,0.51954
48,226,0.51954
50,226,0.51954
52,227,0.521839
54,227,0.521839
56,221,0.508046
58,221,0.508046
60,221,0.508046
62,228,0.524138
64,228,0.524138
66,205,0.471264
68,205,0.471264
70,205,0.471264
72,217,0.498851
74,217,0.498851
76,229,0.526437
78,229,0.526437
80,229,0.526437
82,224,0.514943
84,224,0.514943
86,221,0.508046
88,221,0.508046
90,221,0.508046
