time,num_nodes,num_links,avg_degree,network_density
2,30,228,15.2,0.524138
4,30,228,15.2,0.524138
6,30,228,15.2,0.524138
8,30,228,15.2,0.524138
10,30,228,15.2,0.524138
12,30,228,15.2,0.524138
14,30,228,15.2,0.524138
16,30,228,15.2,0.524138
18,30,228,15.2,0.524138
20,30,228,15.2,0.524138
22,30,228,15.2,0.524138
24,30,228,15.2,0.524138
26,30,233,15.5333,0.535632
28,30,233,15.5333,0.535632
30,30,233,15.5333,0.535632
32,30,223,14.8667,0.512644
34,30,223,14.8667,0.512644
36,30,237,15.8,0.544828
38,30,237,15.8,0.544828
40,30,237,15.8,0.544828
42,30,220,14.6667,0.505747
44,30,220,14.6667,0.505747
46,30,226,15.0667,0.51954
48,30,226,15.0667,0.51954
50,30,226,15.0667,0.51954
52,30,227,15.1333,0.521839
54,30,227,15.1333,0.521839
56,30,221,14.7333,0.508046
58,30,221,14.7333,0.508046
60,30,221,14.7333,0.508046
62,30,228,15.2,0.524138
64,30,228,15.2,0.524138
66,30,205,13.6667,0.471264
68,30,205,13.6667,0.471264
70,30,205,13.6667,0.471264
72,30,217,14.4667,0.498851
74,30,217,14.4667,0.498851
76,30,229,15.2667,0.526437
78,30,229,15.2667,0.526437
80,30,229,15.2667,0.526437
82,30,224,14.9333,0.514943
84,30,224,14.9333,0.514943
86,30,221,14.7333,0.508046
88,30,221,14.7333,0.508046
90,30,221,14.7333,0.508046
