time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,19.0506,6.4747,0,18.2731,6.86345,0,18.272,6.86398,0,18.1025,6.94877,0,18.1002,6.9499,0,18.4311,6.78443,0,18.4306,6.78472,0,19.1945,6.40274,0,19.2005,6.39973,0,20.3673,5.81637,0,20.3738,5.8131,2,21.2452,5.37739,1,21.244,5.37798,1,22.5664,4.71679,2,22.5612,4.71942
5.2,0,19.03,6.485,0,18.2473,6.87636,0,18.2599,6.87004,0,18.0728,6.96358,0,18.0753,6.96233,0,18.3996,6.80018,0,18.4112,6.79439,0,19.1689,6.41554,0,19.1935,6.40326,0,20.3278,5.83609,0,20.3735,5.81326,2,21.1641,5.41793,1,21.2336,5.38322,1,22.4443,4.77786,2,22.5219,4.73904
10.2,0,19.0436,6.47819,0,18.2665,6.86677,0,18.2672,6.86642,0,18.0983,6.95087,0,18.1006,6.94969,0,18.4306,6.78471,0,18.4278,6.7861,0,19.2045,6.39775,0,19.1929,6.40353,0,20.3818,5.80909,0,20.3634,5.81832,2,21.2599,5.37004,1,21.2324,5.38379,1,22.5862,4.70689,2,22.5525,4.72376
15.2,0,19.0535,6.47327,0,18.2761,6.86197,0,18.2752,6.8624,0,18.1051,6.94743,0,18.1047,6.94766,0,18.4332,6.78339,0,18.4333,6.78334,0,19.2024,6.3988,0,19.2035,6.39826,0,20.3786,5.8107,0,20.38,5.81002,2,21.2505,5.37474,1,21.2528,5.37361,1,22.5668,4.7166,2,22.5705,4.71477
20.2,0,19.051,6.47451,0,18.2733,6.86334,0,18.2734,6.86332,0,18.1024,6.94878,0,18.1024,6.94882,0,18.431,6.78452,0,18.4311,6.78445,0,19.2007,6.39966,0,19.2011,6.39943,0,20.376,5.81199,0,20.3768,5.81159,2,21.247,5.3765,1,21.248,5.376,1,22.5626,4.71871,2,22.5638,4.7181
25.2,0,19.0367,6.48165,0,18.2668,6.86661,0,18.2497,6.87514,0,18.0923,6.95386,0,18.0719,6.96406,0,18.4189,6.79057,0,18.4142,6.79289,0,19.1875,6.40626,0,19.1984,6.40082,0,20.3622,5.81891,0,20.3736,5.8132,2,21.2318,5.38412,1,21.2448,5.37762,1,22.5462,4.7269,2,22.5608,4.7196
30.2,0,18.942,6.52901,0,18.1788,6.91059,0,17.9265,7.03673,0,17.9716,7.01422,0,17.8181,7.09097,0,18.2796,6.86021,0,18.2944,6.85278,0,19.0089,6.49556,0,19.2429,6.37856,0,20.142,5.929,0,20.4728,5.76362,2,20.9519,5.52404,1,21.3295,5.33523,1,22.2319,4.88404,2,22.7073,4.64635
35.2,0,16.5127,7.74364,0,16.3269,7.83657,0,16.6454,7.67729,0,16.1663,7.91683,0,15.935,8.0325,0,16.1447,7.92766,0,16.4235,7.78826,0,16.6016,7.69921,0,19.7977,6.10117,0,17.5603,7.21984,0,21.151,5.42452,2,18.8812,6.5594,1,21.6588,5.17059,0,20.6288,5.6856,0,22.2764,4.86178
40.2,0,14.8086,8.59569,0,14.5029,8.74856,0,14.3567,8.82166,0,14.3457,8.82714,0,14.4486,8.77571,0,14.2494,8.87528,0,14.7903,8.60486,0,14.4566,8.77168,0,16.6001,7.69996,0,14.7655,8.61726,0,21.4275,5.28624,2,14.7288,8.63561,1,21.2621,5.36897,0,14.9851,8.50747,0,21.7271,5.13646
45.2,0,14.726,8.63702,0,14.4388,8.78058,0,14.6058,8.69712,0,14.3911,8.80446,0,14.4087,8.79564,0,14.3364,8.83179,0,14.5011,8.74944,0,14.6184,8.69081,0,14.5756,8.7122,0,14.7083,8.64586,0,22.5215,4.73924,2,15.1344,8.43278,1,22.4777,4.76113,0,15.4819,8.25907,0,22.591,4.7045
50.2,0,15.1387,8.43067,0,14.8015,8.59926,0,14.8493,8.57535,0,14.7442,8.62792,0,14.7344,8.63279,0,14.7008,8.64962,0,14.8013,8.59937,0,14.9618,8.51911,0,15.031,8.48452,0,15.1315,8.43424,0,23.1544,4.4228,2,15.545,8.22749,1,23.0483,4.47585,0,16.0208,7.9896,0,23.1772,4.4114
55.2,0,15.5487,8.22564,0,15.2107,8.39465,0,15.2321,8.38394,0,15.1135,8.44325,0,15.1327,8.43367,0,15.1475,8.42627,0,15.245,8.3775,0,15.3636,8.3182,0,15.498,8.25101,0,15.6388,8.18062,0,23.79,4.10501,2,16.0855,7.95726,1,23.7621,4.11895,0,16.6654,7.6673,0,23.823,4.08851
60.2,0,15.9772,8.0114,0,15.628,8.18599,0,15.6333,8.18334,0,15.514,8.24302,0,15.5438,8.22812,0,15.5902,8.20489,0,15.6615,8.16926,0,15.8097,8.09515,0,15.9457,8.02713,0,16.1722,7.91389,0,24.4303,3.78485,2,16.6607,7.66963,1,24.4485,3.77576,0,17.3059,7.34703,0,24.4835,3.75825
65.2,0,16.4381,7.78093,0,16.0397,7.98017,0,16.0439,7.97803,0,15.9361,8.03193,0,15.9669,8.01656,0,16.0224,7.98882,0,16.0971,7.95147,0,16.2772,7.8614,0,16.4236,7.78822,0,16.6875,7.65625,0,25.078,3.46099,2,17.2421,7.37893,1,25.0975,3.45126,0,17.9611,7.01945,0,25.1053,3.44737
70.2,0,16.8897,7.55514,0,16.4603,7.76986,0,16.4622,7.76889,0,16.3498,7.82511,0,16.3782,7.81088,0,16.4514,7.7743,0,16.526,7.73699,0,16.7436,7.62822,0,16.8926,7.5537,2,17.2107,7.39463,0,25.4212,3.28939,0,17.8376,7.08121,1,25.4007,3.29965,1,15.4916,8.25422,0,25.3528,3.32361
75.2,0,16.842,7.57899,0,16.4116,7.7942,0,16.389,7.80549,0,16.3223,7.83883,0,16.3028,7.84858,0,16.4693,7.76537,0,16.4754,7.76229,0,16.828,7.586,0,16.8918,7.55409,2,16.3931,7.80347,2,25.7027,3.14866,0,16.0782,7.96091,1,24.9958,3.50209,1,17.0652,7.46739,0,22.9398,4.53012
80.2,0,16.1594,7.92032,0,15.7334,8.1333,0,15.6856,8.15719,0,15.6547,8.17264,0,15.5781,8.21094,0,15.8752,8.06242,0,15.7925,8.10377,0,16.3583,7.82083,0,16.2843,7.85784,2,17.0795,7.46025,0,23.3497,4.32514,0,18.0052,6.99742,1,20.1585,5.92076,0,19.028,6.48602,0,18.3047,6.84766
85.2,0,16.6368,7.6816,0,16.0428,7.97861,0,16.0494,7.97532,0,15.8995,8.05023,0,15.9129,8.04353,0,16.1242,7.93788,0,16.1435,7.92823,0,16.6736,7.66321,0,16.6996,7.65021,2,17.5195,7.24026,0,17.6009,7.19953,0,18.6258,6.68708,1,18.7292,6.63541,0,19.9496,6.02519,0,20.2269,5.88656
90.2,0,18.0129,6.99354,0,17.1188,7.44062,0,17.3385,7.33077,0,16.9175,7.54123,0,17.1276,7.43619,0,17.1677,7.41616,0,17.3778,7.31112,0,17.91,7.04498,0,17.9798,7.0101,2,19.0707,6.46465,0,18.7522,6.62388,0,20.3234,5.83832,1,20.5067,5.74664,0,21.9964,5.00182,0,22.295,4.85249
95.2,0,16.7543,7.62285,0,15.9438,8.02811,0,15.9681,8.01596,0,15.49,8.25501,0,15.7226,8.13871,0,15.6342,8.18288,0,15.8642,8.06789,0,16.1423,7.92884,0,16.3508,7.82461,2,17.1935,7.40326,0,17.1817,7.40915,0,19.1842,6.40789,1,17.6594,7.17032,0,21.5284,5.23582,0,19.3801,6.30996
100.2,0,13.5619,9.21905,0,13.7038,9.14808,0,13.2901,9.35496,0,13.4911,9.25444,0,13.2099,9.39506,0,13.4635,9.26827,0,13.2497,9.37514,0,13.2879,9.35604,0,13.4242,9.28789,2,13.6213,9.18937,0,13.5878,9.20609,0,22.4238,4.78808,1,13.8865,9.05676,0,23.2366,4.38171,0,15.0034,8.49831
105.2,0,13.5442,9.22789,0,13.1522,9.42392,0,13.1655,9.41723,0,12.9703,9.51484,0,13.0995,9.45027,0,13.3879,9.30604,0,13.0083,9.49583,0,13.34,9.33002,0,13.2995,9.35024,2,13.3821,9.30894,0,13.3442,9.3279,0,18.404,6.79802,1,13.7237,9.13814,0,23.7139,4.14307,0,14.2575,8.87124
110.2,0,13.1829,9.40857,0,12.8993,9.55033,0,12.8608,9.56962,0,12.7508,9.62461,0,12.8147,9.59264,0,12.9705,9.51476,0,12.8105,9.59477,0,13.1489,9.42554,0,13.1137,9.44315,2,13.5403,9.22987,0,13.3596,9.32019,0,12.7908,9.6046,1,13.7771,9.11143,0,24.8552,3.57239,0,14.3512,8.82441
115.2,0,13.7304,9.13481,0,13.4203,9.28984,0,13.3913,9.30436,0,13.3161,9.34194,0,13.3068,9.34659,0,13.432,9.28399,0,13.3664,9.3168,0,13.6249,9.18754,0,13.6135,9.19324,2,13.942,9.029,0,13.9219,9.03905,0,14.4287,8.78563,1,14.4121,8.79395,0,25.8174,3.09129,0,15.0521,8.47396
120.2,0,14.1903,8.90484,0,13.8508,9.0746,0,13.8409,9.07956,0,13.7596,9.12021,0,13.7404,9.12978,0,13.8725,9.06376,0,13.8406,9.07969,0,14.1448,8.9276,0,14.0957,8.95217,2,14.5258,8.73709,0,14.5015,8.74927,0,15.025,8.48751,1,15.0425,8.47875,0,26.6277,2.68616,0,15.7611,8.11944
