time,node_id,channel,tx_power,data_rate,neighbors,interference
0.2,0,0,19.0506,6.4747,14,0.08
0.2,1,0,18.2731,6.86345,14,0.08
0.2,2,0,18.272,6.86398,14,0.08
0.2,3,0,18.1025,6.94877,14,0.08
0.2,4,0,18.1002,6.9499,14,0.08
0.2,5,0,18.4311,6.78443,14,0.08
0.2,6,0,18.4306,6.78472,14,0.08
0.2,7,0,19.1945,6.40274,14,0.08
0.2,8,0,19.2005,6.39973,14,0.08
0.2,9,0,20.3673,5.81637,14,0.08
0.2,10,0,20.3738,5.8131,14,0.08
0.2,11,2,21.2452,5.37739,13,0.075
0.2,12,1,21.244,5.37798,13,0.075
0.2,13,1,22.5664,4.71679,12,0.07
0.2,14,2,22.5612,4.71942,12,0.07
5.2,0,0,19.03,6.485,14,0.08
5.2,1,0,18.2473,6.87636,14,0.08
5.2,2,0,18.2599,6.87004,14,0.08
5.2,3,0,18.0728,6.96358,14,0.08
5.2,4,0,18.0753,6.96233,14,0.08
5.2,5,0,18.3996,6.80018,14,0.08
5.2,6,0,18.4112,6.79439,14,0.08
5.2,7,0,19.1689,6.41554,14,0.08
5.2,8,0,19.1935,6.40326,14,0.08
5.2,9,0,20.3278,5.83609,14,0.08
5.2,10,0,20.3735,5.81326,14,0.08
5.2,11,2,21.1641,5.41793,13,0.075
5.2,12,1,21.2336,5.38322,13,0.075
5.2,13,1,22.4443,4.77786,12,0.07
5.2,14,2,22.5219,4.73904,12,0.07
10.2,0,0,19.0436,6.47819,14,0.08
10.2,1,0,18.2665,6.86677,14,0.08
10.2,2,0,18.2672,6.86642,14,0.08
10.2,3,0,18.0983,6.95087,14,0.08
10.2,4,0,18.1006,6.94969,14,0.08
10.2,5,0,18.4306,6.78471,14,0.08
10.2,6,0,18.4278,6.7861,14,0.08
10.2,7,0,19.2045,6.39775,14,0.08
10.2,8,0,19.1929,6.40353,14,0.08
10.2,9,0,20.3818,5.80909,14,0.08
10.2,10,0,20.3634,5.81832,14,0.08
10.2,11,2,21.2599,5.37004,13,0.075
10.2,12,1,21.2324,5.38379,13,0.075
10.2,13,1,22.5862,4.70689,12,0.07
10.2,14,2,22.5525,4.72376,12,0.07
15.2,0,0,19.0535,6.47327,14,0.08
15.2,1,0,18.2761,6.86197,14,0.08
15.2,2,0,18.2752,6.8624,14,0.08
15.2,3,0,18.1051,6.94743,14,0.08
15.2,4,0,18.1047,6.94766,14,0.08
15.2,5,0,18.4332,6.78339,14,0.08
15.2,6,0,18.4333,6.78334,14,0.08
15.2,7,0,19.2024,6.3988,14,0.08
15.2,8,0,19.2035,6.39826,14,0.08
15.2,9,0,20.3786,5.8107,14,0.08
15.2,10,0,20.38,5.81002,14,0.08
15.2,11,2,21.2505,5.37474,13,0.075
15.2,12,1,21.2528,5.37361,13,0.075
15.2,13,1,22.5668,4.7166,12,0.07
15.2,14,2,22.5705,4.71477,12,0.07
20.2,0,0,19.051,6.47451,14,0.08
20.2,1,0,18.2733,6.86334,14,0.08
20.2,2,0,18.2734,6.86332,14,0.08
20.2,3,0,18.1024,6.94878,14,0.08
20.2,4,0,18.1024,6.94882,14,0.08
20.2,5,0,18.431,6.78452,14,0.08
20.2,6,0,18.4311,6.78445,14,0.08
20.2,7,0,19.2007,6.39966,14,0.08
20.2,8,0,19.2011,6.39943,14,0.08
20.2,9,0,20.376,5.81199,14,0.08
20.2,10,0,20.3768,5.81159,14,0.08
20.2,11,2,21.247,5.3765,13,0.075
20.2,12,1,21.248,5.376,13,0.075
20.2,13,1,22.5626,4.71871,12,0.07
20.2,14,2,22.5638,4.7181,12,0.07
25.2,0,0,19.0367,6.48165,14,0.08
25.2,1,0,18.2668,6.86661,14,0.08
25.2,2,0,18.2497,6.87514,14,0.08
25.2,3,0,18.0923,6.95386,14,0.08
25.2,4,0,18.0719,6.96406,14,0.08
25.2,5,0,18.4189,6.79057,14,0.08
25.2,6,0,18.4142,6.79289,14,0.08
25.2,7,0,19.1875,6.40626,14,0.08
25.2,8,0,19.1984,6.40082,14,0.08
25.2,9,0,20.3622,5.81891,14,0.08
25.2,10,0,20.3736,5.8132,14,0.08
25.2,11,2,21.2318,5.38412,13,0.075
25.2,12,1,21.2448,5.37762,13,0.075
25.2,13,1,22.5462,4.7269,12,0.07
25.2,14,2,22.5608,4.7196,12,0.07
30.2,0,0,18.942,6.52901,14,0.08
30.2,1,0,18.1788,6.91059,14,0.08
30.2,2,0,17.9265,7.03673,14,0.08
30.2,3,0,17.9716,7.01422,14,0.08
30.2,4,0,17.8181,7.09097,14,0.08
30.2,5,0,18.2796,6.86021,14,0.08
30.2,6,0,18.2944,6.85278,14,0.08
30.2,7,0,19.0089,6.49556,14,0.08
30.2,8,0,19.2429,6.37856,14,0.08
30.2,9,0,20.142,5.929,14,0.08
30.2,10,0,20.4728,5.76362,14,0.08
30.2,11,2,20.9519,5.52404,13,0.075
30.2,12,1,21.3295,5.33523,13,0.075
30.2,13,1,22.2319,4.88404,12,0.07
30.2,14,2,22.7073,4.64635,12,0.07
35.2,0,0,16.5127,7.74364,14,0.08
35.2,1,0,16.3269,7.83657,14,0.08
35.2,2,0,16.6454,7.67729,14,0.08
35.2,3,0,16.1663,7.91683,14,0.08
35.2,4,0,15.935,8.0325,14,0.08
35.2,5,0,16.1447,7.92766,14,0.08
35.2,6,0,16.4235,7.78826,14,0.08
35.2,7,0,16.6016,7.69921,14,0.08
35.2,8,0,19.7977,6.10117,14,0.08
35.2,9,0,17.5603,7.21984,14,0.08
35.2,10,0,21.151,5.42452,14,0.08
35.2,11,2,18.8812,6.5594,14,0.08
35.2,12,1,21.6588,5.17059,14,0.08
35.2,13,0,20.6288,5.6856,14,0.08
35.2,14,0,22.2764,4.86178,14,0.08
40.2,0,0,14.8086,8.59569,14,0.08
40.2,1,0,14.5029,8.74856,14,0.08
40.2,2,0,14.3567,8.82166,14,0.08
40.2,3,0,14.3457,8.82714,14,0.08
40.2,4,0,14.4486,8.77571,14,0.08
40.2,5,0,14.2494,8.87528,14,0.08
40.2,6,0,14.7903,8.60486,14,0.08
40.2,7,0,14.4566,8.77168,14,0.08
40.2,8,0,16.6001,7.69996,14,0.08
40.2,9,0,14.7655,8.61726,14,0.08
40.2,10,0,21.4275,5.28624,14,0.08
40.2,11,2,14.7288,8.63561,14,0.08
40.2,12,1,21.2621,5.36897,14,0.08
40.2,13,0,14.9851,8.50747,14,0.08
40.2,14,0,21.7271,5.13646,14,0.08
45.2,0,0,14.726,8.63702,14,0.08
45.2,1,0,14.4388,8.78058,14,0.08
45.2,2,0,14.6058,8.69712,14,0.08
45.2,3,0,14.3911,8.80446,14,0.08
45.2,4,0,14.4087,8.79564,14,0.08
45.2,5,0,14.3364,8.83179,14,0.08
45.2,6,0,14.5011,8.74944,14,0.08
45.2,7,0,14.6184,8.69081,14,0.08
45.2,8,0,14.5756,8.7122,14,0.08
45.2,9,0,14.7083,8.64586,14,0.08
45.2,10,0,22.5215,4.73924,14,0.08
45.2,11,2,15.1344,8.43278,14,0.08
45.2,12,1,22.4777,4.76113,14,0.08
45.2,13,0,15.4819,8.25907,14,0.08
45.2,14,0,22.591,4.7045,14,0.08
50.2,0,0,15.1387,8.43067,14,0.08
50.2,1,0,14.8015,8.59926,14,0.08
50.2,2,0,14.8493,8.57535,14,0.08
50.2,3,0,14.7442,8.62792,14,0.08
50.2,4,0,14.7344,8.63279,14,0.08
50.2,5,0,14.7008,8.64962,14,0.08
50.2,6,0,14.8013,8.59937,14,0.08
50.2,7,0,14.9618,8.51911,14,0.08
50.2,8,0,15.031,8.48452,14,0.08
50.2,9,0,15.1315,8.43424,14,0.08
50.2,10,0,23.1544,4.4228,14,0.08
50.2,11,2,15.545,8.22749,14,0.08
50.2,12,1,23.0483,4.47585,14,0.08
50.2,13,0,16.0208,7.9896,14,0.08
50.2,14,0,23.1772,4.4114,14,0.08
55.2,0,0,15.5487,8.22564,14,0.08
55.2,1,0,15.2107,8.39465,14,0.08
55.2,2,0,15.2321,8.38394,14,0.08
55.2,3,0,15.1135,8.44325,14,0.08
55.2,4,0,15.1327,8.43367,14,0.08
55.2,5,0,15.1475,8.42627,14,0.08
55.2,6,0,15.245,8.3775,14,0.08
55.2,7,0,15.3636,8.3182,14,0.08
55.2,8,0,15.498,8.25101,14,0.08
55.2,9,0,15.6388,8.18062,14,0.08
55.2,10,0,23.79,4.10501,14,0.08
55.2,11,2,16.0855,7.95726,14,0.08
55.2,12,1,23.7621,4.11895,14,0.08
55.2,13,0,16.6654,7.6673,14,0.08
55.2,14,0,23.823,4.08851,14,0.08
60.2,0,0,15.9772,8.0114,14,0.08
60.2,1,0,15.628,8.18599,14,0.08
60.2,2,0,15.6333,8.18334,14,0.08
60.2,3,0,15.514,8.24302,14,0.08
60.2,4,0,15.5438,8.22812,14,0.08
60.2,5,0,15.5902,8.20489,14,0.08
60.2,6,0,15.6615,8.16926,14,0.08
60.2,7,0,15.8097,8.09515,14,0.08
60.2,8,0,15.9457,8.02713,14,0.08
60.2,9,0,16.1722,7.91389,14,0.08
60.2,10,0,24.4303,3.78485,14,0.08
60.2,11,2,16.6607,7.66963,14,0.08
60.2,12,1,24.4485,3.77576,14,0.08
60.2,13,0,17.3059,7.34703,14,0.08
60.2,14,0,24.4835,3.75825,14,0.08
65.2,0,0,16.4381,7.78093,14,0.08
65.2,1,0,16.0397,7.98017,14,0.08
65.2,2,0,16.0439,7.97803,14,0.08
65.2,3,0,15.9361,8.03193,14,0.08
65.2,4,0,15.9669,8.01656,14,0.08
65.2,5,0,16.0224,7.98882,14,0.08
65.2,6,0,16.0971,7.95147,14,0.08
65.2,7,0,16.2772,7.8614,14,0.08
65.2,8,0,16.4236,7.78822,14,0.08
65.2,9,0,16.6875,7.65625,14,0.08
65.2,10,0,25.078,3.46099,14,0.08
65.2,11,2,17.2421,7.37893,14,0.08
65.2,12,1,25.0975,3.45126,14,0.08
65.2,13,0,17.9611,7.01945,14,0.08
65.2,14,0,25.1053,3.44737,14,0.08
70.2,0,0,16.8897,7.55514,14,0.08
70.2,1,0,16.4603,7.76986,14,0.08
70.2,2,0,16.4622,7.76889,14,0.08
70.2,3,0,16.3498,7.82511,14,0.08
70.2,4,0,16.3782,7.81088,14,0.08
70.2,5,0,16.4514,7.7743,14,0.08
70.2,6,0,16.526,7.73699,14,0.08
70.2,7,0,16.7436,7.62822,14,0.08
70.2,8,0,16.8926,7.5537,14,0.08
70.2,9,2,17.2107,7.39463,14,0.08
70.2,10,0,25.4212,3.28939,13,0.075
70.2,11,0,17.8376,7.08121,14,0.08
70.2,12,1,25.4007,3.29965,13,0.075
70.2,13,1,15.4916,8.25422,11,0.065
70.2,14,0,25.3528,3.32361,13,0.075
75.2,0,0,16.842,7.57899,14,0.08
75.2,1,0,16.4116,7.7942,14,0.08
75.2,2,0,16.389,7.80549,14,0.08
75.2,3,0,16.3223,7.83883,14,0.08
75.2,4,0,16.3028,7.84858,14,0.08
75.2,5,0,16.4693,7.76537,14,0.08
75.2,6,0,16.4754,7.76229,14,0.08
75.2,7,0,16.828,7.586,14,0.08
75.2,8,0,16.8918,7.55409,14,0.08
75.2,9,2,16.3931,7.80347,13,0.075
75.2,10,2,25.7027,3.14866,11,0.065
75.2,11,0,16.0782,7.96091,12,0.07
75.2,12,1,24.9958,3.50209,12,0.07
75.2,13,1,17.0652,7.46739,12,0.07
75.2,14,0,22.9398,4.53012,14,0.08
80.2,0,0,16.1594,7.92032,14,0.08
80.2,1,0,15.7334,8.1333,14,0.08
80.2,2,0,15.6856,8.15719,14,0.08
80.2,3,0,15.6547,8.17264,14,0.08
80.2,4,0,15.5781,8.21094,14,0.08
80.2,5,0,15.8752,8.06242,14,0.08
80.2,6,0,15.7925,8.10377,14,0.08
80.2,7,0,16.3583,7.82083,14,0.08
80.2,8,0,16.2843,7.85784,14,0.08
80.2,9,2,17.0795,7.46025,14,0.08
80.2,10,0,23.3497,4.32514,14,0.08
80.2,11,0,18.0052,6.99742,14,0.08
80.2,12,1,20.1585,5.92076,14,0.08
80.2,13,0,19.028,6.48602,14,0.08
80.2,14,0,18.3047,6.84766,14,0.08
85.2,0,0,16.6368,7.6816,14,0.08
85.2,1,0,16.0428,7.97861,14,0.08
85.2,2,0,16.0494,7.97532,14,0.08
85.2,3,0,15.8995,8.05023,14,0.08
85.2,4,0,15.9129,8.04353,14,0.08
85.2,5,0,16.1242,7.93788,14,0.08
85.2,6,0,16.1435,7.92823,14,0.08
85.2,7,0,16.6736,7.66321,14,0.08
85.2,8,0,16.6996,7.65021,14,0.08
85.2,9,2,17.5195,7.24026,14,0.08
85.2,10,0,17.6009,7.19953,14,0.08
85.2,11,0,18.6258,6.68708,14,0.08
85.2,12,1,18.7292,6.63541,14,0.08
85.2,13,0,19.9496,6.02519,14,0.08
85.2,14,0,20.2269,5.88656,14,0.08
90.2,0,0,18.0129,6.99354,14,0.08
90.2,1,0,17.1188,7.44062,14,0.08
90.2,2,0,17.3385,7.33077,14,0.08
90.2,3,0,16.9175,7.54123,14,0.08
90.2,4,0,17.1276,7.43619,14,0.08
90.2,5,0,17.1677,7.41616,14,0.08
90.2,6,0,17.3778,7.31112,14,0.08
90.2,7,0,17.91,7.04498,14,0.08
90.2,8,0,17.9798,7.0101,14,0.08
90.2,9,2,19.0707,6.46465,14,0.08
90.2,10,0,18.7522,6.62388,14,0.08
90.2,11,0,20.3234,5.83832,14,0.08
90.2,12,1,20.5067,5.74664,14,0.08
90.2,13,0,21.9964,5.00182,14,0.08
90.2,14,0,22.295,4.85249,14,0.08
95.2,0,0,16.7543,7.62285,14,0.08
95.2,1,0,15.9438,8.02811,14,0.08
95.2,2,0,15.9681,8.01596,14,0.08
95.2,3,0,15.49,8.25501,14,0.08
95.2,4,0,15.7226,8.13871,14,0.08
95.2,5,0,15.6342,8.18288,14,0.08
95.2,6,0,15.8642,8.06789,14,0.08
95.2,7,0,16.1423,7.92884,14,0.08
95.2,8,0,16.3508,7.82461,14,0.08
95.2,9,2,17.1935,7.40326,14,0.08
95.2,10,0,17.1817,7.40915,14,0.08
95.2,11,0,19.1842,6.40789,14,0.08
95.2,12,1,17.6594,7.17032,14,0.08
95.2,13,0,21.5284,5.23582,14,0.08
95.2,14,0,19.3801,6.30996,14,0.08
100.2,0,0,13.5619,9.21905,14,0.08
100.2,1,0,13.7038,9.14808,14,0.08
100.2,2,0,13.2901,9.35496,14,0.08
100.2,3,0,13.4911,9.25444,14,0.08
100.2,4,0,13.2099,9.39506,14,0.08
100.2,5,0,13.4635,9.26827,14,0.08
100.2,6,0,13.2497,9.37514,14,0.08
100.2,7,0,13.2879,9.35604,14,0.08
100.2,8,0,13.4242,9.28789,14,0.08
100.2,9,2,13.6213,9.18937,14,0.08
100.2,10,0,13.5878,9.20609,14,0.08
100.2,11,0,22.4238,4.78808,14,0.08
100.2,12,1,13.8865,9.05676,14,0.08
100.2,13,0,23.2366,4.38171,14,0.08
100.2,14,0,15.0034,8.49831,14,0.08
105.2,0,0,13.5442,9.22789,14,0.08
105.2,1,0,13.1522,9.42392,14,0.08
105.2,2,0,13.1655,9.41723,14,0.08
105.2,3,0,12.9703,9.51484,14,0.08
105.2,4,0,13.0995,9.45027,14,0.08
105.2,5,0,13.3879,9.30604,14,0.08
105.2,6,0,13.0083,9.49583,14,0.08
105.2,7,0,13.34,9.33002,14,0.08
105.2,8,0,13.2995,9.35024,14,0.08
105.2,9,2,13.3821,9.30894,14,0.08
105.2,10,0,13.3442,9.3279,14,0.08
105.2,11,0,18.404,6.79802,14,0.08
105.2,12,1,13.7237,9.13814,14,0.08
105.2,13,0,23.7139,4.14307,14,0.08
105.2,14,0,14.2575,8.87124,14,0.08
110.2,0,0,13.1829,9.40857,14,0.08
110.2,1,0,12.8993,9.55033,14,0.08
110.2,2,0,12.8608,9.56962,14,0.08
110.2,3,0,12.7508,9.62461,14,0.08
110.2,4,0,12.8147,9.59264,14,0.08
110.2,5,0,12.9705,9.51476,14,0.08
110.2,6,0,12.8105,9.59477,14,0.08
110.2,7,0,13.1489,9.42554,14,0.08
110.2,8,0,13.1137,9.44315,14,0.08
110.2,9,2,13.5403,9.22987,14,0.08
110.2,10,0,13.3596,9.32019,14,0.08
110.2,11,0,12.7908,9.6046,14,0.08
110.2,12,1,13.7771,9.11143,14,0.08
110.2,13,0,24.8552,3.57239,14,0.08
110.2,14,0,14.3512,8.82441,14,0.08
115.2,0,0,13.7304,9.13481,14,0.08
115.2,1,0,13.4203,9.28984,14,0.08
115.2,2,0,13.3913,9.30436,14,0.08
115.2,3,0,13.3161,9.34194,14,0.08
115.2,4,0,13.3068,9.34659,14,0.08
115.2,5,0,13.432,9.28399,14,0.08
115.2,6,0,13.3664,9.3168,14,0.08
115.2,7,0,13.6249,9.18754,14,0.08
115.2,8,0,13.6135,9.19324,14,0.08
115.2,9,2,13.942,9.029,14,0.08
115.2,10,0,13.9219,9.03905,14,0.08
115.2,11,0,14.4287,8.78563,14,0.08
115.2,12,1,14.4121,8.79395,14,0.08
115.2,13,0,25.8174,3.09129,14,0.08
115.2,14,0,15.0521,8.47396,14,0.08
120.2,0,0,14.1903,8.90484,14,0.08
120.2,1,0,13.8508,9.0746,14,0.08
120.2,2,0,13.8409,9.07956,14,0.08
120.2,3,0,13.7596,9.12021,14,0.08
120.2,4,0,13.7404,9.12978,14,0.08
120.2,5,0,13.8725,9.06376,14,0.08
120.2,6,0,13.8406,9.07969,14,0.08
120.2,7,0,14.1448,8.9276,14,0.08
120.2,8,0,14.0957,8.95217,14,0.08
120.2,9,2,14.5258,8.73709,14,0.08
120.2,10,0,14.5015,8.74927,14,0.08
120.2,11,0,15.025,8.48751,14,0.08
120.2,12,1,15.0425,8.47875,14,0.08
120.2,13,0,26.6277,2.68616,14,0.08
120.2,14,0,15.7611,8.11944,14,0.08
125.2,0,0,14.6795,8.66023,14,0.08
125.2,1,0,14.2818,8.85909,14,0.08
125.2,2,0,14.2748,8.8626,14,0.08
125.2,3,0,14.2047,8.89767,14,0.08
125.2,4,0,14.1846,8.90769,14,0.08
125.2,5,0,14.3354,8.8323,14,0.08
125.2,6,0,14.2996,8.85021,14,0.08
125.2,7,0,14.6427,8.67867,14,0.08
125.2,8,0,14.5947,8.70264,14,0.08
125.2,9,2,15.096,8.452,14,0.08
125.2,10,0,15.0572,8.47142,14,0.08
125.2,11,0,15.6604,8.16982,14,0.08
125.2,12,1,15.6799,8.16003,14,0.08
125.2,13,0,27.3707,2.31465,14,0.08
125.2,14,0,16.5001,7.74993,14,0.08
130.2,0,0,15.1692,8.41539,14,0.08
130.2,1,0,14.7371,8.63145,14,0.08
130.2,2,0,14.7282,8.6359,14,0.08
130.2,3,0,14.6511,8.67445,14,0.08
130.2,4,0,14.6299,8.68503,14,0.08
130.2,5,0,14.7997,8.60016,14,0.08
130.2,6,0,14.7628,8.61861,14,0.08
130.2,7,0,15.1516,8.42422,14,0.08
130.2,8,0,15.1002,8.44991,14,0.08
130.2,9,2,15.6746,8.16269,14,0.08
130.2,10,0,15.626,8.18701,14,0.08
130.2,11,0,16.3365,7.83177,14,0.08
130.2,12,1,15.2701,8.36495,13,0.075
130.2,13,1,27.7534,2.12332,12,0.07
130.2,14,0,16.2389,7.88053,13,0.075
135.2,0,0,14.5296,8.73519,13,0.075
135.2,1,0,15.1964,8.40178,14,0.08
135.2,2,0,14.019,8.99049,13,0.075
135.2,3,0,15.0992,8.45038,14,0.08
135.2,4,0,13.8969,9.05155,13,0.075
