time,nodeId,eventType
1.05589,16,Tx Data
1.05785,22,Tx Data
1.05785,27,Tx Data
1.05981,21,Tx Data
1.05981,26,Tx Data
1.06178,25,Tx Data
1.06178,27,Tx Data
1.06262,23,Rx Data
1.06374,29,Tx Data
1.0657,17,Tx Data
1.0657,25,Tx Data
1.0657,29,Tx Data
1.06766,26,Tx Data
1.06963,24,Tx Data
1.07159,20,Tx Data
1.07159,25,Tx Data
1.07159,27,Tx Data
1.07355,23,Tx Data
1.07545,24,Rx Data
1.07549,18,Rx Data
1.07551,25,Tx Data
1.07551,26,Tx Data
1.07551,27,Tx Data
1.07748,15,Tx Data
1.07748,22,Tx Data
1.07748,22,Rx Data
1.0814,22,Tx Data
1.08183,16,Rx Data
1.08192,0,Tx Data
1.08194,19,Rx Data
1.08195,27,Rx Data
1.08337,22,Tx Data
1.08337,27,Tx Data
1.08623,17,Rx Data
1.08729,20,Tx Data
1.08835,24,Rx Data
1.08838,19,Rx Data
1.08925,21,Tx Data
1.08925,22,Tx Data
1.08925,23,Tx Data
1.09037,28,Rx Data
1.09122,15,Tx Data
1.09122,18,Tx Data
1.09122,28,Tx Data
1.09264,18,Rx Data
1.09471,28,Rx Data
1.09514,16,Tx Data
1.09514,22,Tx Data
1.09514,24,Tx Data
1.09514,25,Tx Data
1.0971,15,Tx Data
1.0971,24,Tx Data
1.09907,29,Tx Data
1.10103,25,Tx Data
1.10103,29,Tx Data
1.10338,24,Rx Data
1.10495,27,Tx Data
1.10539,28,Rx Data
1.10692,22,Tx Data
1.10692,28,Tx Data
1.11192,16,Rx Data
1.11281,16,Tx Data
1.11281,28,Tx Data
1.11397,20,Rx Data
1.11477,19,Tx Data
1.11477,24,Tx Data
1.1165,26,Rx Data
1.11867,18,Rx Data
1.11869,25,Tx Data
1.12066,16,Tx Data
1.12066,23,Tx Data
1.12066,25,Tx Data
1.12066,28,Tx Data
1.12079,23,Rx Data
1.12654,17,Tx Data
1.12851,21,Tx Data
1.12851,22,Tx Data
1.12851,25,Tx Data
1.12851,28,Tx Data
1.12899,17,Rx Data
1.13047,21,Tx Data
1.13047,22,Tx Data
1.13047,25,Tx Data
1.13047,27,Tx Data
1.13047,29,Tx Data
1.13368,18,Rx Data
1.13439,23,Tx Data
1.13532,20,Rx Data
1.1358,26,Rx Data
1.13636,21,Tx Data
1.14014,26,Rx Data
1.14028,20,Tx Data
1.14184,17,Rx Data
1.14225,18,Tx Data
1.14421,20,Tx Data
1.14421,25,Tx Data
1.14598,20,Rx Data
1.14813,25,Tx Data
1.15098,23,Rx Data
1.15098,26,Rx Data
1.15206,21,Tx Data
1.15402,28,Tx Data
1.15795,21,Tx Data
1.15991,17,Tx Data
1.15991,27,Tx Data
1.16091,29,Rx Data
1.1611,18,Rx Data
1.16334,18,Rx Data
1.16383,23,Tx Data
1.16383,24,Tx Data
1.16384,0,Tx Data
1.1658,15,Tx Data
1.1658,17,Tx Data
1.16776,16,Tx Data
1.17159,29,Rx Data
1.17169,15,Tx Data
1.17169,27,Tx Data
1.17197,24,Rx Data
1.17247,23,Rx Data
1.17365,15,Tx Data
1.17365,19,Tx Data
1.17365,24,Tx Data
1.17389,20,Rx Data
1.17561,21,Tx Data
1.17561,22,Tx Data
1.17757,21,Tx Data
1.17757,24,Tx Data
1.17842,16,Rx Data
1.1815,25,Tx Data
1.18192,1,Tx Data
1.18346,29,Tx Data
1.18695,24,Rx Data
1.18739,20,Tx Data
1.18739,22,Tx Data
1.18739,24,Tx Data
1.1887,22,Rx Data
1.18935,15,Tx Data
1.18935,23,Tx Data
1.18935,26,Tx Data
1.18956,18,Rx Data
1.19327,21,Tx Data
1.19327,22,Tx Data
1.19524,21,Tx Data
1.19524,25,Tx Data
1.19524,28,Tx Data
1.19603,23,Rx Data
1.19603,19,Rx Data
1.1972,27,Tx Data
1.1972,29,Tx Data
1.19916,27,Tx Data
1.20113,17,Tx Data
1.20113,22,Tx Data
1.20113,23,Tx Data
1.20309,19,Tx Data
1.20309,22,Tx Data
1.20309,27,Tx Data
1.20309,28,Tx Data
1.20505,23,Tx Data
1.20683,26,Rx Data
1.20701,22,Tx Data
1.21094,21,Tx Data
1.2129,24,Tx Data
1.21682,27,Rx Data
1.21683,21,Tx Data
1.21879,26,Tx Data
1.21923,16,Rx Data
1.22075,16,Tx Data
1.22075,29,Tx Data
1.22271,17,Tx Data
1.22307,28,Rx Data
1.22323,27,Rx Data
1.22368,26,Rx Data
1.22468,16,Tx Data
1.22468,17,Tx Data
1.22581,18,Rx Data
1.22664,16,Tx Data
1.22664,19,Tx Data
1.22664,24,Tx Data
1.22796,23,Rx Data
1.22796,18,Rx Data
1.2286,15,Tx Data
1.2286,24,Tx Data
1.2286,25,Tx Data
1.22965,27,Rx Data
1.23057,25,Tx Data
1.23057,27,Tx Data
1.23443,26,Rx Data
1.23449,15,Tx Data
1.23449,17,Tx Data
1.23449,25,Tx Data
1.23811,20,Rx Data
1.23842,29,Tx Data
1.24038,17,Tx Data
1.24038,20,Tx Data
1.24038,29,Tx Data
1.24113,23,Rx Data
1.24234,27,Tx Data
1.2443,15,Tx Data
1.2454,18,Rx Data
1.24576,0,Tx Data
1.24702,24,Rx Data
1.24772,15,Rx Data
1.24823,24,Tx Data
1.25019,15,Tx Data
1.25132,16,Rx Data
1.25197,23,Rx Data
1.25412,16,Tx Data
1.25412,24,Tx Data
1.25412,28,Tx Data
1.25412,19,Rx Data
1.25519,29,Rx Data
1.25608,25,Tx Data
1.25608,29,Tx Data
1.25804,18,Tx Data
1.25804,27,Tx Data
1.26001,17,Tx Data
1.26001,19,Tx Data
1.26001,29,Tx Data
1.26197,17,Tx Data
1.26197,22,Tx Data
1.26197,29,Tx Data
1.26389,27,Rx Data
1.26393,19,Tx Data
1.26393,21,Tx Data
1.26393,28,Tx Data
1.26479,26,Rx Data
1.26589,21,Tx Data
1.26589,28,Tx Data
1.26786,23,Tx Data
1.26982,22,Tx Data
1.27031,27,Rx Data
1.27135,23,Rx Data
1.27178,18,Tx Data
1.27178,20,Tx Data
1.27178,23,Tx Data
1.27178,27,Tx Data
1.27231,22,Rx Data
1.27242,17,Rx Data
1.27266,16,Rx Data
1.27347,23,Rx Data
1.27374,15,Tx Data
1.27374,18,Tx Data
1.27374,21,Tx Data
1.27374,24,Tx Data
1.27374,26,Tx Data
1.27445,22,Rx Data
1.27563,26,Rx Data
1.27571,29,Tx Data
1.27963,16,Tx Data
1.27963,26,Tx Data
1.28159,19,Tx Data
1.28192,2,Tx Data
1.28205,26,Rx Data
1.283,29,Rx Data
1.28552,19,Tx Data
1.28552,27,Tx Data
1.28748,26,Tx Data
1.28942,22,Rx Data
1.28945,21,Tx Data
1.28945,23,Tx Data
1.29141,15,Tx Data
1.29167,20,Rx Data
1.29337,18,Tx Data
1.29337,19,Tx Data
1.29337,27,Tx Data
1.29609,16,Rx Data
1.29706,26,Rx Data
1.2973,17,Tx Data
1.29925,23,Rx Data
1.29926,20,Tx Data
1.30122,16,Tx Data
1.30122,19,Tx Data
1.30122,22,Tx Data
1.30122,25,Tx Data
1.30122,29,Tx Data
1.30318,26,Tx Data
1.30427,22,Rx Data
1.30515,23,Tx Data
1.30641,29,Rx Data
1.30674,27,Rx Data
1.30907,16,Tx Data
1.30907,21,Tx Data
1.30907,27,Tx Data
1.31103,16,Tx Data
1.31103,23,Tx Data
1.313,21,Tx Data
1.313,27,Tx Data
1.31496,17,Tx Data
1.31496,20,Tx Data
1.31496,21,Tx Data
1.31641,18,Rx Data
1.31641,23,Rx Data
1.31641,26,Rx Data
1.31692,16,Tx Data
1.31692,19,Tx Data
1.31692,22,Tx Data
1.31711,22,Rx Data
1.31853,26,Rx Data
1.31889,19,Tx Data
1.31967,24,Rx Data
1.32165,27,Rx Data
1.32278,26,Rx Data
1.32281,20,Tx Data
1.32477,22,Tx Data
1.32477,25,Tx Data
1.32494,23,Rx Data
1.32576,29,Rx Data
1.32674,26,Tx Data
1.32788,22,Rx Data
1.3287,20,Tx Data
1.3287,21,Tx Data
1.32925,18,Rx Data
1.33233,20,Rx Data
1.33262,27,Tx Data
1.33431,29,Rx Data
1.33459,18,Tx Data
1.33655,19,Tx Data
1.33655,26,Tx Data
1.33851,24,Tx Data
1.33851,29,Tx Data
1.34004,26,Rx Data
1.34004,18,Rx Data
1.34047,18,Tx Data
1.34094,17,Rx Data
1.34244,18,Tx Data
1.3444,21,Tx Data
1.3444,27,Tx Data
1.34833,22,Tx Data
1.34833,24,Tx Data
1.34833,25,Tx Data
1.34956,24,Rx Data
1.35029,15,Tx Data
1.35029,22,Tx Data
1.35149,22,Rx Data
1.35225,16,Tx Data
1.35225,20,Tx Data
1.35225,26,Tx Data
1.35225,28,Tx Data
1.35421,15,Tx Data
1.35618,17,Tx Data
1.35618,21,Tx Data
1.35618,27,Tx Data
1.35814,21,Tx Data
1.35814,22,Tx Data
1.35814,26,Tx Data
1.3601,29,Tx Data
1.36206,21,Tx Data
1.36403,20,Tx Data
1.36403,24,Tx Data
1.36459,16,Rx Data
1.36599,17,Tx Data
1.36599,20,Tx Data
1.36599,22,Tx Data
1.36673,24,Rx Data
1.36991,15,Tx Data
1.36991,16,Tx Data
1.37097,16,Rx Data
1.37384,17,Tx Data
1.37384,24,Tx Data
1.3758,20,Tx Data
1.37777,17,Tx Data
1.37777,21,Tx Data
1.37777,25,Tx Data
1.37777,27,Tx Data
1.37777,29,Tx Data
1.37973,15,Tx Data
1.37973,28,Tx Data
1.38027,18,Rx Data
1.38169,16,Tx Data
1.38169,23,Tx Data
1.38169,28,Tx Data
1.38243,23,Rx Data
1.38365,19,Tx Data
1.38365,24,Tx Data
1.38375,28,Rx Data
1.38562,22,Tx Data
1.38562,25,Tx Data
1.38573,22,Rx Data
1.3868,23,Rx Data
1.38799,20,Rx Data
1.38891,26,Rx Data
1.39019,20,Rx Data
1.39026,24,Rx Data
1.3915,18,Tx Data
1.39543,15,Tx Data
1.39543,18,Tx Data
1.39543,27,Tx Data
1.3988,23,Rx Data
1.39935,20,Tx Data
1.39935,22,Tx Data
1.40132,19,Tx Data
1.40328,18,Tx Data
1.40497,29,Rx Data
1.40524,20,Tx Data
1.40524,22,Tx Data
1.40721,15,Tx Data
1.40721,28,Tx Data
1.40721,29,Tx Data
1.40729,27,Rx Data
1.40917,16,Tx Data
1.41113,18,Tx Data
1.41113,27,Tx Data
1.41113,28,Tx Data
1.41139,29,Rx Data
1.41309,15,Tx Data
1.41309,17,Tx Data
1.41309,25,Tx Data
1.41379,24,Rx Data
1.4157,22,Rx Data
1.41599,16,Rx Data
1.41805,19,Rx Data
1.41898,19,Tx Data
1.41898,22,Tx Data
1.41898,24,Tx Data
1.42014,27,Rx Data
1.42291,21,Tx Data
1.42291,29,Tx Data
1.42463,23,Rx Data
1.42463,18,Rx Data
1.42683,20,Tx Data
1.42706,19,Rx Data
1.42768,1,Tx Data
1.42879,27,Tx Data
1.42887,20,Rx Data
1.43272,24,Tx Data
1.43276,22,Rx Data
1.43347,15,Rx Data
1.43468,24,Tx Data
