time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,19.051,6.4745,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94871,0,18.1026,6.94871,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39947,0,19.2011,6.39945,0,20.3766,5.81169,0,20.3766,5.8117,2,21.248,5.37599,1,21.248,5.376,1,22.5642,4.71792,2,22.5641,4.71793
5.2,0,19.051,6.4745,0,18.2733,6.86333,0,18.2733,6.86333,0,18.1026,6.94871,0,18.1026,6.94871,0,18.4312,6.78439,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39947,0,20.3766,5.8117,0,20.3766,5.81169,2,21.248,5.37601,1,21.248,5.37599,1,22.5641,4.71793,2,22.5642,4.71792
10.2,0,19.051,6.47451,0,18.2733,6.86333,0,18.2733,6.86335,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.2479,5.37604,1,21.248,5.376,1,22.5642,4.71791,2,22.5642,4.71792
15.2,0,19.051,6.4745,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,1,21.248,5.376,1,22.5642,4.71792,2,22.5642,4.71792
20.2,0,19.051,6.47452,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.2479,5.37605,1,21.2479,5.37605,1,22.5642,4.71791,2,22.5642,4.71791
25.2,0,19.051,6.4745,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94871,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.2011,6.39945,0,20.3766,5.81169,0,20.3766,5.8117,2,21.2479,5.37605,1,21.248,5.376,1,22.5642,4.71791,2,22.5641,4.71793
30.2,0,19.051,6.47451,0,18.2733,6.86335,0,18.2733,6.86335,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.7844,0,18.4312,6.7844,0,19.201,6.39949,0,19.201,6.39949,0,20.3766,5.8117,0,20.3766,5.8117,2,21.2479,5.37605,1,21.2479,5.37605,1,22.5642,4.71792,2,22.5642,4.71792
35.2,0,19.051,6.47451,0,18.2733,6.86333,0,18.2733,6.86335,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.7844,0,18.4312,6.78439,0,19.2011,6.39947,0,19.2011,6.39946,0,20.3766,5.81168,0,20.3766,5.8117,2,21.2479,5.37603,1,21.248,5.37601,1,22.5642,4.7179,2,22.5641,4.71793
40.2,0,19.051,6.4745,0,18.2733,6.86333,0,18.2733,6.86333,0,18.1026,6.94871,0,18.1026,6.94871,0,18.4312,6.78439,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39947,0,20.3766,5.8117,0,20.3766,5.81169,2,21.248,5.37601,1,21.248,5.37599,1,22.5641,4.71793,2,22.5642,4.71792
45.2,0,19.0509,6.47453,0,18.2733,6.86335,0,18.2733,6.86334,0,18.1025,6.94874,0,18.1025,6.94873,0,18.4311,6.78443,0,18.4312,6.7844,0,19.201,6.3995,0,19.201,6.39951,0,20.3765,5.81175,0,20.3765,5.81173,2,21.2479,5.37605,1,21.2479,5.37603,1,22.5642,4.71791,2,22.5641,4.71794
50.2,0,19.0508,6.47458,0,18.2728,6.86359,0,18.2732,6.86339,0,18.1017,6.94916,0,18.1025,6.94877,0,18.43,6.785,0,18.4311,6.78446,0,19.1996,6.40022,0,19.201,6.39952,0,20.3749,5.81254,0,20.375,5.81251,2,21.2468,5.37659,1,21.2435,5.37827,1,22.5639,4.71803,2,22.5637,4.71813
55.2,0,19.0503,6.47487,0,18.2726,6.86371,0,18.2726,6.86369,0,18.1018,6.9491,0,18.1019,6.94907,0,18.4304,6.78479,0,18.4305,6.78475,0,19.2003,6.39986,0,19.2004,6.39982,0,20.3758,5.81211,0,20.3761,5.81197,2,21.248,5.376,1,21.2479,5.37604,1,22.5641,4.71796,2,22.5533,4.72333
60.2,0,19.0495,6.47523,0,18.2651,6.86743,0,18.2719,6.86403,0,18.0887,6.95564,0,18.101,6.94951,0,18.413,6.79352,0,18.3989,6.80057,0,19.1796,6.41022,0,19.1722,6.41389,0,20.3527,5.82367,0,20.351,5.82448,2,21.2247,5.38766,1,21.2289,5.38555,1,22.544,4.72799,2,22.5568,4.72158
65.2,0,18.9316,6.53419,0,18.0277,6.98616,0,18.1956,6.90221,0,17.7246,7.13772,0,18.0441,6.97797,0,17.9137,7.04317,0,18.2419,6.87907,0,18.5584,6.72081,0,18.627,6.68649,0,19.6223,6.18887,0,19.8384,6.08082,0,21.1076,5.44618,0,21.4378,5.28111,2,22.3729,4.81355,1,22.8668,4.5666
70.2,0,15.6276,8.18622,0,15.1467,8.42666,0,15.2427,8.37865,0,14.9362,8.53188,0,15.2131,8.39347,0,14.9717,8.51413,0,15.4601,8.26993,0,15.2053,8.39736,0,15.6972,8.15142,0,15.5814,8.2093,0,16.955,7.52252,0,16.1133,7.94335,2,18.3006,6.8497,1,17.0597,7.47015,0,25.8216,3.08919
75.2,0,14.5124,8.74379,0,14.1013,8.94937,0,14.1267,8.93667,0,14.0015,8.99925,0,14.0714,8.96429,0,14.1068,8.94658,0,14.225,8.88752,0,14.3972,8.80141,0,14.5002,8.7499,0,14.8735,8.56325,0,15.2641,8.36795,0,15.5494,8.22532,2,15.4623,8.26886,1,16.4927,7.75363,0,23.3609,4.31957
80.2,0,14.7265,8.63674,0,14.2323,8.88385,0,14.3015,8.84926,0,14.0958,8.95209,0,14.2296,8.88519,0,14.2033,8.89837,0,14.3968,8.80159,0,14.5299,8.73505,0,14.8322,8.58389,0,15.0592,8.47039,0,15.3458,8.32709,0,15.7787,8.11063,2,15.8684,8.06581,1,16.7199,7.64006,0,19.5216,6.23922
85.2,0,14.4991,8.75043,0,14.0132,8.99338,0,14.0708,8.9646,0,13.8849,9.05756,0,14.0067,8.99665,0,14.0073,8.99635,0,14.2005,8.89975,0,14.3545,8.82274,0,14.6029,8.69853,0,14.9092,8.5454,0,15.1836,8.40819,0,15.6605,8.16973,2,15.9435,8.02823,1,16.639,7.68049,0,16.0193,7.99035
90.2,0,17.6559,7.17207,0,16.9797,7.51017,0,16.9873,7.50637,0,16.8634,7.56828,0,16.8032,7.59842,0,17.2168,7.3916,0,17.057,7.4715,0,17.9658,7.01711,0,17.7114,7.1443,0,19.1108,6.4446,0,18.9065,6.54676,0,20.6461,5.67697,2,19.9834,6.00831,1,22.4998,4.75009,0,19.1529,6.42356
95.2,0,18.7637,6.61817,0,17.9997,7.00013,0,18.0108,6.9946,0,17.8219,7.08905,0,17.8452,7.0774,0,18.1295,6.93527,0,18.161,6.91948,0,18.8748,6.56259,0,18.8982,6.55091,0,20.0106,5.99469,0,20.0255,5.98724,0,21.5058,5.24712,2,20.8504,5.57482,1,22.1814,4.90932,1,22.7276,4.63619
100.2,0,18.9753,6.51235,0,18.2042,6.89792,0,18.2036,6.8982,0,18.0366,6.98172,0,18.0343,6.98284,0,18.3643,6.81786,0,18.3605,6.81977,0,19.1289,6.43556,0,19.1249,6.43757,0,20.295,5.8525,0,20.2922,5.8539,0,21.1552,5.42242,2,21.1545,5.42277,1,22.4585,4.77077,1,22.4171,4.79146
105.2,0,19.0945,6.45276,0,18.2283,6.88583,0,18.3313,6.83433,0,17.9758,7.01208,0,18.1652,6.91742,0,18.2351,6.88243,0,18.3409,6.82954,0,18.9466,6.52669,0,18.8013,6.59935,0,20.072,5.964,0,20.0258,5.98709,0,20.8803,5.55983,2,21.8368,5.08159,1,22.143,4.92851,1,22.7884,4.60582
110.2,0,16.1511,7.92444,0,15.6886,8.15571,0,15.7361,8.13194,0,15.4929,8.25356,0,15.7017,8.14915,0,15.5417,8.22917,0,15.9581,8.02097,0,15.7816,8.1092,0,16.3157,7.84214,0,16.1931,7.90347,0,17.7607,7.11964,0,16.9036,7.54818,2,23.5416,4.22921,1,18.1847,6.90763,0,23.9601,4.01993
115.2,0,15.2823,8.35885,0,14.8828,8.5586,0,14.8864,8.55681,0,14.792,8.604,0,14.8188,8.59059,0,14.9005,8.54973,0,14.9582,8.5209,0,15.1958,8.4021,0,15.2491,8.37543,0,15.681,8.15948,0,15.9688,8.01562,0,16.3644,7.81779,2,23.3357,4.33216,1,17.3019,7.34903,0,23.8845,4.05774
120.2,0,15.1473,8.42637,0,14.7532,8.62342,0,14.765,8.6175,0,14.6623,8.66883,0,14.6937,8.65313,0,14.7626,8.61871,0,14.8332,8.5834,0,15.0361,8.48197,0,15.1998,8.40008,0,15.4676,8.26618,0,15.5442,8.22789,0,16.0449,7.97754,2,23.9801,4.00995,1,16.8039,7.59806,0,23.946,4.02698
125.2,0,15.1093,8.44533,0,14.7276,8.63622,0,14.7375,8.63126,0,14.643,8.67852,0,14.6631,8.66846,0,14.7469,8.62653,0,14.796,8.60198,0,15.0203,8.48986,0,15.0765,8.46173,0,15.4504,8.27481,0,15.5663,8.21687,0,16.0317,7.98415,2,24.0325,3.98373,1,16.8024,7.59879,0,23.9677,4.01613
130.2,0,15.1059,8.44704,0,14.7248,8.63761,0,14.7357,8.63216,0,14.6403,8.67984,0,14.659,8.67051,0,14.7438,8.6281,0,14.7873,8.60637,0,15.0163,8.49185,0,15.0917,8.45416,0,15.446,8.27698,0,15.5648,8.21759,0,16.0286,7.98568,2,24.1208,3.93961,1,16.8038,7.5981,0,23.9626,4.01871
