FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1910,1908,0.104712%
2,0,7,1910,0,100%
3,1,2,1909,483,74.6988%
4,1,8,1909,0,100%
5,2,3,1907,0,100%
6,2,9,1907,0,100%
7,3,4,1906,0,100%
8,3,10,1906,0,100%
9,4,5,1905,0,100%
10,4,11,1905,0,100%
11,5,6,1904,0,100%
12,5,12,1904,0,100%
13,6,7,1903,0,100%
14,6,13,1903,0,100%
15,7,8,1901,0,100%
16,7,14,1901,0,100%
17,8,9,1900,0,100%
18,8,0,1900,0,100%
19,9,10,1899,0,100%
20,9,1,1899,0,100%
21,10,11,1898,0,100%
22,10,2,1898,0,100%
23,11,12,1896,0,100%
24,11,3,1896,0,100%
25,12,13,1895,0,100%
26,12,4,1895,0,100%
27,13,14,1894,0,100%
28,13,5,1894,0,100%
29,14,0,1893,0,100%
30,14,6,1893,0,100%
