time,nodeId,x,y,z
0,0,0.29,0.347,30
0,1,-16.681,0.347,30
0,2,0.29,-16.624,30
0,3,-33.651,0.347,30
0,4,0.29,-33.595,30
0,5,-50.622,0.347,30
0,6,0.29,-50.565,30
0,7,-67.592,0.347,30
0,8,0.29,-67.536,30
0,9,-84.563,0.347,30
0,10,0.29,-84.506,30
0,11,-101.533,0.347,30
0,12,0.29,-101.477,30
0,13,-118.504,0.347,30
0,14,0.29,-118.447,30
0.2,0,0.792,1.136,30
0.2,1,-16.179,1.136,30
0.2,2,0.792,-15.835,30
0.2,3,-33.149,1.136,30
0.2,4,0.792,-32.805,30
0.2,5,-50.12,1.136,30
0.2,6,0.792,-49.776,30
0.2,7,-67.09,1.136,30
0.2,8,0.792,-66.747,30
0.2,9,-84.061,1.136,30
0.2,10,0.792,-83.717,30
0.2,11,-101.032,1.136,30
0.2,12,0.792,-100.688,30
0.2,13,-118.002,1.136,30
0.2,14,0.792,-117.658,30
0.4,0,1.201,2.067,30
0.4,1,-15.769,2.067,30
0.4,2,1.201,-14.904,30
0.4,3,-32.74,2.067,30
0.4,4,1.201,-31.875,30
0.4,5,-49.71,2.067,30
0.4,6,1.201,-48.845,30
0.4,7,-66.681,2.067,30
0.4,8,1.201,-65.816,30
0.4,9,-83.651,2.067,30
0.4,10,1.201,-82.786,30
0.4,11,-100.622,2.067,30
0.4,12,1.201,-99.757,30
0.4,13,-117.592,2.067,30
0.4,14,1.201,-116.727,30
0.6,0,1.533,3.15,30
0.6,1,-15.438,3.15,30
0.6,2,1.533,-13.82,30
0.6,3,-32.408,3.15,30
0.6,4,1.533,-30.791,30
0.6,5,-49.379,3.15,30
0.6,6,1.533,-47.761,30
0.6,7,-66.349,3.15,30
0.6,8,1.533,-64.732,30
0.6,9,-83.32,3.15,30
0.6,10,1.533,-81.703,30
0.6,11,-100.291,3.15,30
0.6,12,1.533,-98.673,30
0.6,13,-117.261,3.15,30
0.6,14,1.533,-115.644,30
0.8,0,1.799,4.392,30
0.8,1,-15.171,4.392,30
0.8,2,1.799,-12.579,30
0.8,3,-32.142,4.392,30
0.8,4,1.799,-29.549,30
0.8,5,-49.112,4.392,30
0.8,6,1.799,-46.52,30
0.8,7,-66.083,4.392,30
0.8,8,1.799,-63.49,30
0.8,9,-83.053,4.392,30
0.8,10,1.799,-80.461,30
0.8,11,-100.024,4.392,30
0.8,12,1.799,-97.432,30
0.8,13,-116.995,4.392,30
0.8,14,1.799,-114.402,30
1,0,2.014,5.791,30
1,1,-14.957,5.791,30
1,2,2.014,-11.18,30
1,3,-31.927,5.791,30
1,4,2.014,-28.15,30
1,5,-48.898,5.791,30
1,6,2.014,-45.121,30
1,7,-65.868,5.791,30
1,8,2.014,-62.091,30
1,9,-82.839,5.791,30
1,10,2.014,-79.062,30
1,11,-99.81,5.791,30
1,12,2.014,-96.033,30
1,13,-116.78,5.791,30
1,14,2.014,-113.003,30
1.2,0,2.171,7.443,30
1.2,1,-14.799,7.443,30
1.2,2,2.171,-9.528,30
1.2,3,-31.77,7.443,30
1.2,4,2.171,-26.499,30
1.2,5,-48.74,7.443,30
1.2,6,2.171,-43.469,30
1.2,7,-65.711,7.443,30
1.2,8,2.171,-60.44,30
1.2,9,-82.681,7.443,30
1.2,10,2.171,-77.41,30
1.2,11,-99.652,7.443,30
1.2,12,2.171,-94.381,30
1.2,13,-116.623,7.443,30
1.2,14,2.171,-111.351,30
1.4,0,2.281,9.372,30
1.4,1,-14.69,9.372,30
1.4,2,2.281,-7.598,30
1.4,3,-31.66,9.372,30
1.4,4,2.281,-24.569,30
1.4,5,-48.631,9.372,30
1.4,6,2.281,-41.539,30
1.4,7,-65.601,9.372,30
1.4,8,2.281,-58.51,30
1.4,9,-82.572,9.372,30
1.4,10,2.281,-75.481,30
1.4,11,-99.542,9.372,30
1.4,12,2.281,-92.451,30
1.4,13,-116.513,9.372,30
1.4,14,2.281,-109.422,30
1.6,0,2.363,11.513,30
1.6,1,-14.607,11.513,30
1.6,2,2.363,-5.457,30
1.6,3,-31.578,11.513,30
1.6,4,2.363,-22.428,30
1.6,5,-48.548,11.513,30
1.6,6,2.363,-39.398,30
1.6,7,-65.519,11.513,30
1.6,8,2.363,-56.369,30
1.6,9,-82.489,11.513,30
1.6,10,2.363,-73.34,30
1.6,11,-99.46,11.513,30
1.6,12,2.363,-90.31,30
1.6,13,-116.431,11.513,30
1.6,14,2.363,-107.281,30
1.8,0,2.446,13.711,30
1.8,1,-14.525,13.711,30
1.8,2,2.446,-3.26,30
1.8,3,-31.495,13.711,30
1.8,4,2.446,-20.23,30
1.8,5,-48.466,13.711,30
1.8,6,2.446,-37.201,30
1.8,7,-65.436,13.711,30
1.8,8,2.446,-54.171,30
1.8,9,-82.407,13.711,30
1.8,10,2.446,-71.142,30
1.8,11,-99.377,13.711,30
1.8,12,2.446,-88.113,30
1.8,13,-116.348,13.711,30
1.8,14,2.446,-105.083,30
2,0,2.532,15.946,30
2,1,-14.439,15.946,30
2,2,2.532,-1.025,30
2,3,-31.409,15.946,30
2,4,2.532,-17.995,30
2,5,-48.38,15.946,30
2,6,2.532,-34.966,30
2,7,-65.35,15.946,30
2,8,2.532,-51.937,30
2,9,-82.321,15.946,30
2,10,2.532,-68.907,30
2,11,-99.291,15.946,30
2,12,2.532,-85.878,30
2,13,-116.262,15.946,30
2,14,2.532,-102.848,30
2.2,0,2.624,18.199,30
2.2,1,-14.346,18.199,30
2.2,2,2.624,1.229,30
