time,nodeId,x,y,z,node_type
0,0,0.008,0.469,30.006,0
0,1,-11.999,-11.523,30.006,0
0,2,12,-11.539,30.006,0
0,3,-24.006,-23.515,30.006,0
0,4,23.992,-23.547,30.006,0
0,5,-36.013,-35.507,30.006,0
0,6,35.985,-35.554,30.006,0
0,7,-48.035,-47.484,30.005,0
0,8,47.977,-47.562,30.006,0
0,9,-60.038,-59.485,30.004,0
0,10,59.934,-59.599,30.007,0
0,11,-72.04,-71.487,30.004,0
0,12,71.935,-71.602,30.005,0
0,13,-84.042,-83.488,30.003,0
0,14,83.937,-83.604,30.004,0
0.2,0,0.051,1.453,30.035,0
0.2,1,-12.003,-10.48,30.035,0
0.2,2,11.989,-10.608,30.035,0
0.2,3,-24.1,-22.344,30.036,0
0.2,4,23.926,-22.668,30.035,0
0.2,5,-36.136,-34.329,30.031,0
0.2,6,35.762,-34.803,30.039,0
0.2,7,-48.206,-46.266,30.026,0
0.2,8,47.748,-46.84,30.032,0
0.2,9,-60.22,-58.275,30.022,0
0.2,10,59.629,-58.958,30.031,0
0.2,11,-72.229,-70.281,30.018,0
0.2,12,71.637,-70.972,30.025,0
0.2,13,-84.237,-82.287,30.016,0
0.2,14,83.643,-82.982,30.021,0
0.4,0,0.128,2.514,30.086,0
0.4,1,-12.005,-9.316,30.086,0
0.4,2,11.972,-9.641,30.086,0
0.4,3,-24.254,-20.941,30.092,0
0.4,4,23.816,-21.795,30.086,0
0.4,5,-36.354,-32.893,30.078,0
0.4,6,35.375,-34.159,30.102,0
0.4,7,-48.48,-44.8,30.065,0
0.4,8,47.338,-46.262,30.082,0
0.4,9,-60.513,-56.822,30.054,0
0.4,10,59.107,-58.502,30.079,0
0.4,11,-72.537,-68.839,30.046,0
0.4,12,71.126,-70.541,30.063,0
0.4,13,-84.554,-80.851,30.04,0
0.4,14,83.139,-82.566,30.053,0
0.6,0,0.229,3.673,30.156,0
0.6,1,-11.996,-8.028,30.156,0
0.6,2,11.963,-8.6,30.156,0
0.6,3,-24.39,-19.411,30.167,0
0.6,4,23.697,-20.873,30.156,0
0.6,5,-36.623,-31.194,30.153,0
0.6,6,35.007,-33.47,30.181,0
0.6,7,-48.816,-43.081,30.127,0
0.6,8,46.912,-45.667,30.152,0
0.6,9,-60.882,-55.122,30.106,0
0.6,10,58.406,-58.133,30.163,0
0.6,11,-72.928,-67.154,30.091,0
0.6,12,70.404,-70.246,30.134,0
0.6,13,-84.962,-79.179,30.079,0
0.6,14,82.432,-82.311,30.111,0
0.8,0,0.355,4.939,30.245,0
0.8,1,-11.971,-6.615,30.245,0
0.8,2,11.968,-7.471,30.245,0
0.8,3,-24.502,-17.763,30.258,0
0.8,4,23.581,-19.881,30.245,0
0.8,5,-36.915,-29.234,30.258,0
0.8,6,34.671,-32.707,30.276,0
0.8,7,-49.189,-41.108,30.215,0
0.8,8,46.493,-45.021,30.241,0
0.8,9,-61.3,-53.177,30.18,0
0.8,10,57.708,-57.73,30.268,0
0.8,11,-73.379,-65.23,30.154,0
0.8,12,69.518,-70.004,30.245,0
0.8,13,-85.437,-77.271,30.135,0
0.8,14,81.531,-82.159,30.204,0
1,0,0.501,6.317,30.351,0
1,1,-11.928,-5.083,30.351,0
1,2,11.991,-6.239,30.351,0
1,3,-24.582,-16.01,30.366,0
1,4,23.482,-18.795,30.351,0
1,5,-37.188,-27.07,30.389,0
1,6,34.385,-31.836,30.386,0
1,7,-49.563,-38.888,30.334,0
1,8,46.108,-44.282,30.347,0
1,9,-61.736,-50.985,30.281,0
1,10,57.085,-57.222,30.385,0
1,11,-73.859,-63.064,30.242,0
1,12,68.678,-69.682,30.373,0
1,13,-85.95,-75.128,30.212,0
1,14,80.546,-81.988,30.332,0
1.2,0,0.658,7.812,30.469,0
1.2,1,-11.865,-3.439,30.469,0
1.2,2,12.036,-4.886,30.469,0
1.2,3,-24.623,-14.175,30.485,0
1.2,4,23.414,-17.584,30.469,0
1.2,5,-37.388,-24.869,30.526,0
1.2,6,34.172,-30.813,30.506,0
1.2,7,-49.877,-36.493,30.48,0
1.2,8,45.794,-43.391,30.465,0
1.2,9,-62.142,-48.541,30.418,0
1.2,10,56.583,-56.538,30.511,0
1.2,11,-74.328,-60.651,30.36,0
1.2,12,67.985,-69.179,30.507,0
1.2,13,-86.466,-72.74,30.317,0
1.2,14,79.712,-81.64,30.467,0
1.4,0,0.824,9.42,30.597,0
1.4,1,-11.783,-1.692,30.597,0
1.4,2,12.102,-3.411,30.597,0
1.4,3,-24.626,-12.267,30.613,0
1.4,4,23.379,-16.242,30.597,0
1.4,5,-37.519,-22.649,30.667,0
1.4,6,34.028,-29.63,30.635,0
1.4,7,-50.11,-34.082,30.631,0
1.4,8,45.552,-42.337,30.593,0
1.4,9,-62.497,-45.883,30.588,0
1.4,10,56.196,-55.66,30.644,0
1.4,11,-74.767,-57.993,30.513,0
1.4,12,67.435,-68.472,30.648,0
1.4,13,-86.967,-70.113,30.451,0
1.4,14,79.028,-81.086,30.609,0
1.6,0,0.994,11.137,30.731,0
1.6,1,-11.684,0.143,30.731,0
1.6,2,12.189,-1.811,30.731,0
1.6,3,-24.591,-10.31,30.747,0
1.6,4,23.384,-14.759,30.731,0
1.6,5,-37.578,-20.443,30.81,0
1.6,6,33.977,-28.193,30.779,0
1.6,7,-50.252,-31.7,30.781,0
1.6,8,45.407,-41.024,30.738,0
1.6,9,-62.751,-43.225,30.762,0
1.6,10,55.949,-54.518,30.787,0
1.6,11,-75.105,-55.299,30.676,0
1.6,12,67.049,-67.495,30.795,0
1.6,13,-87.372,-67.427,30.599,0
1.6,14,78.518,-80.257,30.76,0
1.8,0,1.162,12.951,30.868,0
1.8,1,-11.57,2.054,30.868,0
1.8,2,12.294,-0.092,30.868,0
1.8,3,-24.52,-8.319,30.884,0
1.8,4,23.439,-13.029,30.884,0
1.8,5,-37.572,-18.267,30.952,0
1.8,6,34.018,-26.479,30.937,0
1.8,7,-50.312,-29.368,30.93,0
1.8,8,45.362,-39.43,30.896,0
1.8,9,-62.902,-40.641,30.93,0
1.8,10,55.836,-53.096,30.938,0
1.8,11,-75.334,-52.659,30.837,0
1.8,12,66.822,-66.236,30.947,0
1.8,13,-87.665,-64.766,30.751,0
1.8,14,78.179,-79.14,30.914,0
2,0,1.328,14.852,31.007,0
2,1,-11.445,4.028,31.007,0
2,2,12.413,1.736,31.007,0
2,3,-24.421,-6.303,31.022,0
