time,phase,connectivity,avg_degree,pdr,throughput_mbps,delay_ms,p99_delay_ms,response_time_sec,recovery_time_sec,stabilization_time_sec,route_change_count,relay_switch_count,control_deadline_miss_count,route_pressure_score,failure_neighborhood_pdr,failure_neighborhood_throughput_mbps,failure_neighborhood_delay_ms,failure_neighborhood_node_count,failure_target_id,is_failure_target_failed,failure_target_pdr,failure_target_throughput_mbps,failure_target_delay_ms,leader_node_id,is_leader_alive,scene_type,operation_mode
0.1,normal,0.657143,9.2,0,0,0,0,nan,nan,nan,90,0,0,0,0,0,0,10,7,false,0,0,0,0,true,urban,cooperative
0.6,normal,0.657143,9.2,0,0,0,0,nan,nan,nan,90,0,0,0,0,0,0,10,7,false,0,0,0,0,true,urban,cooperative
1.1,normal,0.657143,9.2,0,0,0,0,nan,nan,nan,90,0,0,0,0,0,0,10,7,false,0,0,0,0,true,urban,cooperative
1.6,normal,0.657143,9.2,0,0,0,0,nan,nan,nan,90,0,0,0,0,0,0,10,7,false,0,0,0,0,true,urban,cooperative
2.1,normal,0.657143,9.2,0,0,0,0,nan,nan,nan,90,0,0,0,0,0,0,10,7,false,0,0,0,0,true,urban,cooperative
2.6,normal,0.657143,9.2,0.08,0.00280533,2.56307,16.5188,nan,nan,nan,90,0,0,0,0.0866667,0.002104,2.42834,10,7,false,0,0,0,0,true,urban,cooperative
3.1,normal,0.657143,9.2,0.128,0.0137461,3.92028,17.3112,nan,nan,nan,90,0,0,0,0.155333,0.0159904,4.29481,10,7,false,0,0,0,0,true,urban,cooperative
3.6,normal,0.657143,9.2,0.143587,0.0249675,76.6908,181.661,nan,nan,nan,90,0,0,0,0.187381,0.03156,73.4184,10,7,false,0,0,100,0,true,urban,cooperative
4.1,normal,0.657143,9.2,0.138646,0.0333835,71.9914,102.443,nan,nan,nan,90,0,0,0,0.178739,0.04208,66.4467,10,7,false,0,0,100,0,true,urban,cooperative
4.6,normal,0.657143,9.2,0.14173,0.0395552,69.5711,100,nan,nan,nan,90,0,0,0,0.179808,0.0509168,63.0055,10,7,false,0,0,100,0,true,urban,cooperative
5.1,normal,0.657143,9.2,0.138674,0.0417995,69.5948,100,nan,nan,nan,90,0,0,0,0.185918,0.054704,63.1759,10,7,false,0,0,100,0,true,urban,cooperative
5.6,normal,0.657143,9.2,0.125659,0.0392747,72.0325,100,nan,nan,nan,90,0,0,0,0.163736,0.048392,58.8943,10,7,false,0,0,100,0,true,urban,cooperative
6.1,normal,0.657143,9.2,0.118097,0.0392747,72.5522,100,nan,nan,nan,90,0,0,0,0.152821,0.0475504,59.7697,10,7,false,0,0,100,0,true,urban,cooperative
6.6,normal,0.657143,9.2,0.113335,0.0426411,110.094,658.857,nan,nan,nan,90,0,0,0,0.143656,0.0496544,60.3048,10,7,false,0,0,100,0,true,urban,cooperative
7.1,normal,0.657143,9.2,0.107205,0.0432021,84.6423,293.773,nan,nan,nan,90,0,0,0,0.126193,0.0458672,59.778,10,7,false,0,0,100,0,true,urban,cooperative
7.6,normal,0.657143,9.2,0.11526,0.0490933,183.616,1237.61,nan,nan,nan,90,0,0,0,0.120448,0.0488128,60.2298,10,7,false,0.0689655,0.016832,1237.61,0,true,urban,cooperative
8.1,normal,0.657143,9.2,0.10981,0.050496,133.308,995.348,nan,nan,nan,90,0,0,0,0.104844,0.0471296,59.37,10,7,false,0.1,0.02104,995.348,0,true,urban,cooperative
8.6,normal,0.666667,9.33333,0.111378,0.0502155,107.575,831.687,nan,nan,nan,91,0,0,0,0.0974942,0.0443753,56.3418,11,7,false,0.105263,0.025248,831.687,0,true,urban,cooperative
9.1,normal,0.666667,9.33333,0.0990395,0.0457269,52.4791,100,nan,nan,nan,91,0,0,0,0.0761072,0.0367244,56.2922,11,7,false,0.0555556,0.016832,30.3608,0,true,urban,cooperative
9.6,normal,0.67619,9.46667,0.0953183,0.0460075,89.7018,494.761,nan,nan,nan,92,0,0,0,0.0702797,0.0348116,68.7144,11,7,false,0.0963855,0.033664,494.761,0,true,urban,cooperative
10.1,normal,0.67619,9.46667,0.0836708,0.0409579,90.6485,367.13,nan,nan,nan,92,0,0,0,0.0569347,0.0283084,77.7263,11,7,false,0.102804,0.046288,367.13,0,true,urban,cooperative
10.6,normal,0.67619,9.46667,0.0740469,0.0370304,86.4973,264.008,nan,nan,nan,92,0,0,0,0.0464535,0.0241004,80.6208,11,7,false,0.136752,0.067328,264.008,0,true,urban,cooperative
11.1,normal,0.67619,9.46667,0.0801649,0.0406773,94.6961,409.318,nan,nan,nan,92,0,0,0,0.0558841,0.0290735,99.4378,11,7,false,0.240741,0.109408,177.594,0,true,urban,cooperative
11.6,normal,0.67619,9.46667,0.0780679,0.0395552,90.4661,409.318,nan,nan,nan,92,0,0,0,0.0612347,0.0309862,105.707,11,7,false,0.213675,0.1052,34.4427,0,true,urban,cooperative
12.1,normal,0.67619,9.46667,0.080382,0.0417995,99.2067,409.318,nan,nan,nan,94,13,0,0,0.0629287,0.0340465,114.803,11,7,false,0.225,0.113616,52.8427,0,true,urban,cooperative
12.6,normal,0.685714,9.6,0.0841774,0.0443243,72.2081,253.23,nan,nan,nan,100,29,0,20,0.0686003,0.0371069,79.495,11,7,false,0.236842,0.113616,53.8709,0,true,urban,cooperative
13.1,normal,0.704762,9.86667,0.0852139,0.0446048,56.1469,100,nan,nan,nan,102,61,0,0,0.0683895,0.0351942,56.9692,11,7,false,0.204724,0.109408,52.148,0,true,urban,cooperative
13.6,normal,0.714286,10,0.0824466,0.0437632,57.0771,100,nan,nan,nan,103,61,0,0,0.0653992,0.0351942,58.1348,11,7,false,0.192308,0.1052,53.5556,0,true,urban,cooperative
14.1,normal,0.733333,10.2667,0.0789744,0.0423605,66.4061,120.985,nan,nan,nan,111,96,0,1,0.0622378,0.033664,71.952,11,7,false,0.2,0.100992,42.1102,0,true,urban,cooperative
14.6,normal,0.742857,10.4,0.0852154,0.0448853,71.5285,100,nan,nan,nan,114,96,0,1,0.0701049,0.0363418,76.5539,11,7,false,0.184,0.096784,51.0161,0,true,urban,cooperative
15.1,normal,0.742857,10.4,0.0789705,0.0409579,72.2202,100,nan,nan,nan,116,96,0,1,0.0641608,0.0344291,76.2761,11,7,false,0.145455,0.067328,58.5169,0,true,urban,cooperative
15.6,normal,0.742857,10.4,0.0807491,0.0426411,89.3699,218.423,nan,nan,nan,118,96,0,1,0.0731838,0.039976,93.9749,12,7,false,0.117647,0.04208,69.0619,0,true,urban,cooperative
16.1,normal,0.761905,10.6667,0.0886667,0.0454464,83.5311,149.741,nan,nan,nan,120,96,0,0,0.0842949,0.0438333,87.6183,12,7,false,0.08,0.025248,67.1891,0,true,urban,cooperative
16.6,normal,0.752381,10.5333,0.08116,0.0417995,276.086,3035.54,nan,nan,nan,124,112,0,1,0.0800214,0.0424307,333.06,12,7,false,0.0571429,0.016832,17.836,0,true,urban,cooperative
17.1,normal,0.742857,10.4,0.0691453,0.0364693,271.456,3035.54,nan,nan,nan,127,144,0,1,0.0716079,0.0385733,326.499,12,7,false,0.0625,0.02104,30.5899,0,true,urban,cooperative
17.6,normal,0.733333,10.2667,0.0648314,0.0322613,458.7,3043.27,nan,nan,nan,128,144,0,0,0.0689637,0.0343653,313.491,12,7,false,0.0666667,0.029456,44.9863,0,true,urban,cooperative
18.1,normal,0.72381,10.1333,0.0564409,0.0266507,364.766,3043.27,nan,nan,nan,129,144,0,0,0.0511072,0.0233353,206.077,11,7,false,0.0666667,0.033664,54.8296,0,true,urban,cooperative
18.6,normal,0.685714,9.6,0.0536895,0.0260896,163.133,1546.92,nan,nan,nan,134,147,0,5,0.0489316,0.0225702,70.2476,11,7,false,0.05,0.025248,70.7789,0,true,urban,cooperative
19.1,normal,0.647619,9.06667,0.0541168,0.0266507,156.219,1546.92,nan,nan,nan,139,164,0,0,0.0470668,0.0218051,61.9095,11,7,false,0.0615385,0.033664,45.0236,0,true,urban,cooperative
19.6,normal,0.647619,9.06667,0.0554701,0.0272117,57.1827,148.932,nan,nan,nan,139,164,0,0,0.0391932,0.0183622,65.3818,11,7,false,0.1,0.054704,29.1807,0,true,urban,cooperative
20.1,normal,0.647619,9.06667,0.0589031,0.0305781,66.3679,162.37,nan,nan,nan,139,164,0,0,0.0381896,0.0191273,74.4743,11,7,false,0.125,0.06312,18.672,0,true,urban,cooperative
20.6,normal,0.647619,9.06667,0.0557049,0.029456,64.6409,126.624,nan,nan,nan,141,165,0,2,0.0333039,0.016832,72.8116,11,7,false,0.146154,0.079952,18.4906,0,true,urban,cooperative
21.1,normal,0.647619,9.06667,0.0655271,0.0331029,69.2188,171.24,nan,nan,nan,141,165,0,0,0.0436093,0.0214225,78.3544,11,7,false,0.161538,0.088368,20.428,0,true,urban,cooperative
21.6,normal,0.657143,9.2,0.0697803,0.0359083,85.4324,242.791,nan,nan,nan,142,179,0,0,0.0556444,0.0279258,99.2809,11,7,false,0.15,0.075744,27.0508,0,true,urban,cooperative
22.1,normal,0.657143,9.2,0.068133,0.0359083,81.3373,189.461,nan,nan,nan,142,179,0,0,0.0523492,0.0267782,93.8064,11,7,false,0.161538,0.088368,30.4664,0,true,urban,cooperative
22.6,normal,0.666667,9.33333,0.0763069,0.0401163,82.0836,190.761,nan,nan,nan,143,180,0,0,0.059183,0.0313687,94.005,11,7,false,0.176923,0.096784,29.7486,0,true,urban,cooperative
23.1,normal,0.695238,9.73333,0.0755671,0.0398357,90.0622,346.736,nan,nan,nan,147,196,0,20,0.0589902,0.0309862,105.149,11,7,false,0.2,0.100992,29.6398,0,true,urban,cooperative
23.6,normal,0.695238,9.73333,0.0758974,0.0409579,101.528,494.868,nan,nan,nan,147,196,0,0,0.0559441,0.0298385,121.189,11,7,false,0.223077,0.122032,31.5392,0,true,urban,cooperative
24.1,normal,0.714286,10,0.0781624,0.0415189,108.07,575.497,nan,nan,nan,150,212,0,0,0.057634,0.0309862,129.534,11,7,false,0.238462,0.130448,36.8278,0,true,urban,cooperative
24.6,normal,0.714286,10,0.0764103,0.0401163,146.611,1062.31,nan,nan,nan,150,212,0,0,0.0571678,0.0298385,183.301,11,7,false,0.225,0.113616,37.1421,0,true,urban,cooperative
25.1,normal,0.714286,10,0.0828846,0.0437632,85.6997,238.961,nan,nan,nan,150,212,0,0,0.0696678,0.0359593,97.9394,11,7,false,0.161538,0.088368,37.7043,0,true,urban,cooperative
