time,phase,connectivity,avg_degree,pdr,throughput_mbps,delay_ms,p99_delay_ms,response_time_sec,recovery_time_sec,stabilization_time_sec,route_change_count,relay_switch_count,control_deadline_miss_count,route_pressure_score,failure_neighborhood_pdr,failure_neighborhood_throughput_mbps,failure_neighborhood_delay_ms,failure_neighborhood_node_count,failure_target_id,is_failure_target_failed,failure_target_pdr,failure_target_throughput_mbps,failure_target_delay_ms,leader_node_id,is_leader_alive,scene_type,operation_mode
0.1,normal,0.542857,7.6,0,0,0,0,nan,nan,nan,74,0,0,0,0,0,0,9,7,false,0,0,0,0,true,urban,cooperative
0.6,normal,0.542857,7.6,0,0,0,0,nan,nan,nan,74,0,0,0,0,0,0,9,7,false,0,0,0,0,true,urban,cooperative
1.1,normal,0.542857,7.6,0,0,0,0,nan,nan,nan,74,0,0,0,0,0,0,9,7,false,0,0,0,0,true,urban,cooperative
1.6,normal,0.542857,7.6,0,0,0,0,nan,nan,nan,74,0,0,0,0,0,0,9,7,false,0,0,0,0,true,urban,cooperative
2.1,normal,0.542857,7.6,0,0,0,0,nan,nan,nan,74,0,0,0,0,0,0,9,7,false,0,0,0,0,true,urban,cooperative
2.6,normal,0.542857,7.6,0,0,0,0,nan,nan,nan,74,0,0,0,0,0,0,9,7,false,0,0,0,0,true,urban,cooperative
3.1,normal,0.542857,7.6,0,0,0,0,nan,nan,nan,74,0,0,0,0,0,0,9,7,false,0,0,0,0,true,urban,cooperative
3.6,normal,0.542857,7.6,0,0,100,100,nan,nan,nan,74,0,0,0,0,0,100,9,7,false,0,0,100,0,true,urban,cooperative
4.1,normal,0.542857,7.6,0,0,100,100,nan,nan,nan,74,0,0,0,0,0,100,9,7,false,0,0,100,0,true,urban,cooperative
4.6,normal,0.542857,7.6,0.0304762,0.00224427,127.306,553.016,nan,nan,nan,74,0,0,0,0.00634921,0.00187022,150.335,9,7,false,0.4,0.016832,56.5737,0,true,urban,cooperative
5.1,normal,0.542857,7.6,0.0238431,0.00448853,105.176,229.951,nan,nan,nan,74,0,0,0,0.0130719,0.00467556,114.439,9,7,false,0.24,0.025248,47.6861,0,true,urban,cooperative
5.6,normal,0.542857,7.6,0.0290058,0.00785493,98.5063,146.964,nan,nan,nan,74,0,0,0,0.0187135,0.00748089,105.218,9,7,false,0.266667,0.050496,30.6313,0,true,urban,cooperative
6.1,normal,0.542857,7.6,0.0316667,0.0115019,95.3724,100,nan,nan,nan,74,0,0,0,0.0231481,0.0116889,99.9854,9,7,false,0.266667,0.067328,30.7169,0,true,urban,cooperative
6.6,normal,0.542857,7.6,0.0320855,0.0120629,214.745,2092.61,nan,nan,nan,74,0,0,0,0.0275499,0.0135591,299.682,9,7,false,0.233333,0.058912,24.0392,0,true,urban,cooperative
7.1,normal,0.542857,7.6,0.034761,0.0129045,213.402,2092.61,nan,nan,nan,74,0,0,0,0.0340033,0.0149618,297.23,9,7,false,0.215385,0.058912,25.9644,0,true,urban,cooperative
7.6,normal,0.542857,7.6,0.0339095,0.0145877,293.495,2092.61,nan,nan,nan,74,0,0,0,0.0378949,0.0187022,418.371,9,7,false,0.138462,0.037872,32.6827,0,true,urban,cooperative
8.1,normal,0.542857,7.6,0.0410859,0.0182347,286.134,2092.61,nan,nan,nan,74,0,0,0,0.0437291,0.0233778,418.67,9,7,false,0.15,0.037872,31.1235,0,true,urban,cooperative
8.6,normal,0.542857,7.6,0.0455916,0.0199179,130.366,902.042,nan,nan,nan,74,0,0,0,0.0498892,0.0247804,165.177,9,7,false,0.106667,0.033664,27.0611,0,true,urban,cooperative
9.1,normal,0.542857,7.6,0.0432099,0.0201984,109.198,725.039,nan,nan,nan,74,0,0,0,0.0466445,0.0247804,145.696,9,7,false,0.0666667,0.025248,23.5131,0,true,urban,cooperative
9.6,normal,0.542857,7.6,0.0455461,0.0227232,135.064,833.348,nan,nan,nan,74,0,0,0,0.0541311,0.0289884,106.968,9,7,false,0.05,0.02104,20.4691,0,true,urban,cooperative
10.1,normal,0.542857,7.6,0.047276,0.0232843,107.743,429.893,nan,nan,nan,74,0,0,0,0.0624723,0.0313262,104.595,9,7,false,0.008,0.004208,22.2915,0,true,urban,cooperative
10.6,normal,0.542857,7.6,0.0473219,0.0241259,109.981,332.565,nan,nan,nan,74,0,0,0,0.0628838,0.0327289,106.597,9,7,false,0,0,100,0,true,urban,cooperative
11.1,normal,0.542857,7.6,0.0573029,0.0297365,92.3279,276.585,nan,nan,nan,74,0,0,0,0.0713833,0.037872,89.0179,9,7,false,0.0333333,0.016832,38.814,0,true,urban,cooperative
11.6,normal,0.542857,7.6,0.0608262,0.0305781,68.5489,100,nan,nan,nan,74,0,0,0,0.0783001,0.0392747,65.7744,9,7,false,0.0538462,0.029456,34.6183,0,true,urban,cooperative
12.1,normal,0.542857,7.6,0.0674382,0.0347861,68.9434,100,nan,nan,nan,74,0,0,0,0.0823497,0.0430151,67.3891,9,7,false,0.0846154,0.046288,33.2206,0,true,urban,cooperative
