time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,0,23,6,8,-80.6825,-20.4284
0.1,1,2,23,6,9,-81.0394,-20.8503
0.1,2,1,23,6,9,-81.0394,-20.8503
0.1,3,0,23,6,10,-80.1297,-24.7553
0.1,4,2,23,6,10,-80.1297,-24.7553
0.1,5,1,23,6,10,-80.1431,-24.0182
0.1,6,0,23,6,10,-80.1431,-24.0182
0.1,7,2,23,6,9,-80.6257,-24.982
0.1,8,1,23,6,9,-80.6257,-24.982
0.1,9,0,23,6,6,-81.5018,-21.4235
0.1,10,2,23,6,6,-81.5018,-21.4235
0.1,11,1,23,6,5,-82.0155,-20.7845
0.1,12,0,23,6,5,-82.0155,-20.7845
0.1,13,2,23,6,4,-82.3243,-20.6086
0.1,14,1,23,6,4,-82.3243,-20.6086
0.2,0,0,23,6,8,-80.6824,-20.4284
0.2,1,2,23,6,9,-81.0393,-20.8503
0.2,2,1,23,6,9,-81.0393,-20.8503
0.2,3,0,23,6,10,-80.1296,-24.7554
0.2,4,2,23,6,10,-80.1296,-24.7554
0.2,5,1,23,6,10,-80.143,-24.0186
0.2,6,0,23,6,10,-80.143,-24.0186
0.2,7,2,23,6,9,-80.6256,-24.9821
0.2,8,1,23,6,9,-80.6256,-24.9821
0.2,9,0,23,6,6,-81.5017,-21.4235
0.2,10,2,23,6,6,-81.5017,-21.4235
0.2,11,1,23,6,5,-82.0153,-20.7836
0.2,12,0,23,6,5,-82.0153,-20.7836
0.2,13,2,23,6,4,-82.3241,-20.6093
0.2,14,1,23,6,4,-82.3241,-20.6093
0.3,0,0,23,6,8,-80.6821,-20.4274
0.3,1,2,23,6,9,-81.0392,-20.8493
0.3,2,1,23,6,9,-81.0392,-20.8493
0.3,3,0,23,6,10,-80.1295,-24.7551
0.3,4,2,23,6,10,-80.1295,-24.7551
0.3,5,1,23,6,10,-80.1428,-24.0186
0.3,6,0,23,6,10,-80.1428,-24.0186
0.3,7,2,23,6,9,-80.6253,-24.9819
0.3,8,1,23,6,9,-80.6253,-24.9819
0.3,9,0,23,6,6,-81.5015,-21.4235
0.3,10,2,23,6,6,-81.5015,-21.4235
0.3,11,1,23,6,5,-82.0153,-20.7845
0.3,12,0,23,6,5,-82.0153,-20.7845
0.3,13,2,23,6,4,-82.3241,-20.6086
0.3,14,1,23,6,4,-82.3241,-20.6086
0.4,0,0,23,6,8,-80.6821,-20.4284
0.4,1,2,23,6,9,-81.039,-20.8503
0.4,2,1,23,6,9,-81.039,-20.8503
0.4,3,0,23,6,10,-80.1294,-24.7554
0.4,4,2,23,6,10,-80.1294,-24.7554
0.4,5,1,23,6,10,-80.1427,-24.0186
0.4,6,0,23,6,10,-80.1427,-24.0186
0.4,7,2,23,6,9,-80.6253,-24.9821
0.4,8,1,23,6,9,-80.6253,-24.9821
0.4,9,0,23,6,6,-81.5014,-21.4235
0.4,10,2,23,6,6,-81.5014,-21.4235
0.4,11,1,23,6,5,-82.015,-20.7836
0.4,12,0,23,6,5,-82.015,-20.7836
0.4,13,2,23,6,4,-82.3239,-20.6093
0.4,14,1,23,6,4,-82.3239,-20.6093
0.5,0,0,23,6,8,-80.6819,-20.4284
0.5,1,2,23,6,9,-81.0389,-20.8503
0.5,2,1,23,6,9,-81.0389,-20.8503
0.5,3,0,23,6,10,-80.1292,-24.7554
0.5,4,2,23,6,10,-80.1292,-24.7554
0.5,5,1,23,6,10,-80.1425,-24.0186
0.5,6,0,23,6,10,-80.1425,-24.0186
0.5,7,2,23,6,9,-80.6251,-24.9821
0.5,8,1,23,6,9,-80.6251,-24.9821
0.5,9,0,23,6,6,-81.5012,-21.4235
0.5,10,2,23,6,6,-81.5012,-21.4235
0.5,11,1,23,6,5,-82.0149,-20.7836
0.5,12,0,23,6,5,-82.0149,-20.7836
0.5,13,2,23,6,4,-82.3237,-20.6093
0.5,14,1,23,6,4,-82.3237,-20.6093
0.6,0,0,23,6,8,-80.6817,-20.4284
0.6,1,2,23,6,9,-81.0387,-20.8503
0.6,2,1,23,6,9,-81.0387,-20.8503
0.6,3,0,23,6,10,-80.129,-24.7553
0.6,4,2,23,6,10,-80.129,-24.7553
0.6,5,1,23,6,10,-80.1423,-24.0182
0.6,6,0,23,6,10,-80.1423,-24.0182
0.6,7,2,23,6,9,-80.6249,-24.982
0.6,8,1,23,6,9,-80.6249,-24.982
0.6,9,0,23,6,6,-81.501,-21.4235
0.6,10,2,23,6,6,-81.501,-21.4235
0.6,11,1,23,6,5,-82.0147,-20.7845
0.6,12,0,23,6,5,-82.0147,-20.7845
0.6,13,2,23,6,4,-82.3235,-20.6086
0.6,14,1,23,6,4,-82.3235,-20.6086
0.7,0,0,23,6,8,-80.6814,-20.4274
0.7,1,2,23,6,9,-81.0384,-20.8493
0.7,2,1,23,6,9,-81.0384,-20.8493
0.7,3,0,23,6,10,-80.1287,-24.7551
0.7,4,2,23,6,10,-80.1287,-24.7551
0.7,5,1,23,6,10,-80.142,-24.0186
0.7,6,0,23,6,10,-80.142,-24.0186
0.7,7,2,23,6,9,-80.6245,-24.9815
0.7,8,1,23,6,9,-80.6245,-24.9815
0.7,9,0,23,6,6,-81.5008,-21.4245
0.7,10,2,23,6,6,-81.5008,-21.4245
0.7,11,1,23,6,5,-82.0144,-20.7836
0.7,12,0,23,6,5,-82.0144,-20.7836
0.7,13,2,23,6,4,-82.3233,-20.6085
0.7,14,1,23,6,4,-82.3233,-20.6085
0.8,0,0,23,6,8,-80.681,-20.4274
0.8,1,2,23,6,9,-81.0381,-20.8493
0.8,2,1,23,6,9,-81.0381,-20.8493
0.8,3,0,23,6,10,-80.1283,-24.7547
0.8,4,2,23,6,10,-80.1283,-24.7547
0.8,5,1,23,6,10,-80.1416,-24.0183
0.8,6,0,23,6,10,-80.1416,-24.0183
0.8,7,2,23,6,9,-80.6241,-24.9819
0.8,8,1,23,6,9,-80.6241,-24.9819
0.8,9,0,23,6,6,-81.5005,-21.4245
0.8,10,2,23,6,6,-81.5005,-21.4245
0.8,11,1,23,6,5,-82.014,-20.7836
0.8,12,0,23,6,5,-82.014,-20.7836
0.8,13,2,23,6,4,-82.323,-20.6095
0.8,14,1,23,6,4,-82.323,-20.6095
0.9,0,0,23,6,8,-80.6807,-20.4274
0.9,1,2,23,6,9,-81.0377,-20.8493
0.9,2,1,23,6,9,-81.0377,-20.8493
0.9,3,0,23,6,10,-80.1281,-24.7551
0.9,4,2,23,6,10,-80.1281,-24.7551
0.9,5,1,23,6,10,-80.1414,-24.0186
0.9,6,0,23,6,10,-80.1414,-24.0186
0.9,7,2,23,6,9,-80.6239,-24.9819
0.9,8,1,23,6,9,-80.6239,-24.9819
0.9,9,0,23,6,6,-81.5001,-21.4235
0.9,10,2,23,6,6,-81.5001,-21.4235
0.9,11,1,23,6,5,-82.0137,-20.7843
0.9,12,0,23,6,5,-82.0137,-20.7843
0.9,13,2,23,6,4,-82.3227,-20.6086
0.9,14,1,23,6,4,-82.3227,-20.6086
1,0,0,23,6,8,-80.6803,-20.4274
1,1,2,23,6,9,-81.0374,-20.8493
1,2,1,23,6,9,-81.0374,-20.8493
1,3,0,23,6,10,-80.1277,-24.7551
1,4,2,23,6,10,-80.1277,-24.7551
