FlowId,Src,Dest,Tx,Rx,LossRate
1,10,11,2365,10,99.5772%
2,10,2,2504,10,99.6006%
3,1,2,2853,489,82.8601%
4,13,5,1892,0,100%
5,8,0,2656,8,99.6988%
6,0,1,2881,19,99.3405%
7,14,6,2496,14,99.4391%
8,9,1,2563,41,98.4003%
9,11,12,2592,11,99.5756%
10,8,9,2816,90,96.804%
11,5,12,2305,119,94.8373%
12,3,4,2551,11,99.5688%
13,2,9,2786,474,82.9864%
14,0,7,2435,35,98.5626%
15,7,14,2244,68,96.9697%
16,6,7,2407,15,99.3768%
17,5,6,2658,2,99.9248%
18,3,10,2369,35,98.5226%
19,12,4,2225,14,99.3708%
20,1,8,2663,3,99.8873%
21,4,5,2496,15,99.399%
22,2,3,2785,796,71.4183%
23,14,0,2664,118,95.5706%
24,13,14,1555,112,92.7974%
25,11,3,2496,500,79.9679%
26,6,13,2158,98,95.4588%
27,4,11,2195,9,99.59%
28,9,10,1995,39,98.0451%
29,7,8,2241,48,97.8581%
30,12,13,1741,0,100%
