time,node_id,slot_id,num_groups,packets_per_slot,bonus_slots,urgency
6.5,0,14,15,9,none,0.4
6.5,1,13,15,10,none,0.630504
6.5,2,12,15,10,none,0.774787
6.5,3,11,15,10,none,0.992296
6.5,4,10,15,9,none,0.4
6.5,5,9,15,9,none,0.4
6.5,6,8,15,9,none,0.4
6.5,7,7,15,10,none,0.624353
6.5,8,6,15,9,none,0.4
6.5,9,5,15,9,none,0.4
6.5,10,4,15,9,none,0.4
6.5,11,3,15,9,none,0.4
6.5,12,2,15,9,none,0.4
6.5,13,1,15,9,none,0.4
6.5,14,0,15,9,none,0.4
11.5,0,14,15,8,none,0.4
11.5,1,13,15,10,none,0.642118
11.5,2,12,15,10,none,0.534472
11.5,3,11,15,8,none,0.4
11.5,4,10,15,8,none,0.4
11.5,5,9,15,8,none,0.4
11.5,6,8,15,10,none,0.768479
11.5,7,7,15,10,none,0.749765
11.5,8,6,15,8,none,0.4
11.5,9,5,15,10,none,0.768479
11.5,10,4,15,8,none,0.4
11.5,11,3,15,10,none,0.681464
11.5,12,2,15,8,none,0.4
11.5,13,1,15,10,none,0.766133
11.5,14,0,15,10,none,0.689931
16.5,0,14,15,9,none,0.4
16.5,1,13,15,9,none,0.4
16.5,2,12,15,10,none,0.505766
16.5,3,11,15,9,none,0.4
16.5,4,10,15,9,none,0.4
16.5,5,9,15,10,none,0.79058
16.5,6,8,15,10,none,0.753774
16.5,7,7,15,9,none,0.4
16.5,8,6,15,9,none,0.4
16.5,9,5,15,9,none,0.4
16.5,10,4,15,9,none,0.4
16.5,11,3,15,10,none,0.670824
16.5,12,2,15,9,none,0.4
16.5,13,1,15,9,none,0.4
16.5,14,0,15,9,none,0.4
21.5,0,14,15,10,none,0.740732
21.5,1,13,15,10,none,0.740732
21.5,2,12,15,10,none,0.753774
21.5,3,11,15,8,none,0.4
21.5,4,10,15,8,none,0.4
21.5,5,9,15,10,none,0.792824
21.5,6,8,15,8,none,0.4
21.5,7,7,15,8,none,0.4
21.5,8,6,15,10,none,0.776359
21.5,9,5,15,8,none,0.4
21.5,10,4,15,8,none,0.4
21.5,11,3,15,10,none,0.670824
21.5,12,2,15,10,none,0.776359
21.5,13,1,15,10,none,0.760598
21.5,14,0,15,8,none,0.4
26.5,0,14,15,10,none,0.778471
26.5,1,13,15,8,none,0.4
26.5,2,12,15,10,none,0.670824
26.5,3,11,15,8,none,0.4
26.5,4,10,15,8,none,0.4
26.5,5,9,15,10,none,0.742588
26.5,6,8,15,10,none,0.729919
26.5,7,7,15,10,none,0.78561
26.5,8,6,15,10,none,0.904296
26.5,9,5,15,10,none,0.77529
26.5,10,4,15,10,none,0.73406
26.5,11,3,15,10,none,0.692139
26.5,12,2,15,8,none,0.4
26.5,13,1,15,8,none,0.4
26.5,14,0,15,8,none,0.4
31.5,RECOLOR,15,150
36.5,0,14,15,10,none,0.784591
36.5,1,13,15,8,none,0.4
36.5,2,12,15,10,none,0.56887
36.5,3,11,15,10,none,0.941732
36.5,4,10,15,8,none,0.4
36.5,5,9,15,8,none,0.4
36.5,6,8,15,8,none,0.4
36.5,7,7,15,10,none,0.992824
36.5,8,6,15,10,none,0.760409
36.5,9,5,15,8,none,0.4
36.5,10,4,15,8,none,0.4
36.5,11,3,15,8,none,0.4
36.5,12,2,15,8,none,0.4
36.5,13,1,15,10,none,0.583819
36.5,14,0,15,10,none,0.756941
41.5,0,14,15,9,none,0.4
41.5,1,13,15,10,none,0.77372
41.5,2,12,15,10,none,0.560382
41.5,3,11,15,9,none,0.4
41.5,4,10,15,9,none,0.4
41.5,5,9,15,9,none,0.4
41.5,6,8,15,10,none,0.912398
41.5,7,7,15,9,none,0.4
41.5,8,6,15,10,none,0.764118
41.5,9,5,15,10,none,0.764959
41.5,10,4,15,9,none,0.4
41.5,11,3,15,10,none,0.611599
41.5,12,2,15,9,none,0.4
41.5,13,1,15,9,none,0.4
41.5,14,0,15,9,none,0.4
46.5,0,14,15,9,none,0.4
46.5,1,13,15,10,none,0.613413
46.5,2,12,15,10,none,0.985647
46.5,3,11,15,9,none,0.4
46.5,4,10,15,9,none,0.4
46.5,5,9,15,10,none,0.681464
46.5,6,8,15,9,none,0.4
46.5,7,7,15,10,none,0.732265
46.5,8,6,15,9,none,0.4
46.5,9,5,15,10,none,0.730661
46.5,10,4,15,9,none,0.4
46.5,11,3,15,10,none,0.57753
46.5,12,2,15,9,none,0.4
46.5,13,1,15,9,none,0.4
46.5,14,0,15,9,none,0.4
51.5,0,14,15,9,none,0.4
51.5,1,13,15,10,none,0.645913
51.5,2,12,15,10,none,0.685456
51.5,3,11,15,9,none,0.4
51.5,4,10,15,9,none,0.4
51.5,5,9,15,10,none,0.749765
51.5,6,8,15,9,none,0.4
51.5,7,7,15,9,none,0.4
51.5,8,6,15,9,none,0.4
51.5,9,5,15,9,none,0.4
51.5,10,4,15,9,none,0.4
51.5,11,3,15,10,none,0.634942
51.5,12,2,15,9,none,0.4
51.5,13,1,15,10,none,0.768479
51.5,14,0,15,9,none,0.4
56.5,RECOLOR,15,150
61.5,RECOLOR,15,150
66.5,0,14,15,9,none,0.4
66.5,1,13,15,10,none,0.845913
66.5,2,12,15,10,none,0.653304
66.5,3,11,15,9,none,0.4
66.5,4,10,15,10,none,0.969183
66.5,5,9,15,9,none,0.4
66.5,6,8,15,9,none,0.4
66.5,7,7,15,9,none,0.4
66.5,8,6,15,10,none,0.893517
66.5,9,5,15,9,none,0.4
66.5,10,4,15,9,none,0.4
66.5,11,3,15,9,none,0.4
66.5,12,2,15,9,none,0.4
66.5,13,1,15,9,none,0.4
66.5,14,0,15,10,none,0.785647
71.5,0,14,15,9,none,0.4
71.5,1,13,15,10,none,0.906706
71.5,2,12,15,10,none,0.662707
