time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,19.051,6.47449,0,18.2734,6.86332,0,18.2734,6.86332,0,18.1026,6.9487,0,18.1026,6.9487,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.376,1,21.248,5.376,1,22.5641,4.71793,2,22.5641,4.71793
5.2,0,19.051,6.47451,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.37602,1,21.248,5.37602,1,22.5642,4.71792,2,22.5642,4.71792
10.2,0,19.0509,6.47454,0,18.2733,6.86335,0,18.2733,6.86335,0,18.1025,6.94873,0,18.1025,6.94873,0,18.4312,6.78441,0,18.4312,6.78441,0,19.201,6.39949,0,19.201,6.39949,0,20.3766,5.81172,0,20.3766,5.81172,2,21.2479,5.37604,1,21.2479,5.37604,1,22.5642,4.71791,2,22.5642,4.71791
15.2,0,19.051,6.4745,0,18.2733,6.86333,0,18.2733,6.86333,0,18.1026,6.94871,0,18.1026,6.94871,0,18.4312,6.78439,0,18.4312,6.78439,0,19.2011,6.39946,0,19.2011,6.39946,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.37602,1,21.248,5.37602,1,22.5642,4.71792,2,22.5642,4.71792
20.2,0,19.1231,6.43847,0,18.2945,6.85275,0,18.335,6.8325,0,18.137,6.93148,0,18.1533,6.92336,0,18.4764,6.7618,0,18.4729,6.76356,0,19.2539,6.37307,0,19.2353,6.38236,0,20.4351,5.78247,0,20.4048,5.79761,2,21.3102,5.34491,1,21.2661,5.36697,1,22.6272,4.68641,2,22.5741,4.71296
25.2,0,18.9175,6.54123,0,18.2332,6.88341,0,18.1595,6.92024,0,18.0384,6.98078,0,18.0088,6.99558,0,18.3467,6.82665,0,18.354,6.82302,0,19.1021,6.44897,0,19.1372,6.43139,0,20.267,5.86648,0,20.3238,5.83809,2,21.1313,5.43435,1,21.2136,5.3932,1,22.4461,4.77694,2,22.545,4.72748
30.2,0,19.2238,6.38811,0,18.3554,6.8223,0,18.426,6.78702,0,18.2034,6.89831,0,18.2324,6.88378,0,18.5726,6.71372,0,18.5412,6.72941,0,19.3608,6.3196,0,19.2942,6.3529,0,20.5497,5.72513,0,20.4556,5.77222,2,21.4299,5.28506,1,21.3013,5.34935,1,22.7476,4.62622,2,22.5956,4.7022
35.2,0,19.0811,6.45945,0,18.0787,6.96066,0,19.2832,6.35842,0,17.5996,7.20019,0,18.6831,6.65843,0,17.6444,7.17779,0,17.2839,7.35805,0,18.1975,6.90123,0,18.1455,6.92726,0,19.2221,6.38894,0,19.5755,6.21226,2,19.8798,6.06009,0,21.1005,5.44975,1,21.7597,5.12014,1,23.9137,4.04316
40.2,0,19.4243,6.28784,0,19.0387,6.48067,0,19.7726,6.1137,0,18.2832,6.85839,0,21.5801,5.20996,0,18.0784,6.96078,0,21.5706,5.21472,0,18.7387,6.63067,0,23.1052,4.44738,0,19.462,6.26902,0,23.9295,4.03526,2,20.6798,5.66011,0,23.7363,4.13187,1,22.2009,4.89955,1,23.9274,4.03629
45.2,0,20.2186,5.89068,0,19.6336,6.18318,0,20.2953,5.85236,0,18.8448,6.57761,0,20.7027,5.64864,0,18.3755,6.81224,0,19.3665,6.31675,0,17.9651,7.01744,0,21.3606,5.31968,0,19.1558,6.4221,0,23.3122,4.34391,2,19.1634,6.41829,0,24.0261,3.98695,1,19.9767,6.01167,1,26.2164,2.89182
50.2,0,19.7804,6.10979,0,18.582,6.70902,0,19.2908,6.35459,0,17.9275,7.03626,0,19.4004,6.29979,0,16.6754,7.66228,0,18.2561,6.87194,0,17.2454,7.37728,0,19.196,6.40202,0,17.4743,7.26286,0,20.9122,5.54389,2,19.1312,6.43442,0,20.4536,5.77322,1,20.3296,5.83522,1,26.4432,2.77838
55.2,0,18.2587,6.87063,0,18.1716,6.91421,0,19.6001,6.19997,0,19.5243,6.23784,0,21.0392,5.48041,0,17.8996,7.05018,0,20.9745,5.51275,0,17.9516,7.02418,0,22.6902,4.65491,0,18.5275,6.73624,0,22.6192,4.69038,2,19.4182,6.29091,0,23.3596,4.32021,1,21.6923,5.15383,1,27.0264,2.48679
60.2,0,18.7957,6.60215,0,17.7638,7.11808,0,17.4778,7.2611,0,18.7897,6.60515,0,18.2151,6.89244,0,17.3437,7.32816,0,18.6805,6.65975,0,18.4244,6.7878,0,23.2775,4.36127,0,18.396,6.80202,0,22.3811,4.80947,2,20.103,5.94852,0,24.1103,3.94483,1,21.1973,5.40136,1,24.4369,3.78154
