FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,933,909,2.57235%
2,0,7,933,0,100%
3,1,2,932,0,100%
4,1,8,932,0,100%
5,2,3,931,0,100%
6,2,9,931,0,100%
7,3,4,930,0,100%
8,3,10,930,0,100%
9,4,5,928,0,100%
10,4,11,928,0,100%
11,5,6,927,0,100%
12,5,12,927,0,100%
13,6,7,926,0,100%
14,6,13,926,0,100%
15,7,8,925,0,100%
16,7,14,925,0,100%
17,8,9,924,0,100%
18,8,0,924,0,100%
19,9,10,922,0,100%
20,9,1,922,0,100%
21,10,11,921,0,100%
22,10,2,921,0,100%
23,11,12,920,0,100%
24,11,3,920,0,100%
25,12,13,919,0,100%
26,12,4,919,0,100%
27,13,14,917,0,100%
28,13,5,917,0,100%
29,14,0,916,0,100%
30,14,6,916,0,100%
