time,num_links,connectivity
time,num_links,connectivity
0,102,0.971429
0.2,102,0.971429
0.4,102,0.971429
0.6,102,0.971429
0.8,102,0.971429
1,102,0.971429
1.2,102,0.971429
1.4,102,0.971429
1.6,102,0.971429
1.8,102,0.971429
2,102,0.971429
2.2,102,0.971429
2.4,102,0.971429
2.6,102,0.971429
2.8,102,0.971429
3,102,0.971429
3.2,102,0.971429
3.4,102,0.971429
3.6,102,0.971429
3.8,102,0.971429
4,102,0.971429
4.2,102,0.971429
4.4,102,0.971429
4.6,102,0.971429
4.8,102,0.971429
5,102,0.971429
5.2,102,0.971429
5.4,102,0.971429
5.6,102,0.971429
5.8,102,0.971429
6,102,0.971429
6.2,102,0.971429
6.4,102,0.971429
6.6,102,0.971429
6.8,102,0.971429
7,102,0.971429
7.2,102,0.971429
7.4,102,0.971429
7.6,102,0.971429
7.8,102,0.971429
8,102,0.971429
8.2,102,0.971429
8.4,102,0.971429
8.6,102,0.971429
8.8,102,0.971429
9,102,0.971429
9.2,102,0.971429
9.4,102,0.971429
9.6,102,0.971429
9.8,102,0.971429
10,102,0.971429
10.2,102,0.971429
10.4,102,0.971429
10.6,102,0.971429
10.8,102,0.971429
11,102,0.971429
11.2,102,0.971429
11.4,102,0.971429
11.6,102,0.971429
11.8,102,0.971429
12,102,0.971429
12.2,102,0.971429
12.4,102,0.971429
12.6,102,0.971429
12.8,102,0.971429
13,102,0.971429
13.2,102,0.971429
13.4,102,0.971429
13.6,102,0.971429
13.8,102,0.971429
14,102,0.971429
14.2,102,0.971429
14.4,102,0.971429
14.6,102,0.971429
14.8,102,0.971429
15,102,0.971429
15.2,102,0.971429
15.4,102,0.971429
15.6,102,0.971429
15.8,102,0.971429
16,102,0.971429
16.2,102,0.971429
16.4,102,0.971429
16.6,102,0.971429
16.8,102,0.971429
17,102,0.971429
17.2,102,0.971429
17.4,102,0.971429
17.6,102,0.971429
17.8,102,0.971429
18,102,0.971429
18.2,102,0.971429
18.4,102,0.971429
18.6,102,0.971429
18.8,102,0.971429
19,102,0.971429
19.2,102,0.971429
19.4,102,0.971429
19.6,102,0.971429
19.8,102,0.971429
20,102,0.971429
20.2,102,0.971429
20.4,102,0.971429
20.6,102,0.971429
20.8,102,0.971429
21,102,0.971429
21.2,102,0.971429
21.4,102,0.971429
21.6,102,0.971429
21.8,102,0.971429
22,102,0.971429
22.2,102,0.971429
22.4,102,0.971429
22.6,102,0.971429
22.8,102,0.971429
23,102,0.971429
23.2,102,0.971429
23.4,102,0.971429
23.6,102,0.971429
23.8,102,0.971429
24,102,0.971429
24.2,102,0.971429
24.4,102,0.971429
24.6,102,0.971429
24.8,102,0.971429
25,102,0.971429
25.2,102,0.971429
25.4,102,0.971429
25.6,102,0.971429
25.8,102,0.971429
26,102,0.971429
26.2,102,0.971429
26.4,102,0.971429
26.6,102,0.971429
26.8,102,0.971429
27,102,0.971429
27.2,102,0.971429
27.4,102,0.971429
27.6,102,0.971429
27.8,102,0.971429
28,102,0.971429
28.2,102,0.971429
28.4,102,0.971429
28.6,102,0.971429
28.8,102,0.971429
29,102,0.971429
29.2,102,0.971429
29.4,102,0.971429
29.6,102,0.971429
29.8,102,0.971429
30,102,0.971429
30.2,102,0.971429
30.4,102,0.971429
30.6,102,0.971429
30.8,102,0.971429
31,102,0.971429
31.2,102,0.971429
31.4,102,0.971429
31.6,102,0.971429
31.8,102,0.971429
32,102,0.971429
32.2,102,0.971429
32.4,102,0.971429
32.6,102,0.971429
32.8,102,0.971429
33,102,0.971429
33.2,102,0.971429
33.4,102,0.971429
33.6,103,0.980952
33.8,103,0.980952
34,103,0.980952
34.2,103,0.980952
34.4,103,0.980952
34.6,103,0.980952
34.8,103,0.980952
35,103,0.980952
35.2,103,0.980952
35.4,103,0.980952
35.6,103,0.980952
35.8,103,0.980952
36,103,0.980952
36.2,102,0.971429
36.4,102,0.971429
36.6,102,0.971429
36.8,101,0.961905
37,100,0.952381
37.2,99,0.942857
37.4,98,0.933333
37.6,96,0.914286
37.8,96,0.914286
38,95,0.904762
38.2,95,0.904762
38.4,94,0.895238
38.6,92,0.87619
38.8,92,0.87619
39,92,0.87619
39.2,92,0.87619
39.4,90,0.857143
39.6,90,0.857143
39.8,90,0.857143
40,90,0.857143
40.2,90,0.857143
40.4,90,0.857143
40.6,90,0.857143
40.8,89,0.847619
41,87,0.828571
41.2,87,0.828571
41.4,88,0.838095
41.6,88,0.838095
41.8,88,0.838095
42,89,0.847619
42.2,89,0.847619
42.4,89,0.847619
42.6,89,0.847619
42.8,89,0.847619
43,92,0.87619
43.2,92,0.87619
43.4,93,0.885714
43.6,93,0.885714
43.8,94,0.895238
44,97,0.92381
44.2,98,0.933333
44.4,99,0.942857
44.6,100,0.952381
44.8,100,0.952381
45,100,0.952381
45.2,100,0.952381
45.4,101,0.961905
45.6,102,0.971429
45.8,102,0.971429
46,102,0.971429
46.2,102,0.971429
46.4,102,0.971429
46.6,102,0.971429
46.8,102,0.971429
47,102,0.971429
47.2,102,0.971429
47.4,102,0.971429
47.6,102,0.971429
47.8,102,0.971429
48,102,0.971429
48.2,102,0.971429
48.4,103,0.980952
48.6,103,0.980952
48.8,101,0.961905
49,101,0.961905
49.2,100,0.952381
49.4,100,0.952381
49.6,100,0.952381
49.8,100,0.952381
50,100,0.952381
50.2,100,0.952381
50.4,100,0.952381
50.6,101,0.961905
50.8,101,0.961905
51,101,0.961905
51.2,101,0.961905
51.4,101,0.961905
51.6,100,0.952381
51.8,100,0.952381
52,100,0.952381
52.2,100,0.952381
52.4,100,0.952381
52.6,99,0.942857
52.8,99,0.942857
53,98,0.933333
53.2,97,0.92381
53.4,97,0.92381
53.6,97,0.92381
53.8,97,0.92381
54,97,0.92381
54.2,95,0.904762
54.4,95,0.904762
54.6,95,0.904762
54.8,95,0.904762
55,93,0.885714
55.2,90,0.857143
55.4,88,0.838095
55.6,87,0.828571
55.8,87,0.828571
56,85,0.809524
56.2,83,0.790476
56.4,83,0.790476
56.6,83,0.790476
56.8,83,0.790476
57,83,0.790476
57.2,82,0.780952
57.4,82,0.780952
57.6,81,0.771429
57.8,81,0.771429
58,81,0.771429
58.2,81,0.771429
58.4,82,0.780952
58.6,82,0.780952
58.8,82,0.780952
59,82,0.780952
59.2,82,0.780952
59.4,83,0.790476
59.6,83,0.790476
59.8,84,0.8
60,84,0.8
60.2,84,0.8
60.4,85,0.809524
60.6,85,0.809524
60.8,84,0.8
61,85,0.809524
61.2,84,0.8
61.4,85,0.809524
61.6,85,0.809524
61.8,85,0.809524
62,85,0.809524
62.2,84,0.8
62.4,84,0.8
62.6,86,0.819048
62.8,86,0.819048
63,86,0.819048
63.2,86,0.819048
63.4,85,0.809524
63.6,85,0.809524
63.8,85,0.809524
64,85,0.809524
64.2,85,0.809524
64.4,85,0.809524
64.6,85,0.809524
64.8,84,0.8
65,84,0.8
65.2,83,0.790476
65.4,83,0.790476
65.6,83,0.790476
65.8,83,0.790476
66,84,0.8
66.2,84,0.8
66.4,84,0.8
66.6,84,0.8
66.8,84,0.8
67,86,0.819048
67.2,86,0.819048
67.4,86,0.819048
67.6,87,0.828571
67.8,87,0.828571
68,87,0.828571
68.2,87,0.828571
68.4,88,0.838095
68.6,90,0.857143
68.8,91,0.866667
69,91,0.866667
69.2,92,0.87619
69.4,92,0.87619
69.6,92,0.87619
69.8,92,0.87619
70,93,0.885714
70.2,93,0.885714
70.4,93,0.885714
70.6,94,0.895238
70.8,94,0.895238
71,94,0.895238
71.2,95,0.904762
71.4,95,0.904762
71.6,95,0.904762
71.8,95,0.904762
72,95,0.904762
72.2,94,0.895238
72.4,94,0.895238
72.6,94,0.895238
72.8,94,0.895238
73,94,0.895238
73.2,94,0.895238
